시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,192-102,0192,0102,교동,월세,74.595,202006,20,"         1,000",            35,2,1982,율곡로 2912-1
강원도 강릉시 교동,941-9,0941,0009,교동맨션,전세,84.24,202006,20,"        12,000",             0,2,1984,원대로8번길 42
강원도 강릉시 교동,834-1,0834,0001,대동,월세,53.23,202006,5,"         5,000",            10,2,1983,옛강일길 30
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,전세,30.59,202006,2,"         4,000",             0,1,1997,범일로 528
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,전세,49.57,202006,9,"         3,000",             0,4,1997,범일로 528
강원도 강릉시 내곡동,135-2,0135,0002,해림,전세,37.68,202006,5,"         3,000",             0,2,1987,남산초교길 57
강원도 강릉시 내곡동,135-2,0135,0002,해림,월세,37.68,202006,29,           300,            30,4,1987,남산초교길 57
강원도 강릉시 노암동,315,0315,0000,노암,전세,65.88,202006,23,"         2,300",             0,2,1981,노암길 40
강원도 강릉시 노암동,277-1,0277,0001,노암연립,월세,83.4,202006,29,           500,            50,1,1979,강변로312번길 16
강원도 강릉시 노암동,245-24,0245,0024,더힐,전세,50,202006,9,"        14,500",             0,3,2018,율곡로2747번길 5
강원도 강릉시 노암동,267-8,0267,0008,성덕주택(금모래),월세,49.14,202006,30,           200,            35,1,1983,강변로312번길 3
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,71.03,202006,19,"        19,000",             0,2,2016,경강로2533번길 3-5
강원도 강릉시 연곡면 영진리,353-70,0353,0070,동방이스트빌(106~108동),월세,70.415,202006,10,"         2,000",            40,5,2015,연주로 162
강원도 강릉시 옥천동,223,0223,0000,동부시장주택,전세,54.98,202006,30,"         3,000",             0,3,1977,옥천로 48
강원도 강릉시 포남동,1190,1190,0000,동해주택,월세,50.1,202006,27,           300,            30,2,1981,경강로2323번길 3
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202006,3,"         7,000",             0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202006,3,"         7,000",             0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,626-2,0626,0002,진양그린,전세,58.51,202006,8,"         6,200",             0,2,1994,가작로259번길 14-4
강원도 동해시 구미동,429,0429,0000,북평주공1차,전세,46.86,202006,22,"         3,500",             0,1,1986,구미3길 46
강원도 동해시 묵호진동,2-2,0002,0002,삼양비취타워,월세,84.855,202006,15,"         3,000",            20,8,1998,일출로 151
강원도 동해시 발한동,118-1,0118,0001,성남AB,월세,58.32,202006,12,           300,            27,2,1985,향로복개로 7-9
강원도 동해시 천곡동,1009-3,1009,0003,삼영빌라B,전세,48.42,202006,22,"         3,000",             0,3,1992,동굴1길 35
강원도 속초시 노학동,1326,1326,0000,속초 테르바움,전세,74.3717,202006,12,"        33,000",             0,4,2020,관광로 344
강원도 속초시 영랑동,323-5,0323,0005,(323-5),월세,74.18,202006,1,"         2,000",            50,2,2017,영랑로6길 12-3
강원도 속초시 장사동,645-4,0645,0004,645-4,전세,59.589,202006,26,"        11,000",             0,2,2017,중앙로419번길 33
강원도 속초시 장사동,518-7,0518,0007,우림주택,월세,62.64,202006,19,"         1,000",            40,3,1986,중앙로 437-6
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,월세,72.78,202006,8,           500,            50,2,1990,청대마을길 5
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,84.99,202006,12,"         7,000",             0,1,1990,청대마을길 5
강원도 양구군 양구읍 상리,104-3,0104,0003,교보,월세,39.92,202006,27,"         2,000",            20,1,1997,중심로 126-9
강원도 원주시 단계동,777-4,0777,0004,단계하나VIVACHE,전세,49.99,202006,17,"        12,000",             0,9,2017,천사로 106
강원도 원주시 명륜동,484,0484,0000,(484-0),월세,63.58,202006,27,           500,            28,2,1989,남원로527번길 6-34
강원도 원주시 태장동,969-17,0969,0017,리안펠리스,월세,57.55,202006,25,           500,            25,2,2013,포란재로 26-2
강원도 정선군 남면 무릉리,624-17,0624,0017,증산그린빌라가동,전세,64.38,202006,13,"         3,500",             0,4,2001,도원5길 2
강원도 정선군 정선읍 봉양리,409-2,0409,0002,봉양(나동),전세,56.295,202006,11,"         5,000",             0,1,1987,비봉안길 51
강원도 철원군 동송읍 이평리,843-144,0843,0144,블루시티102동103동,월세,65.28,202006,9,"         5,000",            20,4,2016,이평로123번길 29
강원도 철원군 동송읍 이평리,838-12,0838,0012,우리가,전세,25.61,202006,27,"         3,000",             0,2,2014,금학로187번안길 15-3
강원도 철원군 철원읍 화지리,35-3,0035,0003,화인빌라,월세,57.9,202006,16,           400,            30,3,1989,금학로 300
강원도 춘천시 교동,113-13,0113,0013,청명에코빌,전세,58.274,202006,18,"         9,000",             0,4,2012,춘천로223번길 22
강원도 춘천시 근화동,283-14,0283,0014,무궁화,전세,92.99,202006,17,"         9,000",             0,1,1983,근화길15번길 11
강원도 춘천시 조양동,69-6,0069,0006,장운-B동,전세,18.414,202006,10,"         4,500",             0,3,2015,시청길 16-2
강원도 춘천시 조양동,69-6,0069,0006,장운-B동,전세,18.414,202006,10,"         4,500",             0,3,2015,시청길 16-2
강원도 춘천시 효자동,665-10,0665,0010,INHOUSE(인하우스),월세,12.8,202006,12,           300,            35,3,2012,소전길 35
강원도 춘천시 후평동,808-1,0808,0001,4단지(연립),전세,47.37,202006,22,"         5,000",             0,2,1986,대양당길 4
강원도 춘천시 후평동,711-44,0711,0044,에스에치빌리지,전세,26.61,202006,25,"         5,000",             0,2,2013,삭주로128번길 7
강원도 태백시 황지동,49-104,0049,0104,대림2,전세,42.84,202006,20,"         3,000",             0,2,1986,문화로1길 15
강원도 평창군 진부면 상진부리,254-97,0254,0097,오대천타운,월세,69.55,202006,23,           300,            30,3,2017,진벌길 16-15
강원도 평창군 진부면 하진부리,200-1,0200,0001,대주 에코하우스,전세,59.13,202006,24,"         7,000",             0,2,2013,석두산길 30
강원도 홍천군 홍천읍 갈마곡리,128-1,0128,0001,그랜드홈타운,전세,62.66,202006,14,"        10,000",             0,4,2016,공작산로 114
강원도 홍천군 홍천읍 갈마곡리,128-1,0128,0001,그랜드홈타운,전세,62.66,202006,14,"        10,000",             0,4,2016,공작산로 114
강원도 홍천군 홍천읍 갈마곡리,128-1,0128,0001,그랜드홈타운,전세,62.66,202006,14,"        11,000",             0,4,2016,공작산로 114
강원도 홍천군 홍천읍 갈마곡리,257-9,0257,0009,청보리버빌,월세,73.605,202006,15,           500,            60,3,2005,소옥개로 36
강원도 홍천군 홍천읍 갈마곡리,119-1,0119,0001,파크빌B,월세,59.4768,202006,15,"         1,000",            50,4,2017,공작산로 150-15
강원도 홍천군 홍천읍 갈마곡리,119-29,0119,0029,파크빌C,전세,60.8028,202006,12,"        10,000",             0,2,2017,공작산로 150-17
강원도 홍천군 홍천읍 검율리,183-17,0183,0017,월드주택,전세,55.875,202006,24,"         3,400",             0,4,2000,공작산로 180
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202006,1,"         2,500",            20,1,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202006,1,"         1,000",            40,3,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202006,2,"         2,000",            40,4,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,전세,43.4,202006,3,"         9,000",             0,2,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202006,17,"         2,000",            30,3,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202006,22,            20,            20,1,2019,장전평로 65-1
강원도 홍천군 홍천읍 진리,11-7,0011,0007,월드빌라,전세,35.46,202006,26,"         3,000",             0,3,2003,희망로16길 9-3
강원도 홍천군 홍천읍 희망리,351-2,0351,0002,풍림주택,전세,80.08,202006,2,"         8,000",             0,1,1992,홍천로2길 13
강원도 홍천군 홍천읍 희망리,35-14,0035,0014,희망에코빌,전세,54.83,202006,19,"        11,500",             0,2,2013,희망로17길 23
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,전세,32.64,202006,4,"         4,000",             0,3,1999,노신로 82-16
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,월세,32.64,202006,29,           500,            35,2,1999,노신로 82-16
강원도 횡성군 횡성읍 북천리,33-5,0033,0005,하나프리미엄빌,월세,76.16,202006,3,"         1,000",            20,1,2007,섬강로 100
경기도 가평군 가평읍 읍내리,460,0460,0000,(460-0),월세,23.6,202006,27,"         1,000",            40,4,2017,연인2길 12
경기도 가평군 가평읍 읍내리,650,0650,0000,가림홈타운 2차,전세,71.09,202006,20,"        12,000",             0,5,2016,문화로 240
경기도 가평군 가평읍 읍내리,595,0595,0000,에덴빌라가동,전세,49.93,202006,15,"         7,000",             0,1,1991,중촌로 15-30
경기도 가평군 가평읍 읍내리,489-35,0489,0035,주영연립,전세,48.73,202006,18,"         4,500",             0,2,1985,연인2길 13-14
경기도 가평군 설악면 선촌리,143-43,0143,0043,청림,전세,59.38,202006,22,"         8,000",             0,2,2013,미사리로 40-120
경기도 가평군 설악면 신천리,27-6,0027,0006,(27-6),전세,57.4,202006,23,"        12,000",             0,2,2019,한서로 58-19
경기도 가평군 설악면 신천리,27-7,0027,0007,(27-7),전세,58.535,202006,15,"        12,000",             0,3,2019,한서로 58-23
경기도 가평군 설악면 신천리,432-3,0432,0003,영광빌,전세,59.89,202006,19,"        14,000",             0,5,2014,신천중앙로 112-1
경기도 가평군 설악면 회곡리,428-1,0428,0001,르메이에르,전세,134.12,202006,1,"        30,000",             0,2,2006,유명로 2304-34
경기도 가평군 설악면 회곡리,428-1,0428,0001,르메이에르,전세,134.12,202006,1,"        30,000",             0,2,2006,유명로 2304-34
경기도 가평군 설악면 회곡리,428-1,0428,0001,르메이에르,월세,136.71,202006,3,"         2,000",           150,3,2006,유명로 2304-34
경기도 가평군 조종면 현리,249-8,0249,0008,조종리버빌3차,월세,59.88,202006,23,"         3,000",            60,2,2020,조종내길 107
경기도 가평군 청평면 대성리,575,0575,0000,청평면 대성리 575 공동주택 (전용호),월세,32.11,202006,1,           100,            35,1,2015,모꼬지로 82-21
경기도 가평군 청평면 청평리,665-1,0665,0001,로얄빌리지,전세,31.856,202006,15,"         6,200",             0,3,2015,구청평로5번길 16
경기도 가평군 청평면 청평리,665-1,0665,0001,로얄빌리지,전세,31.856,202006,16,"         6,200",             0,3,2015,구청평로5번길 16
경기도 가평군 청평면 청평리,319-111,0319,0111,아산빌라3동,월세,38.97,202006,22,           500,            35,1,1998,청평중앙로82번길 9
