시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,303-1,0303,0001,이화,월세,56.79,202004,23,           500,            45,2,1984,율곡로2968번안길 2
강원도 강릉시 내곡동,443-19,0443,0019,0443-0019,월세,70.2,202004,7,"         8,000",            10,1,2004,강변로172번안길 12-2
강원도 강릉시 내곡동,443-19,0443,0019,0443-0019,전세,70.2,202004,28,"         8,000",             0,1,2004,강변로172번안길 12-2
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,월세,30.59,202004,8,           500,            27,3,1997,범일로 528
강원도 강릉시 대전동,565-3,0565,0003,다올캐슬타운,월세,93.52,202004,27,"         4,000",            50,2,2019,과학단지로21번길 5-30
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,71.03,202004,6,"        19,000",             0,4,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,68.22,202004,9,"        15,000",             0,4,2016,경강로2533번길 3-5
강원도 강릉시 연곡면 영진리,357-30,0357,0030,ES프라우드,월세,49.8618,202004,14,"         2,000",            50,5,2016,영진길 33
강원도 강릉시 연곡면 영진리,353-69,0353,0069,동방이스트빌(104~105동),전세,71.12,202004,27,"         2,000",             0,3,2016,연주로 162
강원도 강릉시 옥계면 현내리,417-3,0417,0003,엘스테이,전세,71.57,202004,7,"        19,000",             0,2,2019,현내중길 9-3
강원도 강릉시 포남동,515,0515,0000,삼화임대,전세,48.6,202004,27,"         4,000",             0,3,1988,강릉대로419번길 54
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202004,24,"         7,500",             0,3,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202004,28,"         7,500",             0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1005-134,1005,0134,옥포,월세,52.74,202004,29,           500,            30,2,1983,용지각길8번길 29
강원도 강릉시 회산동,195-10,0195,0010,파인힐1차,전세,55.18,202004,25,"        15,000",             0,4,2017,관솔길12번길 14-7
강원도 고성군 간성읍 신안리,186-2,0186,0002,신안파크,월세,22.395,202004,14,           500,            35,4,2017,수성로 57
강원도 동해시 천곡동,1008-4,1008,0004,우신주택,전세,75.63,202004,21,"         5,000",             0,1,1991,동굴1길 51
강원도 동해시 천곡동,1008-4,1008,0004,우신주택,전세,75.63,202004,21,"         5,000",             0,1,1991,동굴1길 51
강원도 삼척시 당저동,148-5,0148,0005,우산그린빌라,전세,43.63,202004,30,"         3,000",             0,3,1996,성당길 72-10
강원도 속초시 금호동,621-106,0621,0106,금호설악국민주택,전세,63.9,202004,29,"         3,000",             0,1,1983,번영로67번길 41-6
강원도 속초시 금호동,625-88,0625,0088,성진주택,월세,65.73,202004,1,           500,            35,1,1983,번영로67번길 15-1
강원도 속초시 노학동,1326,1326,0000,속초 테르바움,월세,84.6349,202004,25,"        10,000",           100,4,2020,관광로 344
강원도 속초시 조양동,1450-48,1450,0048,바다마을,전세,65.64,202004,12,"         7,000",             0,3,2010,청호로2길 46-4
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,84.99,202004,28,"         8,500",             0,2,1990,청대마을길 5
강원도 양양군 양양읍 구교리,190,0190,0000,동북빌라2차,전세,59.7,202004,27,"         5,000",             0,2,1994,북문길 38
강원도 원주시 단계동,778-30,0778,0030,아이손 원주단계 103동 (단계동 778-30),전세,25.12,202004,27,"         8,000",             0,5,2018,천사로 90-1
강원도 원주시 단구동,686,0686,0000,보라매,전세,66,202004,14,"         3,000",             0,3,1984,단구로 304
강원도 원주시 단구동,686,0686,0000,보라매,전세,66,202004,22,"         4,000",             0,3,1984,단구로 304
강원도 원주시 태장동,969-17,0969,0017,리안펠리스,월세,57.55,202004,16,           500,            25,2,2013,포란재로 26-2
강원도 인제군 북면 원통리,608-5,0608,0005,극동,전세,65.47,202004,4,"         4,000",             0,3,1985,금강로 73
강원도 인제군 인제읍 덕산리,799-32,0799,0032,라온하이파크,전세,73.28,202004,23,"         7,000",             0,1,2012,덕산로 80-1
강원도 정선군 정선읍 봉양리,300-2,0300,0002,정선빌라(나동),월세,75.18,202004,27,"         1,000",            20,4,1991,비봉안길 37
강원도 철원군 동송읍 이평리,687-7,0687,0007,서울하이츠빌라,월세,41.58,202004,25,           300,            20,3,1994,이평2로 29
강원도 철원군 동송읍 이평리,853-5,0853,0005,철원,월세,67.98,202004,27,           300,            25,3,1988,금학로252번길 6
강원도 춘천시 교동,159,0159,0000,현영원룸,전세,36.295,202004,2,"         7,000",             0,4,2011,삭주로70번길 17
강원도 춘천시 동면 만천리,573-7,0573,0007,상생,전세,74.56,202004,10,"         8,000",             0,3,2004,만천로143번길 66-4
강원도 춘천시 효자동,158-1,0158,0001,건우주택,전세,64.35,202004,6,"         6,000",             0,3,1984,효제길23번길 10
강원도 춘천시 효자동,159-19,0159,0019,"삼정주택1,2동",전세,79.976,202004,29,"         6,000",             0,3,1981,효제길37번길 16-4
강원도 춘천시 후평동,740-13,0740,0013,우성빌라1,전세,47.307,202004,2,"         6,600",             0,3,1991,만천로215번길 3-1
강원도 태백시 통동,225,0225,0000,하나연립,전세,45.15,202004,8,"         1,500",             0,1,1986,솔안길 140
강원도 평창군 대관령면 횡계리,275-20,0275,0020,해오름빌,전세,72.3,202004,7,"         6,500",             0,5,2004,송천2길 11
강원도 평창군 평창읍 하리,227-6,0227,0006,대동월드105동,월세,23.94,202004,19,"         1,500",            15,1,2001,군청길 88
강원도 평창군 평창읍 하리,227-7,0227,0007,대동월드106동,전세,23.94,202004,8,"         3,500",             0,3,2001,군청길 88
강원도 홍천군 홍천읍 갈마곡리,119-23,0119,0023,파크빌A,전세,73.5314,202004,29,"        15,000",             0,2,2018,공작산로 150-13
강원도 홍천군 홍천읍 갈마곡리,119-1,0119,0001,파크빌B,월세,61.6338,202004,3,           500,            50,2,2017,공작산로 150-15
강원도 홍천군 홍천읍 갈마곡리,119-29,0119,0029,파크빌C,전세,54.5846,202004,1,"         9,000",             0,4,2017,공작산로 150-17
강원도 홍천군 홍천읍 연봉리,187-2,0187,0002,명품쉐르빌,월세,51.77,202004,30,           500,            42,5,2017,연봉로3길 5-13
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202004,21,"         2,000",            20,4,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202004,21,"         2,000",            20,4,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,507-2,0507,0002,안정베스트힐,전세,21.15,202004,16,"         3,500",             0,2,2011,연봉로11길 56
강원도 홍천군 홍천읍 희망리,267-4,0267,0004,전원주택A,월세,57.87,202004,22,           100,            30,2,1988,마지기로 85
강원도 홍천군 홍천읍 희망리,332-15,0332,0015,화양주택,전세,64.36,202004,27,"         4,000",             0,3,1983,홍천로4길 19
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,전세,32.64,202004,2,"         1,500",             0,1,1999,노신로 82-16
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,월세,48.98,202004,11,"         1,000",            30,2,1999,노신로 82-16
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,월세,37.35,202004,26,           400,            25,4,1999,노신로 82-16
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,전세,32.64,202004,30,"         1,800",             0,2,1999,노신로 82-16
강원도 횡성군 횡성읍 읍하리,572-4,0572,0004,삼성청마루힐,전세,49.88,202004,21,"         7,000",             0,4,2011,앞들서로23번길 7
경기도 가평군 가평읍 경반리,240-1,0240,0001,삼성세르빌,전세,76.92,202004,6,"         8,000",             0,1,2007,경반안로116번길 22-53
경기도 가평군 가평읍 달전리,336-20,0336,0020,동방빌라나동,월세,35.46,202004,24,           500,            30,2,1994,강산길 30
경기도 가평군 가평읍 달전리,336-6,0336,0006,세진빌라A동,전세,49.86,202004,30,"         6,000",             0,4,1991,달전로 46
경기도 가평군 가평읍 대곡리,441-1,0441,0001,정동가동,월세,57.37,202004,22,           500,            35,2,2001,석봉로3번길 60
경기도 가평군 가평읍 읍내리,562-13,0562,0013,(562-13),전세,29.86,202004,23,"         6,000",             0,2,2014,향교로 29-1
경기도 가평군 가평읍 읍내리,591-4,0591,0004,가평큐브하임101동,월세,41.11,202004,9,"         2,000",            50,3,2018,문화로 226
경기도 가평군 설악면 선촌리,418-7,0418,0007,탑클래스,월세,84.271,202004,13,"         1,000",            80,2,2018,탐선길 33
경기도 가평군 설악면 신천리,27-7,0027,0007,(27-7),전세,58.535,202004,29,"        12,000",             0,2,2019,한서로 58-23
경기도 가평군 조종면 현리,222-4,0222,0004,(222-4),월세,61.09,202004,3,"         1,000",            53,2,2018,조종새싹로 65
경기도 가평군 조종면 현리,426-22,0426,0022,(426-22),전세,60.25,202004,9,"        13,000",             0,2,2018,조종내길 12-1
경기도 가평군 조종면 현리,410-31,0410,0031,네이처힐타운하우스1차,월세,59.925,202004,1,"         2,000",            50,2,2018,현창로 24
경기도 가평군 조종면 현리,410-31,0410,0031,네이처힐타운하우스1차,월세,59.925,202004,11,"         2,000",            50,2,2018,현창로 24
