시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,302,0302,0000,까르빌,월세,65.1875,202002,24,"         3,000",            35,4,2018,화부산로141번안길 3
강원도 강릉시 교동,303-1,0303,0001,이화,월세,56.79,202002,5,           400,            30,1,1984,율곡로2968번안길 2
강원도 강릉시 교동,303-1,0303,0001,이화,전세,56.79,202002,7,"         7,000",             0,1,1984,율곡로2968번안길 2
강원도 강릉시 교동,828-1,0828,0001,풍원국민주택,월세,57.72,202002,8,           700,            40,2,1985,화부산로 93
강원도 강릉시 교동,837-3,0837,0003,한전기공사택,월세,48.99,202002,5,"         1,000",            88,1,1988,옛강일길38번길 3
강원도 강릉시 내곡동,109-1,0109,0001,무지개,월세,57.33,202002,7,"         1,000",            35,3,1984,강변로194번길 15
강원도 강릉시 내곡동,109-1,0109,0001,무지개,월세,57.33,202002,17,"         1,000",            45,1,1984,강변로194번길 15
강원도 강릉시 노암동,639-22,0639,0022,남산,월세,54.75,202002,15,"         1,000",            25,3,1986,남산길 32
강원도 강릉시 노암동,245-24,0245,0024,더힐,전세,45.75,202002,11,"        14,000",             0,5,2018,율곡로2747번길 5
강원도 강릉시 노암동,245-24,0245,0024,더힐,전세,45.75,202002,15,"        13,000",             0,4,2018,율곡로2747번길 5
강원도 강릉시 대전동,565-3,0565,0003,다올캐슬타운,전세,93.52,202002,4,"        19,000",             0,3,2019,과학단지로21번길 5-30
강원도 강릉시 대전동,565-3,0565,0003,다올캐슬타운,전세,93.52,202002,8,"        19,000",             0,3,2019,과학단지로21번길 5-30
강원도 강릉시 대전동,565-3,0565,0003,다올캐슬타운,월세,93.52,202002,20,"         2,000",            55,4,2019,과학단지로21번길 5-30
강원도 강릉시 대전동,565-3,0565,0003,다올캐슬타운,전세,93.52,202002,25,"        23,000",             0,4,2019,과학단지로21번길 5-30
