시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 춘천시 교동,147-1,0147,0001,교동주택,전세,26.22,202001,15,"         4,200",             0,4,1994,교동길17번길 10
강원도 춘천시 신북읍 천전리,172-19,0172,0019,"사랑의집(209,210동)",전세,63.09,202001,22,"         6,000",             0,2,2013,상천2길 9
강원도 춘천시 옥천동,15-1,0015,0001,동보빌라,전세,84.595,202001,2,"         5,000",             0,3,1985,옥천길40번길 19
강원도 춘천시 온의동,514-1,0514,0001,가온펠리스,월세,45.23,202001,15,           500,            55,7,2018,영서로2279번길 20
강원도 춘천시 운교동,133-6,0133,0006,태영그린빌,전세,50.43,202001,21,"         9,000",             0,2,2012,춘천로167번길 8-3
강원도 춘천시 운교동,133-6,0133,0006,태영그린빌,전세,48.08,202001,23,"        10,000",             0,3,2012,춘천로167번길 8-3
강원도 춘천시 운교동,133-6,0133,0006,태영그린빌,전세,48.08,202001,26,"        10,000",             0,2,2012,춘천로167번길 8-3
강원도 춘천시 조양동,69-1,0069,0001,장운-A동,월세,17.76,202001,27,           300,            41,3,2013,시청길 18
강원도 춘천시 조양동,69-6,0069,0006,장운-B동,전세,18.876,202001,23,"         5,000",             0,2,2015,시청길 16-2
강원도 춘천시 조양동,69-6,0069,0006,장운-B동,전세,18.876,202001,27,"         5,000",             0,3,2015,시청길 16-2
강원도 춘천시 효자동,705,0705,0000,"남춘천빌리지 제2,3동",전세,20.5,202001,9,"         4,500",             0,2,2013,남춘로51번길 19
강원도 춘천시 효자동,705,0705,0000,"남춘천빌리지 제2,3동",전세,33.96,202001,15,"         4,000",             0,4,2013,남춘로51번길 19
강원도 춘천시 후평동,866,0866,0000,금호빌리지,전세,84.98,202001,18,"        10,000",             0,4,1992,후만로 119
강원도 춘천시 후평동,711-44,0711,0044,에스에치빌리지,전세,21.96,202001,12,"         4,500",             0,3,2013,삭주로128번길 7
강원도 춘천시 후평동,717-4,0717,0004,에이스원룸,전세,26.04,202001,30,"         3,950",             0,1,1993,후석로455번길 11-2
강원도 태백시 황지동,162-3,0162,0003,상장,월세,52.745,202001,24,"         1,000",            20,3,1982,함태길 78
강원도 평창군 대관령면 용산리,678,0678,0000,평창스카이테라하우스,전세,84.8746,202001,10,"         3,000",             0,4,2016,솔봉로 278-84
강원도 평창군 대화면 신리,909-9,0909,0009,(909-9),월세,41.7,202001,23,"         1,000",            25,2,2005,양지동길 6-7
강원도 평창군 평창읍 종부리,495-2,0495,0002,남산,월세,45.54,202001,19,           300,            30,3,1986,문화예술길 26
강원도 홍천군 홍천읍 갈마곡리,119-1,0119,0001,파크빌B,월세,53.0396,202001,5,"         2,000",            50,1,2017,공작산로 150-15
강원도 홍천군 홍천읍 신장대리,2-1,0002,0001,우신주택,월세,75.28,202001,13,           500,            35,3,1984,학명루길 15
강원도 홍천군 홍천읍 연봉리,260-2,0260,0002,골든빌 2차,전세,33.25,202001,29,"         9,000",             0,3,2014,남산강변로1길 3
강원도 홍천군 홍천읍 연봉리,274-2,0274,0002,용민스위트빌2차,전세,77.884,202001,21,"        12,000",             0,5,2013,송학로3길 12
강원도 홍천군 홍천읍 연봉리,500-1,0500,0001,태성에코빌,월세,20.25,202001,11,           300,            38,1,2013,남산마을길1길 3
강원도 화천군 하남면 용암리,1138,1138,0000,산수화,월세,23.1277,202001,3,           800,            30,2,2008,춘화로 3268-5
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,전세,32.64,202001,7,"         1,500",             0,2,1999,노신로 82-16
강원도 화천군 화천읍 아리,256-7,0256,0007,(256-7),월세,36.61,202001,2,"         1,000",            60,3,2020,중앙로5길 28-1
강원도 화천군 화천읍 중리,257-4,0257,0004,영진,전세,66.81,202001,28,"        10,000",             0,4,1993,산수화로 28-1
강원도 횡성군 횡성읍 읍상리,109-14,0109,0014,삼성엣지빌,전세,52.47,202001,18,"         7,000",             0,2,2016,읍상동로30번길 1
경기도 가평군 가평읍 달전리,467-10,0467,0010,성빈남이타운4동,전세,35.7,202001,17,"         4,000",             0,3,1993,북한강변로 1178
경기도 가평군 가평읍 읍내리,764-7,0764,0007,(764-7),월세,67.22,202001,7,"         2,000",            50,2,2017,가화로 227
경기도 가평군 가평읍 읍내리,788-4,0788,0004,(788-4),월세,26.1,202001,16,           500,            36,2,2012,문화로 272
경기도 가평군 가평읍 읍내리,281,0281,0000,리버뷰홈,월세,69.39,202001,13,"         2,000",            45,4,2013,정간내로19번길 14
경기도 가평군 가평읍 읍내리,468-33,0468,0033,위너스빌Ⅰ,전세,59.29,202001,21,"        12,000",             0,4,2018,연인1길 10
경기도 가평군 가평읍 읍내리,468-4,0468,0004,휴먼스빌,월세,28.44,202001,4,"         1,000",            40,3,2016,보납로18번길 14-1
경기도 가평군 설악면 신천리,86-10,0086,0010,(86-10),전세,59.89,202001,6,"         9,000",             0,2,2011,한양부로 35
경기도 가평군 설악면 신천리,38,0038,0000,엔스위트설악,월세,17.51,202001,12,           300,            35,2,2019,한양부로 97
경기도 가평군 설악면 신천리,38,0038,0000,엔스위트설악,월세,17.51,202001,16,           300,            35,1,2019,한양부로 97
경기도 가평군 청평면 청평리,619-12,0619,0012,휴먼스빌,월세,30.95,202001,18,"         2,000",            30,2,2013,구청평로 87
경기도 고양덕양구 고양동,1035,1035,0000,(1035-0),전세,52.9,202001,14,"         8,500",             0,3,2012,보광로 22
경기도 고양덕양구 고양동,405-42,0405,0042,그린힐,월세,23.76,202001,18,           500,            30,-1,2001,동헌로 408-36
경기도 고양덕양구 고양동,319-16,0319,0016,나성그린타운(319-16),월세,49.62,202001,6,"         3,000",            20,4,1994,읍내로 83-26
경기도 고양덕양구 고양동,411-12,0411,0012,명성빌라(411-12),월세,36.21,202001,20,"         1,500",            25,4,1992,동헌로 388-2
경기도 고양덕양구 고양동,392,0392,0000,백제빌라8차(392-0),월세,40.09,202001,28,           160,            20,-1,1992,읍내로 87-18
경기도 고양덕양구 고양동,1073,1073,0000,보라빌라,월세,67.68,202001,2,             0,            25,2,1986,보광로 21
경기도 고양덕양구 고양동,1073,1073,0000,보라빌라,월세,67.68,202001,20,"         3,000",            25,1,1986,보광로 21
경기도 고양덕양구 고양동,852,0852,0000,세중힐타운,월세,75.22,202001,14,"         1,000",            40,2,2009,보광로12번길 58
경기도 고양덕양구 고양동,375,0375,0000,세화주택,전세,62.94,202001,18,"         8,000",             0,1,1985,읍내로 87-3
경기도 고양덕양구 고양동,11-13,0011,0013,신성빌라(11-13),전세,29.78,202001,16,"         4,500",             0,2,1992,혜음로 101
경기도 고양덕양구 고양동,390,0390,0000,예원빌라트(390-0),전세,39.94,202001,14,"         6,000",             0,5,2004,읍내로 87-26
경기도 고양덕양구 고양동,359,0359,0000,인우그린빌,월세,29.07,202001,13,           300,            32,1,2003,읍내로 79-3
경기도 고양덕양구 고양동,185-6,0185,0006,주택,월세,77.15,202001,3,"         1,000",            40,1,1980,혜음로 54-9
경기도 고양덕양구 고양동,1054,1054,0000,청림빌라(425-12),전세,76.24,202001,7,"        10,000",             0,2,1992,보광로 28-8
경기도 고양덕양구 관산동,543-7,0543,0007,뉴삼성빌라 3,월세,36.46,202001,18,           500,            30,2,1995,동헌로3번길 59-1
경기도 고양덕양구 관산동,538-8,0538,0008,부흥빌라다동,월세,40.83,202001,28,           500,            30,1,1990,동헌로 21-8
경기도 고양덕양구 관산동,207-11,0207,0011,삼성빌라23동,전세,36.3,202001,8,"         3,700",             0,2,1991,통일로781번길 47-6
경기도 고양덕양구 관산동,247-16,0247,0016,세인주택12동,전세,36.29,202001,29,"         6,000",             0,1,1990,통일로799번길 42-15
경기도 고양덕양구 관산동,687-34,0687,0034,아이딜 101,전세,39.21,202001,28,"         7,500",             0,2,2003,동헌로1번길 49
경기도 고양덕양구 관산동,579-13,0579,0013,한라타운,월세,65.04,202001,6,"         1,500",            60,4,2012,고골길83번길 13
경기도 고양덕양구 관산동,215-4,0215,0004,한신아르빌3동,전세,50.45,202001,15,"         6,000",             0,2,2002,통일로771번길 36-20
경기도 고양덕양구 관산동,190-4,0190,0004,허스(라동),전세,36.97,202001,6,"         4,000",             0,1,1985,통일로759번길 15
경기도 고양덕양구 관산동,190-4,0190,0004,허스(라동),전세,36.97,202001,30,"         4,000",             0,1,1985,통일로759번길 15
경기도 고양덕양구 내유동,594,0594,0000,(594-0),월세,55.52,202001,4,"         1,000",            45,4,2012,통일로1170번길 105-13
경기도 고양덕양구 내유동,275-17,0275,0017,"M타운(5동,6동)",월세,57.92,202001,18,"         1,000",            57,1,2012,내유길 38-42
경기도 고양덕양구 내유동,752-25,0752,0025,굿모닝힐타운(752-25),전세,66.44,202001,8,"         8,000",             0,1,2012,유산길 79
경기도 고양덕양구 내유동,245-9,0245,0009,"내유파크타운 301,302동",월세,47.435,202001,10,"         1,000",            45,4,2015,내유길80번길 44-15
경기도 고양덕양구 내유동,245-11,0245,0011,"내유파크타운501동,502동",월세,58.575,202001,7,           500,            50,2,2016,내유길80번길 44-20
경기도 고양덕양구 내유동,265-9,0265,0009,럭키이클래스3차102동,전세,55.62,202001,3,"        12,000",             0,1,2017,내유길 64-20
경기도 고양덕양구 내유동,646-28,0646,0028,신성아트빌라(646-28),전세,44.01,202001,10,"         6,800",             0,4,1999,유산길 20-8
경기도 고양덕양구 내유동,626-7,0626,0007,코리아타운(626-7),월세,57.695,202001,28,"         1,500",            50,2,2011,유산길 46-33
경기도 고양덕양구 내유동,597-1,0597,0001,한솔빌리지,월세,67.51,202001,23,           500,            50,3,2010,통일로1170번길 105-18
경기도 고양덕양구 내유동,667-3,0667,0003,휴그린(667-3),전세,52.92,202001,31,"        11,000",             0,3,2011,유산길17번길 48-1
경기도 고양덕양구 내유동,668-8,0668,0008,휴그린(668-8),월세,56.39,202001,24,"         1,000",            10,4,2012,유산길17번길 48-6
경기도 고양덕양구 대자동,135-3,0135,0003,대자파크뷰2차(301동),전세,58.81,202001,20,"        10,000",             0,3,2015,호국로1427번길 70
경기도 고양덕양구 대장동,318-1,0318,0001,코지하우스A동,전세,36.71,202001,4,"        12,000",             0,2,2019,대장길50번길 88-1
경기도 고양덕양구 덕은동,196,0196,0000,(196-0),전세,52.88,202001,16,"         6,000",             0,1,2015,덕은2로 6
경기도 고양덕양구 덕은동,9-220,0009,0220,그레이프힐1동,월세,70.29,202001,5,"         1,000",            50,2,2015,중앙로62번길 59
경기도 고양덕양구 덕은동,9-230,0009,0230,펠리체하임6동,월세,64.16,202001,22,"         3,000",            50,2,2016,중앙로64번길 28-40
경기도 고양덕양구 동산동,47-46,0047,0046,Zenith Vill,전세,56.17,202001,21,"        17,000",             0,2,2016,고양대로2002번길 24-24
경기도 고양덕양구 동산동,56-153,0056,0153,경진하이빌3동,전세,67.05,202001,8,"        26,000",             0,3,2018,고양대로1978번길 55
경기도 고양덕양구 동산동,56-153,0056,0153,경진하이빌3동,월세,51.77,202001,10,"         2,000",            60,4,2018,고양대로1978번길 55
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202001,15,"        30,000",             0,3,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202001,17,"        31,000",             0,3,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202001,18,"        30,450",             0,1,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202001,22,"        30,000",             0,2,2016,동산1로 50
경기도 고양덕양구 동산동,53-178,0053,0178,동산파크빌 C동,월세,59.39,202001,7,"         4,000",            60,2,2015,고양대로2002번길 47-23
경기도 고양덕양구 동산동,194-14,0194,0014,스타캐슬103동,전세,59.32,202001,8,"        21,000",             0,3,2017,고양대로1916번길 50
경기도 고양덕양구 동산동,53-195,0053,0195,태영아트빌(1동),전세,59.93,202001,15,"        19,000",             0,2,2016,고양대로2002번길 92
경기도 고양덕양구 동산동,53-195,0053,0195,태영아트빌(1동),전세,59.81,202001,28,"        18,000",             0,2,2016,고양대로2002번길 92
경기도 고양덕양구 벽제동,575-1,0575,0001,로뎀빌라101동102동,월세,51.53,202001,20,"         1,000",            40,1,2009,보광로 192-32
경기도 고양덕양구 벽제동,335-8,0335,0008,오엔씨블루힐(335-8),월세,33.03,202001,4,"         2,500",            20,3,2002,혜음로 207-27
경기도 고양덕양구 벽제동,335-4,0335,0004,오엔씨블루힐4,전세,34.26,202001,18,"         5,000",             0,1,2002,혜음로 207-36
경기도 고양덕양구 삼송동,143-14,0143,0014,삼송 힐하우스 103동,전세,49.858,202001,14,"        28,500",             0,2,2018,세솔로1길 26
경기도 고양덕양구 삼송동,61-38,0061,0038,삼송스타힐,월세,41.5,202001,30,"        24,000",             3,2,2019,삼송로205번길 20-4
경기도 고양덕양구 삼송동,61-38,0061,0038,삼송스타힐,전세,41.5,202001,30,"        20,000",             0,2,2019,삼송로205번길 20-4
경기도 고양덕양구 삼송동,61-38,0061,0038,삼송스타힐,전세,41.5,202001,30,"        25,000",             0,2,2019,삼송로205번길 20-4
경기도 고양덕양구 삼송동,80-19,0080,0019,창우아이빌103동,전세,51.595,202001,31,"        19,000",             0,2,2017,세솔로2길 43
경기도 고양덕양구 삼송동,50-1,0050,0001,캐슬프라하A,월세,52.84,202001,11,"         4,000",            60,3,2017,삼송로193번길 104
경기도 고양덕양구 성사동,419-15,0419,0015,경남주택아동(419-15),전세,43.47,202001,15,"         8,000",             0,2,1986,충장로 491-1
경기도 고양덕양구 성사동,419-19,0419,0019,경남주택차동(419-19),전세,38.64,202001,29,"         6,000",             0,3,1986,호국로812번길 115
경기도 고양덕양구 성사동,496-24,0496,0024,대성빌라마동(496-24),전세,35.4,202001,30,"         6,500",             0,3,1989,마상로161번길 8-3
경기도 고양덕양구 성사동,704-6,0704,0006,명림2차다세대나동(704-6),전세,34.26,202001,31,"         7,000",             0,2,1988,고양대로1395번길 11-9
경기도 고양덕양구 성사동,494-10,0494,0010,명림빌라,월세,58.44,202001,16,"         1,000",            50,1,1985,마상로 172
경기도 고양덕양구 성사동,414-17,0414,0017,목원빌라나동(414-17),전세,36.26,202001,31,"         7,500",             0,-1,1990,호국로790번길 125
경기도 고양덕양구 성사동,339,0339,0000,삼부그린빌205동,전세,60.41,202001,11,"        17,000",             0,4,2017,고양대로1432번길 80-9
경기도 고양덕양구 성사동,408-39,0408,0039,원당하이츠빌(408-39),전세,35.41,202001,28,"         9,000",             0,4,2002,고양대로1407번길 46-7
경기도 고양덕양구 성사동,408-27,0408,0027,원당하이츠빌102동(408-27),전세,51.95,202001,29,"        13,500",             0,3,2002,충장로475번길 23
경기도 고양덕양구 성사동,408-26,0408,0026,원당하이츠빌103동(408-26),월세,51.41,202001,4,"         2,000",            60,1,2002,충장로475번길 27
경기도 고양덕양구 성사동,414-11,0414,0011,장미빌라 6동(414-11),전세,34.8,202001,3,"         7,000",             0,1,1988,충장로 473-5
경기도 고양덕양구 성사동,414-11,0414,0011,장미빌라 6동(414-11),전세,34.8,202001,3,"         6,500",             0,1,1988,충장로 473-5
경기도 고양덕양구 성사동,488-40,0488,0040,종건그린빌라(488-40),전세,47.88,202001,2,"        10,000",             0,3,1986,고양대로1407번길 69
경기도 고양덕양구 성사동,488-40,0488,0040,종건그린빌라(488-40),월세,45.54,202001,21,"         1,000",            55,1,1986,고양대로1407번길 69
경기도 고양덕양구 성사동,488-40,0488,0040,종건그린빌라(488-40),전세,45.54,202001,24,"        13,500",             0,2,1986,고양대로1407번길 69
경기도 고양덕양구 성사동,488-40,0488,0040,종건그린빌라(488-40),전세,47.88,202001,29,"        11,000",             0,1,1986,고양대로1407번길 69
경기도 고양덕양구 성사동,488-40,0488,0040,종건그린빌라(488-40),전세,47.88,202001,31,"        10,000",             0,3,1986,고양대로1407번길 69
경기도 고양덕양구 성사동,415-5,0415,0005,지명빌라(415-5),전세,48.71,202001,10,"         7,500",             0,2,1996,고양대로1407번길 46-16
경기도 고양덕양구 성사동,503,0503,0000,초원1차(503),전세,48.31,202001,17,"         8,000",             0,1,1984,마상로154번길 34
경기도 고양덕양구 주교동,564,0564,0000,금산주택(564),전세,44.28,202001,31,"         7,000",             0,3,1986,원당로125번길 57
경기도 고양덕양구 주교동,305-8,0305,0008,대기빌라(305-8)가동,월세,36.48,202001,15,           500,            40,1,1991,마상로63번길 18-15
경기도 고양덕양구 주교동,305-8,0305,0008,대기빌라(305-8)가동,월세,36.48,202001,15,           500,            40,1,1991,마상로63번길 18-15
경기도 고양덕양구 주교동,308-2,0308,0002,덕양원룸빌라2차(308-2),전세,27.72,202001,31,"         3,300",             0,3,1997,마상로 69
경기도 고양덕양구 주교동,575-1,0575,0001,리첸시아빌,전세,41.32,202001,20,"        30,300",             0,5,2018,마상로 97-8
경기도 고양덕양구 주교동,564-6,0564,0006,무지개빌라,월세,43.2,202001,30,           300,            35,2,1986,원당로113번길 60-4
경기도 고양덕양구 주교동,564-6,0564,0006,무지개빌라,월세,43.2,202001,30,           300,            35,2,1986,원당로113번길 60-4
경기도 고양덕양구 주교동,591-5,0591,0005,미도3차(591-5),월세,48.6,202001,8,           500,            37,1,1985,원당로59번길 74
경기도 고양덕양구 주교동,589-7,0589,0007,부궁다세대(589-7)가동,월세,31.245,202001,6,           300,            35,2,1989,원당로59번길 94-35
경기도 고양덕양구 주교동,560-1,0560,0001,삼일(560-1),전세,47.79,202001,17,"         7,000",             0,2,1985,원당로125번길 68
경기도 고양덕양구 주교동,590-16,0590,0016,삼혜청송마을(590-16)103동,전세,75.03,202001,21,"        13,000",             0,2,2004,원당로59번길 94-34
경기도 고양덕양구 주교동,590-17,0590,0017,삼혜청송마을(590-17)102동,전세,56.9,202001,10,"        11,000",             0,2,2004,원당로59번길 94-36
경기도 고양덕양구 주교동,623-18,0623,0018,상록주택(623-18),전세,43.68,202001,8,"         8,000",             0,3,1990,마상로134번길 14
경기도 고양덕양구 주교동,618-6,0618,0006,서부맨숀(618-6),월세,80.16,202001,28,"         2,000",            60,3,1985,호국로801번길 30
경기도 고양덕양구 주교동,580-9,0580,0009,성광파크뷰빌(580-9),전세,58.81,202001,28,"        10,000",             0,4,2003,마상로108번길 18-10
경기도 고양덕양구 주교동,580-9,0580,0009,성광파크뷰빌(580-9),전세,58.81,202001,28,"        10,000",             0,4,2003,마상로108번길 18-10
경기도 고양덕양구 주교동,587-11,0587,0011,세인다세대(587-11)마동,전세,37.8,202001,15,"         2,500",             0,-1,1989,원당로59번길 28-1
경기도 고양덕양구 주교동,591-1,0591,0001,세인다세대(591-1)가동,전세,35.34,202001,14,"         4,500",             0,2,1988,원당로59번길 94-6
경기도 고양덕양구 주교동,571-15,0571,0015,세인주택(571-15)바동,전세,36.27,202001,14,"         6,000",             0,2,1989,마상로107번길 43-7
경기도 고양덕양구 주교동,559-1,0559,0001,오익(559-1),전세,58.65,202001,22,"         8,000",             0,3,1985,원당로125번길 56
경기도 고양덕양구 주교동,595-6,0595,0006,오익주택(595-6),월세,44.16,202001,15,"         1,000",            30,1,1984,고양대로1315번길 66-21
경기도 고양덕양구 주교동,595-6,0595,0006,오익주택(595-6),월세,44.16,202001,15,"         1,000",            30,1,1984,고양대로1315번길 66-21
경기도 고양덕양구 주교동,617-6,0617,0006,정호(617-6)A동,월세,63.3,202001,17,           500,            50,3,1984,마상로134번길 52
경기도 고양덕양구 주교동,594-11,0594,0011,주삼빌(594-11),전세,79.89,202001,11,"        14,000",             0,3,2003,원당로59번길 49-30
경기도 고양덕양구 주교동,592,0592,0000,초원다세대,전세,48.5,202001,21,"         7,000",             0,1,1985,고양대로1315번길 94
경기도 고양덕양구 주교동,303-4,0303,0004,현대그린빌라2차(303-4),월세,48.12,202001,13,           600,            41,4,1992,마상로57번길 36
경기도 고양덕양구 지축동,166-59,0166,0059,헤르마하우스6동,월세,84.62,202001,11,"         5,000",           120,2,2017,지담길 3-10
경기도 고양덕양구 토당동,880-11,0880,0011,거정하이츠빌라,전세,40.29,202001,4,"         4,300",             0,4,1991,행당로33번길 7-14
경기도 고양덕양구 토당동,841-16,0841,0016,대광주택(841-16),전세,32.6,202001,6,"         5,500",             0,2,2001,지도로103번길 1
경기도 고양덕양구 토당동,831-6,0831,0006,동아빌라B,전세,59.9,202001,17,"         8,000",             0,2,1990,토당로162번길 7
경기도 고양덕양구 토당동,292-38,0292,0038,명림,전세,58.5,202001,18,"         4,000",             0,2,1983,능곡로13번길 46
경기도 고양덕양구 토당동,838-7,0838,0007,미성빌라나동,전세,33.84,202001,3,"         7,000",             0,1,1989,토당로168번길 43
경기도 고양덕양구 토당동,850-10,0850,0010,삼남빌라8차,월세,39.36,202001,18,"         2,000",            30,3,1991,지도로92번길 30-9
경기도 고양덕양구 토당동,876-6,0876,0006,삼윤빌라(876-6),전세,56.52,202001,10,"        10,000",             0,3,1992,지도로42번길 22
경기도 고양덕양구 토당동,399,0399,0000,삼화주택(399),전세,59.31,202001,8,"        12,000",             0,3,1983,지도로26번길 9
경기도 고양덕양구 토당동,274-6,0274,0006,에코하우스A동,전세,26.67,202001,6,"        12,000",             0,4,2017,토당로 147
경기도 고양덕양구 토당동,274-6,0274,0006,에코하우스A동,전세,26.67,202001,6,"        12,000",             0,4,2017,토당로 147
경기도 고양덕양구 토당동,846-4,0846,0004,정우빌라가동,전세,57.705,202001,18,"        11,000",             0,3,1991,지도로104번길 34
경기도 고양덕양구 토당동,874-7,0874,0007,청송주택(874-7),전세,50.42,202001,3,"        10,000",             0,3,1991,행당로11번길 25-9
경기도 고양덕양구 토당동,37-14,0037,0014,현대(37-14),전세,49.69,202001,18,"         5,000",             0,2,1984,능곡로45번길 46
경기도 고양덕양구 토당동,884-23,0884,0023,홍현빌라(884-23),월세,72.22,202001,15,"        10,000",            20,1,2000,행신로97번길 21-28
경기도 고양덕양구 토당동,853-8,0853,0008,휠탑빌라드,월세,44.35,202001,13,"         2,000",            42,3,2002,지도로 82
경기도 고양덕양구 행신동,215-15,0215,0015,강선빌,전세,20.5,202001,16,"         6,000",             0,1,2002,행신로359번길 51
경기도 고양덕양구 행신동,642-5,0642,0005,동남다세대(642-5),전세,35.56,202001,13,"         7,000",             0,2,1989,행신로143번길 100
