시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,303-1,0303,0001,이화,전세,56.79,202001,13,"         6,000",             0,2,1984,율곡로2968번안길 2
강원도 강릉시 교동,303-1,0303,0001,이화,전세,56.79,202001,20,"         5,500",             0,3,1984,율곡로2968번안길 2
강원도 강릉시 교동,828-1,0828,0001,풍원국민주택,전세,57.72,202001,16,"         7,000",             0,2,1985,화부산로 93
강원도 강릉시 교동,837-3,0837,0003,한전기공사택,월세,49.32,202001,28,           500,            38,1,1988,옛강일길38번길 3
강원도 강릉시 구정면 학산리,641-106,0641,0106,학산로얄빌라,월세,84.75,202001,6,"         3,000",            50,3,2015,구정옥봉길 150-9
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,월세,49.57,202001,10,           500,            40,1,1997,범일로 528
강원도 강릉시 노암동,245-24,0245,0024,더힐,전세,45.75,202001,28,"        13,000",             0,4,2018,율곡로2747번길 5
강원도 강릉시 송정동,241-3,0241,0003,바우하우스(BAUHAUS),월세,32.49,202001,1,           200,            56,2,2019,송정길 27
강원도 강릉시 연곡면 영진리,357-30,0357,0030,ES프라우드,전세,42.7954,202001,21,"         8,000",             0,4,2016,영진길 33
강원도 강릉시 주문진읍 교항리,67-7,0067,0007,신영,월세,57.69,202001,2,"         1,500",            20,2,1984,신리4길 2
강원도 강릉시 포남동,1278,1278,0000,민락,월세,57.42,202001,6,           100,            15,3,1984,경강로2356번길 13
강원도 강릉시 포남동,515,0515,0000,삼화임대,월세,48.6,202001,4,            30,            28,1,1988,강릉대로419번길 54
강원도 강릉시 회산동,196-13,0196,0013,관동타운 202동,전세,22.8,202001,28,"         5,500",             0,2,2013,관솔길12번길 16
강원도 강릉시 회산동,196-13,0196,0013,관동타운 202동,월세,22.8,202001,30,"         3,000",            18,3,2013,관솔길12번길 16
강원도 강릉시 회산동,195-10,0195,0010,파인힐1차,전세,55.18,202001,8,"        15,000",             0,5,2017,관솔길12번길 14-7
강원도 강릉시 회산동,195-10,0195,0010,파인힐1차,전세,55.18,202001,8,"        15,000",             0,5,2017,관솔길12번길 14-7
강원도 동해시 천곡동,1059-4,1059,0004,씨티빌,월세,135.175,202001,17,"         1,000",            70,1,2017,샘실3길 85
강원도 삼척시 당저동,10-1,0010,0001,두원밸리,전세,48.93,202001,15,"         7,000",             0,2,2013,사대1길 35-30
강원도 삼척시 마달동,27-4,0027,0004,학사원룸,월세,24.67,202001,29,            50,            25,4,2002,마달길 103-16
강원도 삼척시 정상동,455,0455,0000,"영진(가,나)",전세,51.09,202001,21,"         3,100",             0,3,1987,동해대로 4025-10
강원도 속초시 교동,777-23,0777,0023,동설악빌라3동,월세,49.16,202001,23,"         1,000",            25,1,1991,교동로6길 47
강원도 속초시 교동,777-17,0777,0017,동설악빌라7동,전세,49.16,202001,4,"         2,800",             0,2,1991,교동로6길 47
강원도 속초시 금호동,625-88,0625,0088,성진주택,월세,65.73,202001,10,           100,             5,2,1983,번영로67번길 15-1
강원도 속초시 금호동,625-88,0625,0088,성진주택,전세,53.98,202001,24,"         5,000",             0,1,1983,번영로67번길 17
강원도 속초시 동명동,513-4,0513,0004,설악맨션,전세,76.19,202001,8,"         8,000",             0,2,2012,번영로129번길 7-3
강원도 속초시 동명동,513-4,0513,0004,설악맨션,전세,76.19,202001,8,"         8,000",             0,1,2012,번영로129번길 7-3
강원도 속초시 동명동,513-4,0513,0004,설악맨션,전세,71.18,202001,8,"         8,500",             0,3,2012,번영로129번길 7-3
강원도 속초시 동명동,513-4,0513,0004,설악맨션,전세,71.18,202001,9,"         8,000",             0,4,2012,번영로129번길 7-3
강원도 속초시 동명동,513-4,0513,0004,설악맨션,전세,76.19,202001,9,"         8,500",             0,2,2012,번영로129번길 7-3
강원도 속초시 영랑동,323-5,0323,0005,(323-5),전세,74.18,202001,8,"        10,000",             0,3,2017,영랑로6길 12-3
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,84.99,202001,10,"         8,500",             0,2,1990,청대마을길 5
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,64.13,202001,22,"         7,000",             0,1,1990,청대마을길 5
강원도 영월군 영월읍 영흥리,1037-6,1037,0006,장미,월세,68.55,202001,31,"         2,000",            40,2,1991,영모전길 118
강원도 원주시 단계동,777-4,0777,0004,단계하나VIVACHE,전세,52.76,202001,29,"        11,000",             0,10,2017,천사로 106
강원도 원주시 단구동,1065-11,1065,0011,대림베스트빌B,월세,76.27,202001,20,"         1,500",            30,4,2006,단구로243번길 7
강원도 원주시 소초면 장양리,1293,1293,0000,우창,월세,48.22,202001,16,           100,            20,3,1993,장막1길 64
강원도 원주시 소초면 장양리,1293,1293,0000,우창,전세,48.22,202001,28,"         2,000",             0,2,1993,장막1길 64
강원도 원주시 소초면 장양리,711-1,0711,0001,"한성빌라A,B동",전세,70.585,202001,20,"         3,000",             0,1,1997,장막1길 1-6
강원도 원주시 우산동,154-1,0154,0001,"삼호C,D동",전세,59.32,202001,8,"         3,000",             0,3,1991,북원로2425번길 53-2
강원도 원주시 우산동,95-3,0095,0003,진영,전세,55.37,202001,21,"         3,000",             0,2,1979,우무개로 9-10
강원도 원주시 태장동,1044-2,1044,0002,(1044-2),월세,49.36,202001,23,           570,             9,2,2013,방강골길 30
강원도 철원군 동송읍 이평리,838-64,0838,0064,미소가,전세,27.48,202001,17,"         3,500",             0,2,2014,금학로187번안길 15-5
