시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,834-1,0834,0001,대동,전세,53.23,202003,18,"         2,800",             0,1,1983,옛강일길 30
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,전세,49.57,202003,16,"         7,000",             0,4,1997,범일로 528
강원도 강릉시 노암동,639-22,0639,0022,남산,전세,53.46,202003,12,"         6,000",             0,2,1986,남산길 32
강원도 강릉시 노암동,639-22,0639,0022,남산,전세,53.46,202003,12,"         6,000",             0,2,1986,남산길 32
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,67.18,202003,7,"        21,000",             0,5,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,68.22,202003,10,"        17,000",             0,2,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,68.22,202003,10,"        17,000",             0,2,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,71.03,202003,17,"        20,000",             0,2,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-81,0110,0081,화이트캐슬,전세,84.69,202003,17,"        19,000",             0,1,2017,경강로 2531
강원도 강릉시 초당동,127-8,0127,0008,한솔빌라2차,전세,98.04,202003,6,"         9,000",             0,4,1992,강릉대로587번길 9-6
강원도 강릉시 포남동,1194-9,1194,0009,강릉지청관사,전세,84.24,202003,16,"         8,000",             0,1,1989,경강로2333번길 10
강원도 강릉시 포남동,515,0515,0000,삼화임대,전세,48.6,202003,4,"         5,500",             0,3,1988,강릉대로419번길 54
강원도 강릉시 포남동,515,0515,0000,삼화임대,전세,48.6,202003,26,"         5,000",             0,3,1988,강릉대로419번길 54
강원도 강릉시 포남동,515,0515,0000,삼화임대,월세,48.6,202003,27,           300,            30,2,1988,강릉대로419번길 54
강원도 강릉시 포남동,314-1,0314,0001,파인빌리지,전세,22.52,202003,23,"         6,000",             0,2,2018,난설헌로78번길 29-9
강원도 강릉시 포남동,314-1,0314,0001,파인빌리지,월세,22.52,202003,27,           300,            40,4,2018,난설헌로78번길 29-9
강원도 강릉시 회산동,195-9,0195,0009,관동타운102동,전세,20.35,202003,24,"         5,000",             0,2,2012,관솔길12번길 14-9
