시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 내곡동,267,0267,0000,기산그린타운,월세,30.59,202007,22,           300,            30,2,1997,범일로 528
강원도 강릉시 사천면 사천진리,54-9,0054,0009,하평빌2,월세,66.44,202007,29,"         8,000",            25,4,2017,공회당길 8
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,71.03,202007,6,"        20,000",             0,4,2016,경강로2533번길 3-5
강원도 강릉시 송정동,110-58,0110,0058,송정오벨리스크,전세,71.03,202007,19,"        24,000",             0,5,2016,경강로2533번길 3-5
강원도 강릉시 연곡면 영진리,353-69,0353,0069,동방이스트빌(104~105동),월세,71.12,202007,7,"         1,500",            45,3,2016,연주로 162
강원도 강릉시 용강동,29,0029,0000,서부시장,전세,53.08,202007,30,"         5,000",             0,4,1982,임영로155번길 6
강원도 강릉시 포남동,1278,1278,0000,민락,월세,57.42,202007,7,           500,            40,3,1984,경강로2356번길 13
강원도 강릉시 포남동,515,0515,0000,삼화임대,월세,48.6,202007,5,           500,            35,1,1988,강릉대로419번길 54
강원도 강릉시 회산동,195-9,0195,0009,관동타운102동,전세,20.35,202007,6,"         5,000",             0,2,2012,관솔길12번길 14-9
강원도 강릉시 회산동,195-9,0195,0009,관동타운102동,전세,24.95,202007,28,"         6,000",             0,2,2012,관솔길12번길 14-9
강원도 강릉시 회산동,195-10,0195,0010,파인힐1차,전세,55.18,202007,9,"        14,500",             0,2,2017,관솔길12번길 14-7
강원도 속초시 대포동,486-1,0486,0001,비치힐즈,월세,48.69,202007,24,"         1,000",            35,4,2015,해오름로 21
강원도 속초시 영랑동,202,0202,0000,둥지빌라,전세,98.21,202007,30,"        11,000",             0,4,2004,영랑로6길 6
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,72.78,202007,17,"         6,600",             0,1,1990,청대마을길 5
강원도 속초시 중앙동,623-2,0623,0002,청솔그랑빌,전세,53.8,202007,3,"         9,000",             0,5,2018,번영로97번길 23-1
강원도 원주시 단계동,120-2,0120,0002,삼광빌라,월세,66,202007,19,           500,            32,2,1986,원문로137번길 29
강원도 원주시 단계동,778-9,0778,0009,아이손원주 단계 101동 (단계동 778-9),전세,21.35,202007,23,"         8,000",             0,5,2019,천사로 88
강원도 원주시 문막읍 동화리,1277-21,1277,0021,퀸빌리지힐,월세,52.56,202007,7,"         1,000",            40,3,2014,세오름길 8
강원도 원주시 우산동,241-1,0241,0001,로이2,전세,18.495,202007,7,"         4,000",             0,2,2010,북원로2485번길 49-1
강원도 원주시 태장동,546-77,0546,0077,한만,전세,82.08,202007,24,"         5,500",             0,3,1994,흥양로102번길 6
강원도 정선군 고한읍 고한리,산261-34,0261,0034,고한빌라,월세,59.86,202007,20,"         1,000",            30,1,1999,고한9길 145
강원도 철원군 갈말읍 문혜리,856-18,0856,0018,삼우빌라트,전세,85.7,202007,20,"         8,000",             0,5,2007,두루미로 50-5
강원도 철원군 철원읍 화지리,35-3,0035,0003,화인빌라,전세,53.79,202007,8,"         2,000",             0,2,1989,금학로 300
강원도 춘천시 교동,159,0159,0000,현영원룸,전세,33.92,202007,11,"         5,500",             0,3,2011,삭주로70번길 17
강원도 춘천시 동면 지내리,146-1,0146,0001,도담마을101동102동,전세,63.09,202007,8,"         8,500",             0,2,2018,가산로 58-1
강원도 춘천시 옥천동,40-5,0040,0005,건우,월세,58.89,202007,17,           500,            35,2,1986,중앙로27번길 9-2
강원도 춘천시 조양동,69-6,0069,0006,장운-B동,전세,18.876,202007,11,"         5,000",             0,5,2015,시청길 16-2
강원도 춘천시 죽림동,127-1,0127,0001,127-1(단독주택형태),월세,39.96,202007,31,"         2,000",            15,1,1988,망대길 19
강원도 춘천시 효자동,689,0689,0000,(구)한국전력공사사택나동,전세,74.4,202007,10,"         8,000",             0,4,1988,춘천로64번길 27
강원도 태백시 황지동,418-38,0418,0038,솔바람빌리지,전세,84.029,202007,10,"         7,000",             0,2,2000,솔바람길 15
강원도 평창군 대관령면 용산리,678,0678,0000,평창스카이테라하우스,월세,31.8205,202007,24,           300,            20,1,2016,솔봉로 278-84
강원도 평창군 대화면 대화리,986-10,0986,0010,가원빌리지,월세,69.56,202007,12,"         6,500",             6,2,2017,남산1길 8
강원도 평창군 봉평면 면온리,490-5,0490,0005,거산노블밸리,전세,79.0808,202007,1,"         6,000",             0,2,2007,태기로 575-20
강원도 평창군 봉평면 창동리,297-3,0297,0003,봉평타운,월세,79.45,202007,9,"         1,700",             0,3,2015,방축동길 14-5
강원도 평창군 진부면 하진부리,200-1,0200,0001,대주 에코하우스,전세,59.13,202007,8,"         8,000",             0,2,2013,석두산길 30
강원도 홍천군 홍천읍 신장대리,2-10,0002,0010,무궁화주택,월세,63.92,202007,30,           300,            30,3,1982,학명루길 13
