시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202007,7,"         2,000",            24,1,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,전세,43.4,202007,8,"         8,500",             0,2,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,106-3,0106,0003,비발디힐,월세,43.4,202007,14,"         2,000",            30,4,2019,장전평로 65-1
강원도 홍천군 홍천읍 연봉리,306-18,0306,0018,탑스테이,전세,64.17,202007,18,"        16,000",             0,3,2019,송학강변로 101
강원도 홍천군 홍천읍 진리,50-6,0050,0006,라온빌,전세,56.86,202007,4,"         8,000",             0,4,2016,진삼거리길 7
강원도 홍천군 홍천읍 진리,11-7,0011,0007,월드빌라,전세,35.46,202007,1,"         3,000",             0,3,2003,희망로16길 9-3
강원도 홍천군 홍천읍 희망리,354-33,0354,0033,세종빌라타운,전세,51.66,202007,14,"         3,000",             0,4,2017,신장대로 31
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,전세,32.64,202007,14,"         4,000",             0,3,1999,노신로 82-16
강원도 화천군 화천읍 신읍리,578,0578,0000,동보,월세,32.64,202007,30,           200,            25,1,1999,노신로 82-16
강원도 횡성군 횡성읍 읍상리,48-1,0048,0001,섬강아트빌리지,전세,73.2,202007,28,"         1,000",             0,1,1994,읍상동로 50-7
경기도 가평군 가평읍 달전리,699,0699,0000,북한강 동연재 공동주택 B1,전세,70.04,202007,20,"        15,000",             0,1,2017,동연재로 20-10
경기도 가평군 가평읍 승안리,16-1,0016,0001,라니아캐슬,전세,84.82,202007,9,"        17,500",             0,2,2017,계량촌길 20
경기도 가평군 가평읍 승안리,16-1,0016,0001,라니아캐슬,전세,84.82,202007,18,"        17,000",             0,4,2017,계량촌길 20
경기도 가평군 가평읍 읍내리,627,0627,0000,성지그린빌A동,월세,70.69,202007,30,           500,            45,3,2003,가화로 170
경기도 가평군 설악면 선촌리,292-2,0292,0002,청평라폴리움,전세,213.04,202007,23,"        45,000",             0,1,2009,자잠로 183-61
경기도 가평군 설악면 선촌리,292-2,0292,0002,청평라폴리움,전세,213.04,202007,23,"        45,000",             0,1,2009,자잠로 183-61
경기도 가평군 설악면 선촌리,418-9,0418,0009,"포레디움A,B동",전세,46.77,202007,16,"         1,000",             0,4,2020,탐선길 31-10
경기도 가평군 설악면 신천리,496-6,0496,0006,(496-6),월세,34.5,202007,3,"         1,000",            45,4,2016,신천중앙로120번길 20-21
경기도 가평군 조종면 현리,222-4,0222,0004,(222-4),월세,61.36,202007,14,"         1,000",            55,4,2018,조종새싹로 65
경기도 가평군 조종면 현리,170-10,0170,0010,듀오리치빌,전세,51.21,202007,15,"        10,000",             0,3,2015, 1354-9
경기도 가평군 조종면 현리,248-27,0248,0027,조종리버빌2차,전세,51.6,202007,24,"        12,500",             0,4,2018,조종내길 105
경기도 가평군 조종면 현리,249-8,0249,0008,조종리버빌3차,전세,84.71,202007,20,"        20,000",             0,3,2020,조종내길 107
경기도 가평군 조종면 현리,235-6,0235,0006,천일홈타운,전세,58.17,202007,14,"         9,500",             0,3,2015,조종희망로 94-20
경기도 가평군 청평면 대성리,623-31,0623,0031,강변명가 A동,월세,47.94,202007,30,"         1,000",            50,3,2014,모꼬지로 10
경기도 가평군 청평면 청평리,353-2,0353,0002,(353-2),전세,70.305,202007,14,"        12,000",             0,5,2012,은고개로11번길 26
경기도 가평군 청평면 청평리,665,0665,0000,원광주택,월세,65.46,202007,3,"         2,000",            20,4,1993,구청평로5번길 18
경기도 가평군 청평면 청평리,665,0665,0000,원광주택,전세,65.46,202007,8,"         5,000",             0,4,1993,구청평로5번길 18
경기도 고양덕양구 고양동,1132-1,1132,0001,그린파크101동102동,전세,56.77,202007,6,"        22,800",             0,5,2017,푸른마을로 33-7
경기도 고양덕양구 고양동,312-1,0312,0001,드림팰리스,월세,38.59,202007,1,"         1,000",            50,4,2010,동헌로 408-73
경기도 고양덕양구 고양동,270-18,0270,0018,미래하이츠빌라(270-18),전세,37.32,202007,13,"         3,300",             0,3,1991,대양로285번길 24-1
경기도 고양덕양구 고양동,270-19,0270,0019,미래하이츠빌라(270-19),월세,36.53,202007,16,           100,            15,1,1990,대양로285번길 24
경기도 고양덕양구 고양동,1073,1073,0000,보라빌라,월세,64.2,202007,2,"         2,000",            25,1,1986,보광로 21
경기도 고양덕양구 고양동,199-6,0199,0006,산수그린빌라(199-6),월세,43.38,202007,16,"         1,500",            40,1,1986,읍내로6번길 29
경기도 고양덕양구 고양동,240-15,0240,0015,성신피스빌,월세,15.47,202007,13,           500,            42,2,2016,혜음로 17-18
경기도 고양덕양구 고양동,993,0993,0000,세중 더 클래스,전세,51.8,202007,2,"        11,000",             0,4,2011,보광로 12
경기도 고양덕양구 고양동,870,0870,0000,세중더클래스24,전세,20.8,202007,1,"         4,500",             0,4,2012,푸른마을로120번길 25
경기도 고양덕양구 고양동,870,0870,0000,세중더클래스24,월세,20.8,202007,9,"         2,500",            20,3,2012,푸른마을로120번길 25
경기도 고양덕양구 고양동,8-21,0008,0021,신성빌라(8-21),전세,36.54,202007,6,"         5,000",             0,3,1991,혜음로 101
경기도 고양덕양구 관산동,207-7,0207,0007,(삼성빌라 4동,전세,44.01,202007,21,"         7,000",             0,1,1991,통일로781번길 45
경기도 고양덕양구 관산동,336-24,0336,0024,거성빌라 비동,전세,36.27,202007,8,"         4,500",             0,2,1990,통일로794번길 11
경기도 고양덕양구 관산동,641-15,0641,0015,대훈그린빌(641-15),전세,56.8,202007,7,"         7,500",             0,4,2011,고골길 117-43
경기도 고양덕양구 관산동,548-33,0548,0033,"더팰리스(103동,104동,105동)",전세,59.7577,202007,13,"        23,700",             0,4,2019,동헌로3번길 80-5
경기도 고양덕양구 관산동,338-31,0338,0031,동남빌라다동,전세,34.7,202007,3,"         5,500",             0,1,1992,통일로780번길 36
경기도 고양덕양구 관산동,179-1,0179,0001,동호주택 6동,월세,39.3,202007,17,           500,            30,2,1991,통일로754번길 25-13
경기도 고양덕양구 관산동,478-9,0478,0009,신원드림빌가동,전세,55.95,202007,10,"        16,600",             0,4,2016,통일로966번길 50
경기도 고양덕양구 관산동,580-11,0580,0011,요산아트빌101동102동,월세,59.87,202007,8,             0,           100,-1,2012,고골길 71-1
경기도 고양덕양구 관산동,684-11,0684,0011,정일타운,월세,54.01,202007,24,"         1,000",            60,2,2018,통일로1018번길 27
경기도 고양덕양구 관산동,546,0546,0000,행운빌라,전세,41.58,202007,4,"         4,000",             0,1,1997,동헌로3번길 70
경기도 고양덕양구 관산동,190-4,0190,0004,허스(라동),월세,32.65,202007,15,           300,            20,1,1985,통일로759번길 15
경기도 고양덕양구 관산동,190-4,0190,0004,허스(라동),전세,32.65,202007,23,"         3,300",             0,3,1985,통일로759번길 15
경기도 고양덕양구 관산동,190,0190,0000,허스가나동,전세,58.68,202007,14,"         7,500",             0,3,1985,통일로759번길 10
경기도 고양덕양구 관산동,657-31,0657,0031,훼미리타운(657-31),전세,60.25,202007,28,"        11,000",             0,3,2009,고골길 55
경기도 고양덕양구 내유동,275-8,0275,0008,"M타운(1동,2동)",전세,57.92,202007,13,"        11,000",             0,4,2012,내유길 38-58
경기도 고양덕양구 내유동,433-6,0433,0006,광산쉐르빌3차,전세,53.69,202007,6,"        13,500",             0,4,2013,통일로 1146-4
경기도 고양덕양구 내유동,433-6,0433,0006,광산쉐르빌3차,전세,53.69,202007,10,"        13,500",             0,4,2013,통일로 1146-4
경기도 고양덕양구 내유동,587-6,0587,0006,럭키 E-CLASS 1동,전세,54.776,202007,20,"        23,000",             0,1,2020,통일로1214번길 14-1
경기도 고양덕양구 내유동,685-9,0685,0009,럭키이클래스5차(105동),전세,50.27,202007,23,"        25,900",             0,4,2019,통일로1290번길 42
경기도 고양덕양구 내유동,685-9,0685,0009,럭키이클래스5차(105동),전세,50.27,202007,23,"        25,900",             0,4,2019,통일로1290번길 42
경기도 고양덕양구 내유동,627-14,0627,0014,마이닷홈(6동),전세,49.01,202007,18,"         7,000",             0,2,2002,유산길50번길 18-18
경기도 고양덕양구 내유동,436-75,0436,0075,블루캐슬3동,전세,46.79,202007,9,"         8,000",             0,2,2013,통일로1154번길 24-45
경기도 고양덕양구 내유동,670-5,0670,0005,아이딜빌라(670-5),전세,59.71,202007,23,"         9,000",             0,1,2002,유산길17번길 57
경기도 고양덕양구 내유동,654-4,0654,0004,양지그린타운(654-4),전세,59.895,202007,20,"         8,500",             0,1,2002,유산길37번길 16-39
경기도 고양덕양구 내유동,588-5,0588,0005,위너스빌202동,월세,43.06,202007,28,"         1,500",            50,1,2018,통일로1214번길 6-25
경기도 고양덕양구 내유동,436-22,0436,0022,정원아트빌,월세,45.75,202007,6,"         1,000",            60,3,2017,통일로1154번길 23-4
경기도 고양덕양구 내유동,294-15,0294,0015,"청담힐타운 6단지(12,13,14동)",월세,56.05,202007,1,"         1,000",            55,3,2015,통일로 1060-17
경기도 고양덕양구 내유동,626,0626,0000,코리아타운(626-0),전세,65.84,202007,17,"        12,500",             0,2,2011,유산길 46-27
경기도 고양덕양구 내유동,698-3,0698,0003,클래식4동,월세,43.26,202007,6,"         2,500",            30,3,2014,명봉산로6번길 20-36
경기도 고양덕양구 내유동,431-26,0431,0026,화인빌C동,월세,33.81,202007,7,           500,            43,3,2012,통일로1108번길 181
경기도 고양덕양구 내유동,702-11,0702,0011,휴그린218동,월세,46.65,202007,27,"         1,000",            60,1,2018,명봉산로6번길 20-96
경기도 고양덕양구 내유동,782-8,0782,0008,힐하우스,전세,52.245,202007,25,"        18,100",             0,1,2018,명봉산로6번길 19
경기도 고양덕양구 대자동,164,0164,0000,삼부렉스빌 A동,전세,58.92,202007,14,"        10,000",             0,3,2015,호국로1430번길 53-4
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202007,1,"        34,000",             0,1,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202007,4,"        30,450",             0,2,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,월세,59.998,202007,28,"        10,000",            90,3,2016,동산1로 50
경기도 고양덕양구 동산동,343,0343,0000,동산마을화성파크드림PATIO,전세,59.9978,202007,31,"        35,000",             0,3,2016,동산1로 50
경기도 고양덕양구 동산동,53-43,0053,0043,정원에버빌 B동,전세,73.13,202007,8,"         5,000",             0,3,2015,고양대로2002번길 87
경기도 고양덕양구 벽제동,512-38,0512,0038,상곡마을104동,월세,38.67,202007,13,           500,            45,4,2006,보광로 78-19
경기도 고양덕양구 삼송동,65-1,0065,0001,JT 하우스 2(A동),전세,33.05,202007,7,"        18,000",             0,2,2020,삼송로193번길 111
경기도 고양덕양구 삼송동,65-1,0065,0001,JT 하우스 2(A동),전세,29.54,202007,13,"        15,000",             0,4,2020,삼송로193번길 111
경기도 고양덕양구 삼송동,57-109,0057,0109,미소빌라B동,전세,42.7,202007,24,"        22,000",             0,3,2017,삼송로205번길 49-23
경기도 고양덕양구 삼송동,57-109,0057,0109,미소빌라B동,전세,42.7,202007,29,"        22,000",             0,3,2017,삼송로205번길 49-23
경기도 고양덕양구 삼송동,57-109,0057,0109,미소빌라B동,전세,42.7,202007,29,"        22,000",             0,3,2017,삼송로205번길 49-23
경기도 고양덕양구 삼송동,143-14,0143,0014,삼송 힐하우스 103동,전세,51.13,202007,21,"        25,000",             0,4,2018,세솔로1길 26
경기도 고양덕양구 삼송동,48-31,0048,0031,삼송클래식빌(C동),전세,84.92,202007,7,"        25,000",             0,3,2010,삼송로185번길 63
경기도 고양덕양구 삼송동,80-54,0080,0054,창우아이빌101동,전세,43.805,202007,1,"        16,700",             0,2,2017,세솔로2길 39
경기도 고양덕양구 삼송동,80-54,0080,0054,창우아이빌101동,전세,43.805,202007,1,"        18,000",             0,2,2017,세솔로2길 39
경기도 고양덕양구 성사동,419-14,0419,0014,경남주택사동(419-14),월세,44.76,202007,2,           400,            32,3,1986,충장로 491
경기도 고양덕양구 성사동,494-38,0494,0038,대주빌라사동(494-38),전세,31.16,202007,16,"         7,000",             0,3,1989,고양대로1395번길 75-5
경기도 고양덕양구 성사동,414-3,0414,0003,장미빌라 4동(414-3),월세,34.8,202007,10,"         1,000",            40,1,1988,충장로475번길 1
경기도 고양덕양구 성사동,488-66,0488,0066,주봉빌라가동(488-66),월세,36.51,202007,6,"         2,000",            30,2,1990,고양대로1395번길 80
경기도 고양덕양구 성사동,422-25,0422,0025,현대그린빌라(422-25),전세,36.63,202007,17,"         7,000",             0,1,1989,마상로 200-8
경기도 고양덕양구 신원동,256-5,0256,0005,벧엘타운2차A동,전세,51.78,202007,4,"        22,000",             0,2,2018,호국로1284번길 106
경기도 고양덕양구 주교동,565-6,0565,0006,거송빌라(565-6),월세,56.16,202007,6,           500,            40,1,2001,원당로113번길 48-10
경기도 고양덕양구 주교동,565-7,0565,0007,광원빌라(565-7)가동,월세,35.19,202007,14,           300,            30,1,1989,원당로113번길 48-6
경기도 고양덕양구 주교동,565-7,0565,0007,광원빌라(565-7)가동,월세,35.19,202007,22,           500,            30,1,1989,원당로113번길 48-6
경기도 고양덕양구 주교동,302-1,0302,0001,그린힐타운(302-1) 110동,월세,57.01,202007,11,"         1,000",            45,1,2003,마상로63번길 21-1
경기도 고양덕양구 주교동,302-25,0302,0025,그린힐타운(302-25) 107동,월세,57.31,202007,4,"         2,000",            40,4,2002,마상로63번길 25-1
경기도 고양덕양구 주교동,303-8,0303,0008,그린힐타운(303-8) 108동,전세,57.31,202007,4,"         9,500",             0,4,2002,마상로63번길 25
경기도 고양덕양구 주교동,305-2,0305,0002,그린힐타운(305-2) 114동,월세,70.01,202007,15,"         4,000",            38,4,2003,마상로63번길 26
경기도 고양덕양구 주교동,572-5,0572,0005,대일빌라(572-5)마동,전세,36,202007,16,"         6,000",             0,3,1989,원당로101번길 48
경기도 고양덕양구 주교동,564-6,0564,0006,무지개빌라,전세,44.55,202007,9,"         4,000",             0,2,1986,원당로113번길 60-4
경기도 고양덕양구 주교동,562,0562,0000,삼화하이츠빌라(562),전세,99.18,202007,21,"        12,000",             0,3,1994,원당로125번길 83
경기도 고양덕양구 주교동,588-7,0588,0007,세인주택(588-7)나동,전세,35.06,202007,14,"         4,500",             0,2,1988,원당로59번길 50-6
경기도 고양덕양구 주교동,618-30,0618,0030,세인주택(618-30)나동,월세,36.24,202007,10,           500,            30,-1,1990,마상로126번길 29
경기도 고양덕양구 주교동,559,0559,0000,영신빌라(559),전세,42.15,202007,2,"         7,000",             0,3,1986,원당로135번길 55
경기도 고양덕양구 주교동,559-1,0559,0001,오익(559-1),월세,49.67,202007,31,"         1,000",            35,3,1985,원당로125번길 56
경기도 고양덕양구 주교동,567,0567,0000,우일아파트,전세,62.9,202007,9,"         4,000",             0,4,1992,원당로125번길 21
경기도 고양덕양구 주교동,586-14,0586,0014,유림(586-14)2동,월세,35.19,202007,6,"         2,000",            40,3,1989,마상로108번길 45
경기도 고양덕양구 주교동,558-1,0558,0001,은하맨숀,전세,63.42,202007,21,"        10,000",             0,2,1984,원당로125번길 50
경기도 고양덕양구 주교동,589-12,0589,0012,인정파크뷰(589-12)101동,월세,75.22,202007,27,"         3,000",            50,3,2002,원당로59번길 50-15
경기도 고양덕양구 주교동,570-15,0570,0015,정원빌라(570-15)C동,전세,34.68,202007,28,"         3,000",             0,3,1989,마상로113번길 31
경기도 고양덕양구 주교동,570-4,0570,0004,정원빌라(570-4)D동,월세,34.68,202007,20,"         1,000",            30,1,1989,마상로113번길 31-1
경기도 고양덕양구 주교동,309-9,0309,0009,현대그린빌라(309-9)6동,월세,36.46,202007,13,           500,            35,2,1991,마상로63번길 14-9
경기도 고양덕양구 주교동,560,0560,0000,현대맨션,월세,43.51,202007,18,           700,            40,1,1984,원당로135번길 71
경기도 고양덕양구 지축동,724-63,0724,0063,M클라스B동,전세,77.36,202007,30,"         3,500",             0,2,2018,삼송로 287-6
경기도 고양덕양구 지축동,724-63,0724,0063,M클라스B동,전세,77.36,202007,30,"         3,500",             0,3,2018,삼송로 287-6
경기도 고양덕양구 지축동,182-1,0182,0001,수린나몽마르뜨101동,전세,59.08,202007,30,"        16,000",             0,2,2016,흥국사길 33
경기도 고양덕양구 토당동,880-5,0880,0005,대성빌라(880-5),전세,31.95,202007,20,"         7,000",             0,2,1990,행당로 23-22
경기도 고양덕양구 토당동,385-7,0385,0007,세인(385-7),전세,57.42,202007,4,"        10,000",             0,3,1983,토당로32번길 41
경기도 고양덕양구 토당동,385-7,0385,0007,세인(385-7),전세,57.42,202007,16,"        11,500",             0,2,1983,토당로32번길 41
경기도 고양덕양구 토당동,385-7,0385,0007,세인(385-7),전세,57.42,202007,27,"        10,000",             0,1,1983,토당로32번길 41
경기도 고양덕양구 토당동,892-6,0892,0006,스마일하우스C동,월세,21.795,202007,22,           500,            40,2,2013,지도로124번길 33
경기도 고양덕양구 토당동,274-6,0274,0006,에코하우스A동,월세,23.2,202007,16,"         1,000",            45,3,2017,토당로 147
경기도 고양덕양구 토당동,274-9,0274,0009,에코하우스B동,전세,26.51,202007,26,"        10,000",             0,2,2017,토당로 149
경기도 고양덕양구 토당동,402,0402,0000,임창타운,전세,65.46,202007,9,"        10,500",             0,3,1985,행당로 12-7
경기도 고양덕양구 토당동,402,0402,0000,임창타운,전세,65.46,202007,31,"        13,000",             0,1,1985,행당로 12-7
경기도 고양덕양구 토당동,26,0026,0000,자성빌라(26-0),전세,37.44,202007,7,"         8,500",             0,1,1986,지도로124번길 14-27
경기도 고양덕양구 토당동,335-34,0335,0034,정원주택,전세,39.09,202007,3,"         6,000",             0,2,1991,토당로 88-31
경기도 고양덕양구 토당동,48-20,0048,0020,활터주택,월세,67.21,202007,10,           200,            50,1,1981,지도로79번길 30
경기도 고양덕양구 행신동,644-123,0644,0123,(644-123),월세,13.6,202007,4,           500,            40,4,2013,충장로103번길 152
경기도 고양덕양구 행신동,676-14,0676,0014,(676-14),전세,16.71,202007,2,"         4,000",             0,2,2013,행신로329번길 13
경기도 고양덕양구 행신동,220-10,0220,0010,대남다세대(220-10),전세,36.38,202007,15,"         7,000",             0,3,1989,행신로325번길 17
경기도 고양덕양구 행신동,644-55,0644,0055,대호빌라(644-55),전세,36.18,202007,6,"         7,000",             0,1,1990,충장로103번길 166-10
경기도 고양덕양구 행신동,642-5,0642,0005,동남다세대(642-5),전세,35.56,202007,11,"         7,500",             0,1,1989,행신로143번길 100
경기도 고양덕양구 행신동,209-2,0209,0002,목화탑빌,전세,35.65,202007,17,"        11,000",             0,3,2002,행신로291번길 22-1
경기도 고양덕양구 행신동,644-85,0644,0085,무궁화빌라(644-85),전세,35.28,202007,4,"         5,000",             0,2,2001,충장로103번길 80
경기도 고양덕양구 행신동,644-85,0644,0085,무궁화빌라(644-85),월세,31.35,202007,30,"         7,500",             5,3,2001,충장로103번길 80
경기도 고양덕양구 행신동,210,0210,0000,문화빌라(210-0),전세,34.62,202007,10,"         7,000",             0,2,1990,중앙로468번길 88
경기도 고양덕양구 행신동,213,0213,0000,삼성주택,월세,39.67,202007,4,"         2,500",            24,-1,2000,행신로311번길 44
경기도 고양덕양구 행신동,225-5,0225,0005,신풍빌라,월세,34.4,202007,22,           500,            35,3,1989,행신로303번길 3
경기도 고양덕양구 행신동,204-5,0204,0005,연세빌라,전세,40.6,202007,21,"        10,000",             0,1,1986,중앙로480번길 40
경기도 고양덕양구 행신동,242-13,0242,0013,영흥빌라(242-13),전세,40.12,202007,2,"         7,500",             0,2,1989,행신로325번길 11-6
경기도 고양덕양구 행신동,242-30,0242,0030,영흥빌라(242-30),전세,36.45,202007,21,"         5,000",             0,-1,1990,행신로325번길 3-8
경기도 고양덕양구 행신동,242-31,0242,0031,영흥빌라(242-31),전세,36.45,202007,16,"         4,500",             0,1,1990,행신로325번길 3-6
경기도 고양덕양구 행신동,282-15,0282,0015,우성빌라(282-15),전세,49.94,202007,29,"        10,000",             0,1,1991,행신로325번길 24-12
경기도 고양덕양구 행신동,282-23,0282,0023,우성빌라(282-23),전세,49.94,202007,20,"         9,500",             0,4,1991,행신로359번길 25-10
경기도 고양덕양구 행신동,282-26,0282,0026,우성빌라(282-26),전세,49.43,202007,27,"         6,000",             0,-1,1991,행신로329번길 17
경기도 고양덕양구 행신동,284-8,0284,0008,우성빌라(284-8),전세,36.48,202007,31,"         8,000",             0,2,1991,행신로359번길 29-4
경기도 고양덕양구 행신동,205-1,0205,0001,윤성빌,전세,18.51,202007,1,"         4,500",             0,4,2011,행신로279번길 76
경기도 고양덕양구 행신동,205-1,0205,0001,윤성빌,월세,16.43,202007,18,"         1,000",            30,2,2011,행신로279번길 76
경기도 고양덕양구 행신동,235-1,0235,0001,제민연립(235-1),전세,52.03,202007,4,"         9,500",             0,2,1982,중앙로468번길 49
경기도 고양덕양구 행신동,208-25,0208,0025,현대다세대(208-25),전세,38.34,202007,24,"         7,500",             0,2,1988,중앙로468번길 64-7
경기도 고양덕양구 행신동,282-12,0282,0012,현대하이츠빌라(282-12),월세,49.94,202007,22,"         2,000",            40,2,1991,행신로359번길 25-6
경기도 고양덕양구 현천동,394-20,0394,0020,명지빌B동,전세,63.35,202007,29,"         9,000",             0,2,2011,해포길 30-18
경기도 고양일산동구 마두동,821,0821,0000,정발마을1,전세,167.32,202007,29,"        44,000",             0,3,1996,산두로 88
경기도 고양일산동구 마두동,859,0859,0000,정발마을2,월세,59.88,202007,25,"         4,000",            60,1,1996,산두로 72
경기도 고양일산동구 마두동,859,0859,0000,정발마을2,전세,84.88,202007,29,"        27,000",             0,2,1996,산두로 72
경기도 고양일산동구 마두동,1004,1004,0000,정발마을7,월세,134.98,202007,25,"        17,000",            70,3,1996,정발산로82번길 10
경기도 고양일산동구 문봉동,232-15,0232,0015,아이파크빌,전세,41.035,202007,29,"        10,000",             0,4,2015,문봉길 40-1
경기도 고양일산동구 백석동,1145,1145,0000,백송마을(건영),월세,59.93,202007,7,"         3,500",            60,3,1996,일산로135번길 17
경기도 고양일산동구 백석동,1145,1145,0000,백송마을(건영),전세,84.84,202007,23,"        30,000",             0,2,1996,일산로135번길 17
경기도 고양일산동구 백석동,1145,1145,0000,백송마을(건영),전세,84.88,202007,24,"        25,000",             0,2,1996,일산로135번길 17
경기도 고양일산동구 백석동,1193,1193,0000,흰돌마을(라이프),전세,84.99,202007,2,"        31,000",             0,3,1994,강송로125번길 52
경기도 고양일산동구 사리현동,455-13,0455,0013,e-편한아침104동,전세,52.6665,202007,10,"        14,300",             0,1,2017,성현로513번길 18-11
경기도 고양일산동구 성석동,1082-82,1082,0082,(1082-82),월세,57.99,202007,13,"         1,500",            50,3,2016,고봉로678번길 18-16
