시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 유천동,776-4,0776,0004,유천올림피아오피스텔,월세,39.27,202003,5,           500,            65,4,2016,사임당로 180
강원도 강릉시 유천동,776-4,0776,0004,유천올림피아오피스텔,전세,23.58,202003,6,"         7,500",             0,2,2016,사임당로 180
강원도 강릉시 유천동,776-4,0776,0004,유천올림피아오피스텔,월세,21.66,202003,23,"         1,500",             6,6,2016,사임당로 180
강원도 강릉시 홍제동,1018-2,1018,0002,골드팰리스,전세,21.48,202003,20,"         7,000",             0,5,2016,선수촌로 79-29
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,전세,23.39,202003,10,"         7,000",             0,2,2016, 
강원도 삼척시 당저동,125-4,0125,0004,JG오피스텔,전세,25.29,202003,3,"         5,000",             0,2,2013,당저길 35-5
강원도 속초시 동명동,287,0287,0000,속초 인트레빌하버뷰,월세,23.57,202003,7,           500,            40,5,2019,법대로 20
강원도 원주시 단계동,777-4,0777,0004,(777-4),전세,73.27,202003,13,"         9,000",             0,5,2017,천사로 106
강원도 원주시 단구동,1610-6,1610,0006,정우월드피아,월세,50.08,202003,4,           200,            40,3,2015, 
강원도 원주시 무실동,1724-1,1724,0001,매머드시티2차,월세,27.84,202003,5,"         1,000",            35,3,2017,시청로 11-1
강원도 원주시 무실동,1724-1,1724,0001,매머드시티2차,전세,27.84,202003,30,"         8,500",             0,4,2017,시청로 11-1
강원도 원주시 무실동,1721-1,1721,0001,엠시티,월세,27.41,202003,2,           500,            40,4,2019,만대로 21
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,27.4,202003,13,"         8,000",             0,2,2019,만대로 21
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,25.25,202003,14,"         9,000",             0,2,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,월세,25.25,202003,24,           500,            40,5,2018,시청로 89-16
강원도 원주시 무실동,1721-6,1721,0006,채움플러스 무실1차,전세,27.36,202003,19,"         9,500",             0,6,2019,시청로 11
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202003,6,"         8,000",             0,9,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202003,31,"         9,000",             0,6,2017, 
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202003,11,"         7,350",             0,6,2016,혁신로 61
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202003,5,"         8,000",             0,5,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.69,202003,23,           300,            35,10,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202003,6,           300,            33,12,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.37,202003,11,"         7,000",             0,15,2016,양지로 58
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,27.36,202003,6,"         9,000",             0,11,2018,황금로 34
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,27.36,202003,7,"         9,900",             0,7,2018,황금로 34
강원도 원주시 반곡동,1905-9,1905,0009,파크팰리스,전세,33.48,202003,26,"        11,000",             0,10,2018,황금로 34
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202003,9,           300,            43,19,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202003,21,           500,            40,19,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202003,23,"         7,500",             0,15,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202003,26,"         7,500",             0,17,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202003,30,           500,            40,17,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202003,30,"         7,500",             0,7,2020,상지대길 9
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,18.75,202003,6,"         7,000",             0,9,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,18.75,202003,18,"         7,000",             0,15,2019,공지로 453
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202003,6,"        11,500",             0,3,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,38.47,202003,7,"        10,000",             0,6,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202003,8,"        11,200",             0,8,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202003,8,"        11,200",             0,8,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,20.19,202003,9,"         7,000",             0,5,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,38.47,202003,9,"        12,500",             0,15,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202003,10,"         9,000",             0,15,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,20.19,202003,13,           500,            35,14,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,20.19,202003,13,           400,            38,11,2018,공지로 455
