시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,140-16,0140,0016,강릉역 블루핀,전세,22,202007,14,"         7,700",             0,5,2020,강릉대로 285
강원도 강릉시 홍제동,1020-1,1020,0001,유퍼스트,전세,26.97,202007,16,"         8,000",             0,6,, 
강원도 강릉시 홍제동,1035-1,1035,0001,푸르벨라 1차,월세,23.39,202007,27,           300,            45,5,2016, 
강원도 삼척시 남양동,131-16,0131,0016,드림팰리스,전세,84.03,202007,8,"        15,000",             0,10,,중앙로 171-34
강원도 속초시 영랑동,231-2,0231,0002,동진리조트 오피스텔,월세,26.25,202007,19,           300,            25,3,1992,번영로 170
강원도 원주시 단계동,777-4,0777,0004,(777-4),전세,63.36,202007,31,"        12,000",             0,4,2017,천사로 106
강원도 원주시 단구동,1610-8,1610,0008,정우월드피아[102동],전세,50.08,202007,1,"        10,000",             0,8,2015, 
강원도 원주시 단구동,1610-8,1610,0008,정우월드피아[102동],월세,50.08,202007,7,"         1,500",            30,6,2015, 
강원도 원주시 무실동,1724-1,1724,0001,매머드시티2차,전세,27.84,202007,1,"         8,800",             0,4,2017,시청로 11-1
강원도 원주시 무실동,1721-1,1721,0001,엠시티,전세,27.4,202007,15,"         8,500",             0,2,2019,만대로 21
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,25.25,202007,4,"         8,500",             0,7,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,27.36,202007,6,"         9,000",             0,2,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,25.25,202007,24,"         8,500",             0,3,2018,시청로 89-16
강원도 원주시 무실동,1850-5,1850,0005,휴먼팰리스,전세,25.26,202007,1,"         9,000",             0,5,2017, 
강원도 원주시 반곡동,1886-2,1886,0002,골든스퀘어1차,월세,29.64,202007,4,           500,            43,5,2016,혁신로 55
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,월세,29.64,202007,4,           500,            43,5,2016,혁신로 61
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,월세,36.48,202007,9,"         1,000",            45,7,2016,혁신로 61
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202007,30,"        10,000",             0,4,2016,혁신로 61
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202007,4,"         8,500",             0,10,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.69,202007,13,"         8,000",             0,15,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202007,2,           500,            33,11,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.37,202007,4,           300,            32,12,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.37,202007,4,           500,            31,15,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.37,202007,5,           500,            33,17,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.48,202007,9,"         7,140",             0,9,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.37,202007,12,           500,            28,8,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.48,202007,12,"         8,000",             0,10,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202007,29,           500,            33,14,2016,양지로 58
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202007,1,"         7,000",             0,16,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202007,9,"         6,000",             0,5,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,20.16,202007,13,           500,            40,16,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202007,28,"         6,000",             0,5,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,20.16,202007,31,           500,            40,4,2020,상지대길 9
강원도 원주시 지정면 신평리,1112-4,1112,0004,(1112-4),월세,34.59,202007,17,           300,            43,6,2018,기업도시로 6
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,18.75,202007,1,"         7,000",             0,3,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202007,1,           400,            35,16,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202007,7,           300,            31,4,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,17.81,202007,17,"         7,000",             0,3,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202007,18,           500,            39,12,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,18.75,202007,27,"         7,350",             0,20,2019,공지로 453
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,20.19,202007,1,"         8,000",             0,6,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202007,31,"        10,000",             0,7,2018,공지로 455
강원도 춘천시 온의동,514-1,0514,0001,가온펠리스,월세,22.27,202007,20,           500,            40,3,2018,영서로2279번길 20
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.11,202007,1,"         8,400",             0,8,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202007,11,"         1,000",            40,5,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202007,12,           500,            40,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.34,202007,16,"         9,000",             0,8,2017,춘천로17번길 21
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202007,11,"        30,000",             0,21,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,57.92,202007,11,"         3,000",           100,21,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202007,14,"        23,000",             0,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,82.76,202007,17,"         2,000",           160,21,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202007,25,"        35,000",             0,26,2019,덕수천2로 150
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202007,2,"         3,000",           100,20,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202007,2,"        33,000",             0,6,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202007,8,"         2,000",           105,22,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,57.92,202007,10,"         3,000",           100,18,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,75.94,202007,11,"        37,000",             0,9,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,75.93,202007,11,"        37,500",             0,14,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,75.93,202007,18,"         3,000",           120,21,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,75.93,202007,24,"         5,000",           110,9,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202007,25,"        25,000",             0,12,2019,동송로 23-28
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,54.32,202007,1,"        32,000",             0,26,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,77.51,202007,3,"        32,000",             0,8,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,73.51,202007,4,"        36,000",             0,6,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,69.66,202007,4,"        37,000",             0,18,2018,동송로 33
경기도 고양덕양구 동산동,369,0369,0000,이편한세상시티삼송,전세,73.51,202007,4,"        36,000",             0,13,2018,동송로 33
