시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 교동,140-16,0140,0016,강릉역 블루핀,전세,22,202006,3,"         8,000",             0,9,2020,강릉대로 285
강원도 강릉시 교동,140-16,0140,0016,강릉역 블루핀,전세,22,202006,4,"         8,000",             0,15,2020,강릉대로 285
강원도 강릉시 교동,140-16,0140,0016,강릉역 블루핀,전세,22,202006,11,"         8,000",             0,5,2020,강릉대로 285
강원도 강릉시 교동,140-16,0140,0016,강릉역 블루핀,전세,22,202006,30,"         8,000",             0,11,2020,강릉대로 285
강원도 강릉시 홍제동,1020-1,1020,0001,유퍼스트,월세,26.97,202006,12,           300,            47,5,, 
강원도 강릉시 홍제동,1019-3,1019,0003,푸르벨라 2차,월세,21.42,202006,23,           300,            45,4,,선수촌로63번길 18-15
강원도 속초시 영랑동,231-2,0231,0002,동진리조트 오피스텔,전세,30,202006,5,"         3,500",             0,8,1992,번영로 170
강원도 원주시 단구동,1610-6,1610,0006,정우월드피아,월세,50.08,202006,26,"         1,000",            15,10,2015, 
강원도 원주시 단구동,1610-6,1610,0006,정우월드피아,월세,50.08,202006,30,"         2,000",            15,5,2015, 
강원도 원주시 무실동,1722-8,1722,0008,(1722-8),전세,54.4,202006,24,"         9,500",             0,4,2015,로아노크로 50
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,월세,27.36,202006,13,           500,            43,7,2018,시청로 89-16
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202006,11,"         8,000",             0,8,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,33.6,202006,12,"         9,000",             0,6,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),월세,29.6,202006,15,"         3,000",            25,11,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202006,24,"         8,300",             0,7,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202006,28,"         9,000",             0,9,2017, 
강원도 원주시 반곡동,1905-6,1905,0006,강산타워,전세,27.53,202006,9,"         9,500",             0,5,2017,황금로 26
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,월세,29.64,202006,1,           500,            33,8,2016,혁신로 61
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202006,8,"         9,300",             0,8,2016,혁신로 61
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,36.48,202006,8,"         9,500",             0,4,2016,혁신로 61
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202006,2,"         8,500",             0,7,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.06,202006,10,"         1,000",            30,9,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202006,16,"         8,700",             0,14,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.69,202006,22,"         3,500",            20,12,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202006,23,"         7,800",             0,6,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.06,202006,25,"         3,000",            20,11,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.37,202006,8,"         7,000",             0,15,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202006,20,           500,            35,13,2016,양지로 58
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202006,10,           500,            40,14,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202006,10,           300,            40,12,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,19.91,202006,13,"         1,500",            30,18,2020,상지대길 9
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,월세,20.16,202006,17,           300,            40,15,2020,상지대길 9
강원도 원주시 일산동,243-13,0243,0013,도시엔숲,월세,60.83,202006,3,"         1,000",            40,2,2015, 
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,전세,17.81,202006,5,"         7,000",             0,5,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,43.52,202006,10,"         2,000",            50,17,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202006,12,           300,            40,12,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202006,19,           500,            35,18,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202006,24,"         6,000",            10,15,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202006,28,           300,            35,3,2019,공지로 453
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,32.66,202006,19,           500,            45,9,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,38.47,202006,20,"         1,000",            50,12,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,41.22,202006,28,"        13,600",             0,15,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202006,29,"        10,000",             0,12,2018,공지로 455
강원도 춘천시 온의동,514-1,0514,0001,가온펠리스,월세,22.27,202006,24,"         1,000",            37,3,2018,영서로2279번길 20
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.11,202006,18,"         8,820",             0,4,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202006,23,"         1,000",            42,8,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,전세,22.34,202006,30,"         9,000",             0,8,2017,춘천로17번길 21
강원도 춘천시 온의동,515-3,0515,0003,트리플타워,월세,31.92,202006,12,           400,            42,6,2015, 
강원도 춘천시 효자동,654-9,0654,0009,	(654-9)	,전세,46.43,202006,13,"         6,500",             0,7,2009,춘천로 188
강원도 춘천시 효자동,654-9,0654,0009,	(654-9)	,전세,46.43,202006,19,"         7,000",             0,8,2009,춘천로 188
경기도 가평군 조종면 현리,273-14,0273,0014,(273-14),월세,26.57,202006,3,           500,            45,9,2019,조종새싹로 6
경기도 가평군 조종면 현리,273-14,0273,0014,(273-14),월세,26.57,202006,8,           500,            45,8,2019,조종새싹로 6
경기도 가평군 조종면 현리,273-14,0273,0014,(273-14),월세,26.57,202006,22,"         1,000",            40,9,2019,조종새싹로 6
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,75.94,202006,2,"        36,000",             0,4,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,57.92,202006,6,"         2,000",            80,7,2019,덕수천2로 150
