시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
강원도 강릉시 유천동,776-4,0776,0004,유천올림피아오피스텔,전세,21.66,202005,23,"         7,000",             0,4,2016,사임당로 180
강원도 강릉시 홍제동,1018-2,1018,0002,골드팰리스,전세,21.48,202005,14,"         7,000",             0,5,2016,선수촌로 79-29
강원도 강릉시 홍제동,1020-1,1020,0001,유퍼스트,전세,24.21,202005,16,"         8,500",             0,6,, 
강원도 강릉시 홍제동,1020-1,1020,0001,유퍼스트,전세,24.21,202005,16,"         8,000",             0,5,, 
강원도 삼척시 교동,697-14,0697,0014,두원4차,월세,84.6,202005,25,"         5,000",            30,2,, 
강원도 속초시 영랑동,231-2,0231,0002,동진리조트 오피스텔,전세,60,202005,11,"         5,500",             0,10,1992,번영로 170
강원도 원주시 단구동,998-2,0998,0002,대승노블오피스텔,전세,39.33,202005,13,"         6,000",             0,6,2015,남원로534번길 54
강원도 원주시 단구동,1610-6,1610,0006,정우월드피아,월세,50.08,202005,19,           500,            35,3,2015, 
강원도 원주시 무실동,1722-8,1722,0008,(1722-8),월세,55.44,202005,14,"         9,500",             5,5,2015,로아노크로 50
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,27.36,202005,7,"         9,000",             0,4,2018,시청로 89-16
강원도 원주시 무실동,1736-3,1736,0003,원주무실코아루허브288,전세,27.36,202005,11,"         8,500",             0,4,2018,시청로 89-16
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,33.6,202005,12,"         9,500",             0,12,2017, 
강원도 원주시 반곡동,1903-6,1903,0006,(1903-6),전세,29.6,202005,26,"         9,000",             0,10,2017, 
강원도 원주시 반곡동,1886-2,1886,0002,골든스퀘어1차,전세,29.64,202005,6,"         9,900",             0,5,2016,혁신로 55
강원도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202005,15,"         9,450",             0,5,2016,혁신로 61
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,월세,26.06,202005,1,"         4,000",            10,3,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,27.06,202005,6,"         7,500",             0,3,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.69,202005,6,"         8,400",             0,5,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,27.06,202005,21,"         8,000",             0,12,2016,미래로 39
강원도 원주시 반곡동,1905-1,1905,0001,이노팰리스,전세,26.06,202005,22,"         8,000",             0,14,2016,미래로 39
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202005,9,           200,            33,4,2016,양지로 58
강원도 원주시 반곡동,1897-4,1897,0004,코아루시티,전세,22.37,202005,26,"         6,300",             0,10,2016,양지로 58
강원도 원주시 우산동,86-1,0086,0001,원주퍼스티지더올림,전세,19.91,202005,6,"         7,000",             0,17,2020,상지대길 9
강원도 정선군 고한읍 고한리,36-34,0036,0034,	(36-34)	,전세,51.35,202005,22,"         4,000",             0,6,2013,고한7길 5-16
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202005,12,           300,            35,19,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202005,13,           500,            36,10,2019,공지로 453
강원도 춘천시 근화동,267-9,0267,0009,엘타워 2차 오피스텔,월세,18.75,202005,16,           300,            35,4,2019,공지로 453
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,41.22,202005,2,"         1,000",            58,17,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,37.56,202005,2,"        11,000",             0,12,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202005,10,"         9,450",             0,13,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202005,14,"        10,500",             0,15,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,전세,32.66,202005,25,"        10,000",             0,11,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,38.47,202005,26,"         1,000",            50,15,2018,공지로 455
강원도 춘천시 근화동,267-1,0267,0001,춘천 L-타워,월세,20.19,202005,30,           300,            35,9,2018,공지로 455
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202005,26,           500,            47,7,2017,춘천로17번길 21
강원도 춘천시 온의동,587-5,0587,0005,춘천·강남하이엔드,월세,22.11,202005,28,           100,            45,4,2017,춘천로17번길 21
강원도 춘천시 온의동,515-3,0515,0003,트리플타워,전세,39.01,202005,4,"         9,000",             0,8,2015, 
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,75.94,202005,1,"         5,000",           125,22,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,75.94,202005,6,"        37,500",             0,7,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202005,8,"        29,000",             0,17,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,75.94,202005,9,"        38,500",             0,12,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202005,9,"        32,000",             0,13,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202005,13,"        32,000",             0,16,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,82.76,202005,15,"        31,500",             0,25,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202005,16,"        25,500",             0,22,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,월세,82.76,202005,19,"         2,000",           150,10,2019,덕수천2로 150
경기도 고양덕양구 동산동,368-2,0368,0002,e편한세상 시티 삼송2차,전세,57.92,202005,30,"        32,000",             0,17,2019,덕수천2로 150
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,월세,82.76,202005,1,"         5,000",           140,18,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,82.76,202005,9,"        43,000",             0,2,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,75.94,202005,13,"        34,000",             0,12,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202005,14,"        22,050",             0,1,2019,동송로 23-28
경기도 고양덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,75.94,202005,14,"        36,500",             0,4,2019,동송로 23-28
