단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30699803,매입임대(단지유형),LH광주전남,강진건우2차아파트,아파트,전라남도 강진군 강진읍 서성1길 21,189,10,22,57,39,45,62,27,27,61,43,44,40,22,27,19,5,8,0,3,0,0,0
30699678,매입임대(단지유형),LH광주전남,광양계원 휴먼시아,아파트,전라남도 광양시 광양읍 예구7길 10,203,4,3,10,9,7,14,14,11,14,26,27,30,35,25,19,7,14,3,2,1,0,0
31213113,매입임대,LH광주전남,매입다가구(전남광양시),아파트,전라남도 광양시 광양읍 예구7길 10,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31215715,매입임대,LH광주전남,매입다가구(전남광양시),아파트,전라남도 광양시 광양읍 예구7길 10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31207752,매입임대,LH광주전남,매입다가구(전남광양시),다가구주택,전라남도 광양시 광양읍 예구길 26,0,0,0,0,1,1,0,0,0,1,0,0,1,3,1,0,2,0,0,0,0,0,0
30699758,매입임대(단지유형),LH광주전남,창덕에버빌아파트,아파트,전라남도 광양시 광양읍 용강1길 11,1389,52,45,81,68,52,57,53,41,86,67,53,63,38,29,16,20,5,4,5,0,0,0
31120084,매입임대(단지유형),LH광주전남,창덕에버빌아파트,아파트,전라남도 광양시 광양읍 용강1길 11,1389,1,0,5,8,2,7,1,1,7,4,6,9,1,2,1,0,0,0,0,0,0,0
31120130,매입임대(단지유형),LH광주전남,창덕에버빌아파트,아파트,전라남도 광양시 광양읍 용강1길 11,1389,2,2,5,4,9,9,0,1,5,6,8,8,5,6,1,1,1,0,0,0,0,0
31120131,매입임대(단지유형),LH광주전남,창덕에버빌아파트,아파트,전라남도 광양시 광양읍 용강1길 11,1389,2,0,10,9,16,8,2,4,14,6,10,16,3,6,1,2,1,0,1,0,0,0
31129383,매입임대(단지유형),LH광주전남,창덕에버빌아파트,아파트,전라남도 광양시 광양읍 용강1길 11,1389,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
