단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
1502,매입임대,대전도시공사,,단독주택,대전광역시 대덕구 계족로564번길 39-6,8,1,0,0,2,1,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0
1503,매입임대,대전도시공사,,단독주택,대전광역시 대덕구 계족로564번길 54,10,0,0,2,1,1,0,0,1,1,1,0,2,1,0,2,0,0,0,1,0,0,0
31226113,매입임대,LH대전충남,공공리모델링(대전대덕구),다가구주택,대전광역시 대덕구 계족로564번길 61-16,90,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30708000,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 계족로574번길 25-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0
1504,매입임대,대전도시공사,,단독주택,대전광역시 대덕구 계족로598번길 31-17,6,0,0,3,1,2,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0
31196833,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 계족로663번길 29,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30700083,건설임대,LH대전충남,법동 주공아파트3단지,아파트,대전광역시 대덕구 계족로663번길 34,1488,8,9,46,57,149,199,55,63,83,113,223,240,286,232,295,159,176,61,33,8,3,0
1467,건설임대,대전도시공사,한마음,아파트,대전광역시 대덕구 계족로664번길 27,1770,1,2,50,52,157,178,56,101,96,108,217,194,348,288,234,177,200,76,58,16,1,0
30708001,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 계족산로25번길 19,0,0,0,1,0,0,4,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0
30708002,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 계족산로9번길 15,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0
31219879,매입임대,LH대전충남,공공리모델링(대전대덕구),다가구주택,대전광역시 대덕구 계족산로9번길 37,90,0,0,0,0,1,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3
31265614,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 대덕대로 1587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30708003,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 대덕대로1458번길 51,0,0,0,0,1,3,2,0,0,2,2,0,3,2,1,1,0,0,0,0,0,0,0
30708004,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 대덕대로1486번길 133,0,0,0,2,2,0,2,0,0,4,1,0,2,0,1,0,3,1,0,0,0,0,0
31157826,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 대덕대로1486번길 65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31040851,매입임대,LH대전충남,매입다가구(대전대덕구),다세대주택,대전광역시 대덕구 대덕대로1520번길 56,0,4,1,2,1,6,4,1,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0
31157822,매입임대,LH대전충남,매입다가구(대전대덕구),,대전광역시 대덕구 대전로1032번길 13-13,0,0,0,2,1,10,6,5,10,2,2,10,3,4,8,0,0,1,0,0,0,0,0
31196839,매입임대,LH대전충남,매입다가구(대전대덕구),,대전광역시 대덕구 대전로1032번길 13-13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
30708005,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 대전로1033번길 64-5,0,0,0,0,0,0,1,0,1,0,0,0,2,1,5,1,0,0,0,1,0,0,1
30708006,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 대전로1112번안길 33,0,2,0,0,1,0,0,2,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0
31157820,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 대전로1185번길 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31157824,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 대전로1185번길 30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30485344,건설임대,대전광역시,읍내동 시영주택,다세대주택,대전광역시 대덕구 대전로1397번안길 13-1,15,0,0,0,0,0,1,0,1,0,2,1,0,0,1,1,4,1,3,1,1,0,0
30485345,건설임대,대전광역시,대화동 시영주택,다세대주택,대전광역시 대덕구 대화9길 6,15,0,0,0,0,3,1,1,2,1,0,1,1,1,4,1,2,3,1,1,0,0,0
31027790,매입임대(단지유형),LH대전충남,덕암동 모아빌B,다가구주택,대전광역시 대덕구 덕암로 143,16,4,0,4,6,1,5,6,5,5,1,2,2,1,3,0,0,0,0,0,0,0,0
31021235,매입임대(단지유형),LH대전충남,덕암동 모아빌A,다가구주택,대전광역시 대덕구 덕암로 145,20,2,2,2,3,3,3,5,4,4,3,1,4,2,2,0,1,1,0,0,0,0,0
30708007,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 덕암로148번안길 14,0,1,1,1,1,4,3,2,0,1,1,3,4,0,0,0,0,1,0,3,0,0,0
30708008,매입임대,LH대전충남,매입다가구(대전대덕구),다가구주택,대전광역시 대덕구 덕암로148번안길 20,0,0,1,2,4,6,0,1,0,4,3,2,1,1,1,0,1,1,0,0,0,0,0
30701100,매입임대(단지유형),LH대전충남,덕성빌라1,다가구주택,대전광역시 대덕구 덕암로153번길 32,10,1,2,2,4,1,2,4,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0
31027802,매입임대(단지유형),LH대전충남,덕성빌라2,다가구주택,대전광역시 대덕구 덕암로153번길 34,10,5,1,0,1,2,3,3,0,1,2,1,3,3,3,0,0,0,0,0,0,0,0
31027745,매입임대(단지유형),LH대전충남,덕성빌라3,다가구주택,대전광역시 대덕구 덕암로153번길 36,10,3,1,0,2,0,3,1,2,4,3,1,1,0,0,0,0,0,1,0,0,0,0
30699445,매입임대(단지유형),LH대전충남,대전주은반석,아파트,대전광역시 대덕구 덕암로154번길 16,0,5,5,3,4,3,9,16,27,10,13,13,20,19,21,11,8,8,3,3,4,0,0
31193739,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로154번길 16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31027837,매입임대(단지유형),LH대전충남,덕암마을(1 2 3동),다가구주택,대전광역시 대덕구 덕암로222번길 28,19,1,2,0,2,1,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
31027838,매입임대(단지유형),LH대전충남,덕암마을(1 2 3동),다가구주택,대전광역시 대덕구 덕암로222번길 28,19,1,0,1,2,0,1,1,2,2,2,0,2,2,1,0,1,0,0,0,0,0,0
31027862,매입임대(단지유형),LH대전충남,덕암마을(1 2 3동),다가구주택,대전광역시 대덕구 덕암로222번길 28,19,0,1,0,0,0,0,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0
31200688,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31200695,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,4,0,0,0,0,0,5,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0
31200696,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,0,0,0,0,1,1,2,4,0,1,3,0,1,0,1,0,0,0,0,0,0,0
31200697,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31200702,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,5,5,1,0,1,1,5,3,2,4,0,1,0,1,0,0,0,0,0,0,0,0
31200705,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,8,1,0,2,0,0,7,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
31200714,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
31231752,매입임대,LH대전충남,매입다가구(대전대덕구),아파트,대전광역시 대덕구 덕암로234번길 23,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
