단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30701898,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 봉덕로12길 19,0,0,1,0,3,2,0,0,1,0,1,3,2,0,0,1,0,1,0,0,0,0,0
31262659,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 봉덕로12길 68,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31166073,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 봉덕로2길 15,0,0,0,0,1,1,1,0,0,1,3,1,0,0,1,1,1,0,0,0,0,0,0
30701899,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 봉덕로5길 28,0,0,0,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,0,0,0,0,0
30701900,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 봉덕로9길 14,0,0,0,0,1,1,3,0,1,0,1,2,2,1,1,0,0,5,2,1,0,0,0
30701901,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 삼정3길 12,0,0,0,0,0,4,2,0,0,1,1,3,0,2,0,1,1,1,0,0,0,0,0
30849062,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 삼정3길 13,0,0,0,1,1,2,1,2,0,2,2,2,1,4,2,1,3,0,0,0,0,0,0
30701902,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 삼정4길 93-6,0,0,0,3,1,2,5,0,0,0,2,2,1,1,2,2,2,1,0,0,0,0,0
30701903,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 삼정4길 93-6,0,0,0,1,0,0,0,0,1,0,0,1,1,2,5,1,2,0,0,1,0,0,0
30831677,매입임대,대구도시공사,플러스빌,다가구주택,대구광역시 남구 성당로18길 67-1,8,0,0,0,1,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0
30701904,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 성당로30길 10,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0
1025,매입임대,대구도시공사,아레스,다가구주택,대구광역시 남구 성당로30길 3,8,0,0,0,0,3,2,2,1,0,0,4,0,1,2,0,0,1,0,1,0,0,0
31185245,매입임대,LH대구경북,공공리모델링(대구남구),다가구주택,대구광역시 남구 성명공원길 24,58,0,0,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30701905,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안골2길 9,0,0,0,2,0,2,0,0,0,0,1,2,1,3,1,0,4,0,1,0,0,0,0
30701872,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로 52,0,0,0,0,0,0,3,0,2,2,0,2,2,1,3,1,1,0,0,0,0,0,0
30701873,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로 55,0,0,1,3,0,3,2,2,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0
30701874,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로 57,0,0,0,0,1,2,1,1,1,1,0,4,2,2,1,1,0,2,1,0,1,0,0
30701875,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로 60-1,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,1,2,1,1,0,0,0,0
1026,매입임대,대구도시공사,하늘채,다가구주택,대구광역시 남구 안지랑로10길 18-2,8,0,0,1,1,1,3,1,1,1,2,3,2,1,0,0,0,1,0,0,0,0,0
30967082,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로10길 6,0,0,0,1,0,2,1,2,0,1,0,2,1,1,2,1,1,0,0,0,0,0,0
30701906,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 38-1,0,1,4,1,2,1,1,2,3,0,1,0,3,0,1,1,0,0,0,0,0,0,0
30830935,매입임대,LH대구경북,매입다가구(대구남구),다가구주택,대구광역시 남구 안지랑로11길 42,0,1,0,2,0,1,2,1,0,1,1,2,2,2,1,1,0,0,0,1,0,0,0
