단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30855975,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-11,0,0,1,4,9,1,2,3,0,5,2,0,1,2,0,0,0,0,0,0,0,0,0
30855976,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-11,0,0,2,0,1,3,4,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
31007931,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
31265886,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-11,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30855998,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-9,0,0,2,2,3,1,5,3,0,2,1,3,1,0,2,0,0,0,0,0,0,0,0
30856065,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-9,0,1,1,1,1,2,1,1,1,0,0,4,3,0,1,0,0,1,1,0,0,0,0
31007938,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 갑룡길 87-9,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
31205164,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 북문길9번길 21,0,5,1,9,5,0,2,0,0,4,2,2,4,0,1,0,0,1,0,0,0,0,0
31205168,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 북문길9번길 21,0,1,1,2,3,1,0,0,0,4,2,1,3,0,1,0,0,0,0,0,0,0,0
31205876,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 북문길9번길 23,0,0,0,0,0,2,2,0,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0
31205878,매입임대,LH인천,매입다가구(인천강화군),다세대주택,인천광역시 강화군 강화읍 북문길9번길 23,0,2,1,1,2,1,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0
30702260,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 가현2길 2-2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30702261,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 가현2길 4-2,0,0,0,0,1,1,2,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0
30702262,매입임대,LH인천,매입다가구(인천계양구),다세대주택,인천광역시 계양구 경명대로1017번길 12-1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0
30702263,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 경명대로1017번길 28-1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,2,1,0,0,0,0,0
30702258,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 계산천동로 35-1,0,0,0,2,1,2,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
30702264,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 계양대로120번길 25-6,0,0,0,0,1,6,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
30702265,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 계양대로120번길 3-1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30702266,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 계양산로182번길 3-3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
30702267,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 계양산로42번길 17-3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
30702268,매입임대,LH인천,매입다가구(인천계양구),다세대주택,인천광역시 계양구 굴재길 19-3,0,0,0,0,1,4,4,2,1,1,0,3,3,1,5,0,0,1,0,0,1,0,1
30702269,매입임대,LH인천,매입다가구(인천계양구),다세대주택,인천광역시 계양구 굴재길 19-4,0,0,2,1,1,1,1,1,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0
30702270,매입임대,LH인천,매입다가구(인천계양구),다세대주택,인천광역시 계양구 굴재길 20-3,0,0,0,2,2,0,3,1,1,2,0,1,1,1,1,0,0,1,0,0,0,0,4
30702271,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 굴재길 9,0,0,0,0,2,1,4,0,0,1,2,1,1,0,0,0,2,0,0,0,0,0,0
30702272,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 까치말로41번길 10-1,0,0,1,3,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
30702273,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 까치말로6번길 35,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,2,1,1,0,0,0,2
30824732,매입임대,LH인천,매입다가구(인천계양구),다가구주택,인천광역시 계양구 까치말로6번길 35-1,0,0,0,0,0,0,0,0,0,1,3,1,3,0,4,1,0,1,0,0,0,0,1
30699513,건설임대,LH인천,동양주공아파트2단지,아파트,인천광역시 계양구 동양로 96,668,27,39,97,97,98,90,70,57,127,123,149,131,132,107,80,54,43,28,4,3,0,0
30699515,건설임대,LH인천,동양주공아파트4단지,아파트,인천광역시 계양구 둥그재산길 27,324,36,33,87,90,56,81,56,41,100,77,83,77,81,51,31,34,20,13,6,1,0,0
