단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30700322,건설임대,LH부산울산,부산지사휴먼시아,아파트,부산광역시 강서구 과학산단2로20번길 35,961,59,90,95,94,63,56,116,111,161,169,112,114,206,147,115,99,52,24,9,1,0,0
31214862,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31214946,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31215051,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31215138,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31215419,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31215420,매입임대,LH부산울산,청년신혼부부매입임대(부산강서구),아파트,부산광역시 강서구 명지국제5로 141,10,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31187693,건설임대,LH부산울산,부산명지 B8블록,아파트,부산광역시 강서구 명지국제5로 165,908,116,116,98,106,188,190,213,267,193,197,235,171,178,173,54,53,19,8,7,1,0,0
30706417,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 구서중앙로 4-11,0,0,0,1,1,2,3,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0
30706418,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 구서중앙로 4-15,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
30706419,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 구서중앙로 4-17,0,0,0,2,1,1,3,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0
30706438,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 구서중앙로40번길 3,0,0,0,0,0,2,2,0,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0
30706439,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 구서중앙로40번길 5,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0
31199198,건설임대,부산도시공사,벽산블루밍 장전디자,아파트,부산광역시 금정구 금강로 225,143,9,7,3,2,11,18,30,9,27,21,24,13,29,17,7,11,3,2,0,0,0,0
30706408,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 533-1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
30706409,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 625-15,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0
30706410,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 625-8,0,0,0,0,0,1,3,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
30706411,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 672-3,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
30706412,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 678-5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30706413,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 703-2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
30706414,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로 748-5,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
31211620,매입임대,LH부산울산,매입다가구(부산금정구),,부산광역시 금정구 금강로335번길 106-3,0,0,0,1,1,10,14,1,3,1,1,7,6,3,4,1,1,2,1,0,0,0,0
31199215,매입임대,부산도시공사,,단독주택,부산광역시 금정구 금강로347번길 20,3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
30706440,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로541번길 6-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
30706441,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로565번길 7-10,0,0,0,0,0,1,4,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
30706442,매입임대,LH부산울산,매입다가구(부산금정구),다가구주택,부산광역시 금정구 금강로565번길 7-18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
