단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
31010031,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 마전2길 3-11,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,6
31115020,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 성산로1길 13,0,0,1,1,3,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0,0,0,4
31115746,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 아주1로2길 107,0,0,0,0,0,1,1,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,4
31109925,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 아주2길 15-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,8
31257975,매입임대,LH경남,국민희망매입임대(경남거제시),아파트,경상남도 거제시 아주2로 137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30700754,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 연초면 소오비길 21,0,1,0,0,2,2,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,3
31214846,매입임대,LH경남,청년신혼부부매입임대(경남거제시),아파트,경상남도 거제시 용소1길 17-17,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30700221,건설임대,LH경남,거제일운주공,아파트,경상남도 거제시 일운면 거제대로 2591,470,24,17,64,68,50,65,32,31,87,70,95,84,131,101,47,33,16,12,3,1,0,0
30700220,건설임대,LH경남,거제장평 주공3단지아파트,아파트,경상남도 거제시 장평2로 36,405,25,37,92,101,148,181,52,52,114,72,131,105,97,75,24,28,20,7,4,2,1,0
31168520,매입임대,LH경남,매입다가구(경남거제시),다가구주택,경상남도 거제시 제산로 32,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5
