단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
31212890,매입임대(단지유형),LH대전충남,공주덕성그린시티빌(부도),아파트,충청남도 공주시 관골2길 24-5,210,8,7,3,7,3,6,15,12,11,15,15,13,8,11,3,4,2,1,0,1,0,0
30700099,건설임대,LH대전충남,신관주공6단지,아파트,충청남도 공주시 관골2길 36,517,29,30,103,110,145,145,84,46,114,60,142,108,111,87,57,39,33,14,8,2,0,1
31106325,건설임대,LH대전충남,공주월송 A3BL,아파트,충청남도 공주시 무령로 600-25,788,28,30,42,35,123,100,103,137,77,68,97,92,87,78,67,48,38,11,11,3,1,0
31179639,건설임대,LH대전충남,공주월송[A2] 공임리츠,아파트,충청남도 공주시 무령로 600-85,671,53,60,76,113,136,134,133,172,139,146,142,114,68,71,26,26,19,3,4,0,0,0
30819495,매입임대,LH대전충남,매입다가구(충남공주시),다가구주택,충청남도 공주시 우금티로 580,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30700098,건설임대,LH대전충남,공주옥룡주공1차아파트,아파트,충청남도 공주시 우금티로 709-12,592,4,4,31,27,28,52,17,34,33,25,87,80,101,102,97,48,53,28,11,5,1,0
31251584,매입임대,LH대전충남,매입다가구(충남공주시),아파트,충청남도 공주시 웅진절골3길 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31256021,매입임대,LH대전충남,매입다가구(충남공주시),아파트,충청남도 공주시 웅진절골3길 38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31257663,매입임대,LH대전충남,매입다가구(충남공주시),아파트,충청남도 공주시 웅진절골3길 38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31264906,매입임대,LH대전충남,매입다가구(충남공주시),아파트,충청남도 공주시 웅진절골3길 38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31264907,매입임대,LH대전충남,매입다가구(충남공주시),아파트,충청남도 공주시 웅진절골3길 38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
