단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30703039,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 강남대로120길 52,0,0,0,2,0,4,2,0,1,0,1,4,0,0,2,1,0,2,0,0,0,2,0
30704436,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 강남대로124길 70-1,0,0,0,2,0,2,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
30704437,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 강남대로162길 27-11,0,0,0,4,0,0,4,2,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0
30582263,건설임대,SH공사,대치1단지,아파트,서울특별시 강남구 개포로109길 5,1623,13,23,56,65,83,88,109,121,196,304,124,123,447,206,532,251,174,65,27,10,3,1
31211866,건설임대,SH공사,래미안개포루체하임(일원동현대),아파트,서울특별시 강남구 개포로110길 50,0,8,9,0,0,2,0,32,26,7,14,1,0,1,1,0,0,0,0,0,0,0,0
30704438,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 개포로15길 20,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,6,2,2,1,0,0,0,0
31143011,매입임대,SH공사,개포로17길 9-10,다세대주택,서울특별시 강남구 개포로17길 9-10,17,0,0,2,0,0,2,0,0,2,0,4,1,0,1,0,2,0,0,0,0,0,0
31052952,매입임대,SH공사,해가온 (개포동 1244-13),다세대주택,서울특별시 강남구 개포로17길 9-12,17,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0
30704439,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 개포로26길 23,0,1,0,2,3,2,1,1,2,3,0,2,2,1,1,1,2,4,0,0,0,0,0
30699930,건설임대,LH서울,수서주공1단지,아파트,서울특별시 강남구 광평로51길 49,2565,31,26,68,54,198,216,210,259,173,281,310,223,809,461,547,301,245,116,58,17,3,3
30582265,건설임대,SH공사,수서6단지,아파트,서울특별시 강남구 광평로56길 11,1508,12,12,29,46,90,79,105,112,130,210,140,154,390,285,330,200,167,76,65,11,3,1
30952216,건설임대,SH공사,수서동 721-1 장기전세주택,아파트,서울특별시 강남구 광평로60길 32,73,5,3,2,2,6,7,6,9,4,4,18,8,21,8,10,9,0,0,0,0,0,0
30704531,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 남부순환로381길 55,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30704440,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로113길 38-1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0
30705479,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로117길 12-4,0,0,0,1,0,0,1,1,1,0,2,1,0,2,1,0,2,0,0,0,0,1,0
30701503,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로117길 12-6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0
30704532,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로123길 13-8,0,0,0,0,1,3,1,1,0,0,0,3,1,0,2,1,2,0,0,0,0,2,0
30704441,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로18길 14-4,0,0,0,2,0,0,1,0,1,0,1,1,2,2,2,0,0,2,0,0,0,0,0
30704442,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로18길 19,0,0,0,2,0,0,0,0,0,0,1,0,3,2,3,5,1,3,1,0,0,0,0
31020910,매입임대,SH공사,논현로4길 27,다가구주택,서울특별시 강남구 논현로4길 27,10,0,1,3,4,4,5,1,0,2,1,3,2,3,0,1,1,0,0,0,0,0,0
30705480,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로6길 26-8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
31020911,매입임대,SH공사,논현로6길 26-9,다가구주택,서울특별시 강남구 논현로6길 26-9,10,0,0,1,1,3,5,0,0,2,0,4,2,0,0,1,0,1,1,0,0,0,0
30704443,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로71길 3-6,0,0,0,0,0,0,3,0,2,0,0,3,0,1,1,1,1,1,3,0,0,0,0
30704533,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 논현로79길 31-1,0,0,0,0,0,4,0,1,0,0,0,1,1,1,5,1,0,0,0,0,0,1,0
31025480,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 논현로8길 32-8,0,0,0,1,1,7,9,0,0,1,1,6,2,2,2,0,1,0,0,0,0,0,0
30583441,건설임대,SH공사,래미안도곡카운티,아파트,서울특별시 강남구 도곡로 320,14,0,1,8,6,7,5,2,1,6,4,6,6,1,2,0,0,0,0,0,0,0,0
30705761,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도곡로19길 19-1,0,0,0,2,1,4,7,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,0
30582408,건설임대,SH공사,역삼동 공공원룸텔,다가구주택,서울특별시 강남구 도곡로23길 5,30,0,0,0,0,0,0,3,2,4,5,3,1,1,4,0,2,0,0,0,0,0,0
30582438,매입임대,SH공사,도곡로25길 7-4,다가구주택,서울특별시 강남구 도곡로25길 7-4,14,0,0,1,2,2,3,0,0,1,2,0,0,5,4,0,0,1,1,0,0,0,0
30583390,건설임대,SH공사,래미안그레이튼,아파트,서울특별시 강남구 도곡로43길 20,24,0,1,5,6,9,8,4,5,6,6,14,9,3,5,1,0,2,0,2,1,0,0
30583398,건설임대,SH공사,래미안그레이튼2차,아파트,서울특별시 강남구 도곡로43길 21,22,4,2,8,13,4,3,2,3,15,10,3,6,1,1,3,0,1,1,0,0,0,0
30704534,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로102길 18-3,0,0,0,2,1,2,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0
30703963,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로19길 34,0,0,0,3,0,2,3,0,0,1,1,1,0,4,1,3,3,1,1,0,0,1,0
30703040,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로30길 29-11,0,0,0,1,0,2,2,1,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0
30704535,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로4길 18-6,0,0,0,1,0,2,1,0,0,0,1,2,0,2,2,0,0,0,0,0,0,2,0
30704536,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로50길 25-7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
30704537,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로50길 33-3,0,0,0,0,0,2,0,0,1,0,0,2,0,3,1,0,0,1,0,0,0,0,0
30704538,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로54길 36-4,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0
30703964,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 도산대로54길 46,0,0,0,0,0,2,5,1,1,1,0,2,0,3,1,1,1,2,0,0,0,0,0
30703965,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로54길 48-4,0,0,0,0,0,1,1,0,0,0,0,2,2,4,3,4,0,1,0,0,0,0,0
30704444,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로78길 35,0,0,0,0,0,1,4,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
30704539,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 도산대로89길 19-13,0,0,0,4,6,2,3,0,0,1,0,3,6,0,1,1,0,1,0,0,0,0,0
30582405,건설임대,SH공사,세곡2보금자리지구3단지(임대),아파트,서울특별시 강남구 밤고개로21길 25,874,116,113,241,201,169,170,137,111,317,305,181,148,164,126,130,97,57,47,18,3,1,2
30845818,건설임대,SH공사,세곡2보금자리지구6단지(임대),아파트,서울특별시 강남구 밤고개로26길 50,378,33,41,21,23,47,43,33,21,48,45,45,37,63,38,24,26,21,15,8,2,0,0
30845819,건설임대,SH공사,세곡2보금자리지구8단지(임대),아파트,서울특별시 강남구 밤고개로27길 20,169,28,29,23,29,14,17,18,22,48,40,15,15,31,16,14,14,4,0,2,0,0,0
30582441,매입임대,SH공사,,다가구주택,서울특별시 강남구 봉은사로1길 42-25,2,0,0,0,0,2,2,1,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0
30583462,매입임대,SH공사,한양수자인어반게이트 (논현동 221-7 8),다세대주택,서울특별시 강남구 봉은사로29길 35,10,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0
30849045,매입임대,SH공사,한양수자인어반게이트 (논현동 221-7 8),다세대주택,서울특별시 강남구 봉은사로29길 35,10,0,0,0,0,0,0,5,1,2,0,3,1,2,0,2,1,0,1,0,0,0,0
30700637,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 봉은사로37길 24,0,0,1,1,0,6,4,1,3,1,2,4,0,6,1,2,4,0,0,0,0,0,0
30704445,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 봉은사로55길 26,0,0,0,0,0,0,1,1,0,0,0,2,2,4,2,0,1,2,0,0,0,0,0
30704446,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 봉은사로57길 22,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,2,0,0,1,0,0
30704540,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 봉은사로61길 38-2,0,0,0,0,0,3,3,0,0,0,0,5,0,1,2,2,0,0,1,1,0,0,0
30704541,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 봉은사로71길 25,0,0,0,3,0,3,1,0,0,1,1,3,0,1,0,1,1,1,0,0,0,0,0
30704542,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 봉은사로73길 45-3,0,0,0,1,2,0,2,0,0,2,2,0,1,2,0,0,2,0,0,0,0,0,0
30701504,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 봉은사로78길 27,0,0,0,1,1,7,4,2,3,4,2,10,7,8,16,6,7,1,0,0,0,1,0
30704447,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 봉은사로78길 31-1,0,0,0,0,0,1,2,0,0,0,0,2,1,0,3,1,1,1,0,0,0,0,0
31268170,건설임대,SH공사,디에이치 아너힐즈(개포주공3),아파트,서울특별시 강남구 삼성로 11,0,2,0,0,0,6,4,33,49,2,10,1,0,0,1,0,0,0,0,0,0,0,0
31169944,건설임대,SH공사,삼성동 센트럴 IPARK(상아3차),아파트,서울특별시 강남구 삼성로 629,57,11,10,0,0,2,0,49,45,7,12,0,1,1,0,0,0,0,0,0,0,0,0
30704543,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로115길 47-6,0,0,0,2,0,2,3,1,1,0,1,3,0,2,3,1,1,0,0,0,0,0,0
30704448,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 삼성로119길 37-8,0,0,0,0,0,2,3,0,0,1,0,2,2,1,1,1,0,2,0,0,0,0,0
30704456,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로122길 24,0,0,0,0,0,1,6,0,1,0,1,3,1,2,3,0,0,2,0,0,0,0,0
30704544,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로147길 16-10,0,0,0,3,0,0,1,1,1,0,1,1,1,1,1,0,0,4,1,0,0,0,0
30952217,건설임대,SH공사,래미안대치팰리스,아파트,서울특별시 강남구 삼성로51길 37,1608,9,9,18,14,1,4,7,2,17,19,7,11,2,2,5,4,3,4,0,0,0,0
30703966,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 삼성로57길 33-1,0,0,0,0,0,0,1,2,3,0,0,1,1,4,2,0,0,0,0,1,0,0,0
30704449,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로67길 8-7,0,0,0,1,0,3,2,0,1,1,0,0,0,3,0,2,2,3,2,0,0,0,0
30700638,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로69길 43,0,0,0,2,0,3,6,0,1,0,1,4,1,4,0,0,0,0,0,0,0,0,0
30701371,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 삼성로69길 43-6,0,0,0,4,0,0,0,0,0,0,1,0,2,0,1,0,3,2,0,1,0,0,0
31211868,건설임대,SH공사,래미안블레스티지(개포주공2단지),아파트,서울특별시 강남구 선릉로 8,112,28,22,0,0,4,3,72,58,12,28,0,0,0,0,1,0,0,0,0,0,0,0
30704545,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 선릉로111길 38-19,0,0,0,0,0,1,1,0,0,0,0,0,2,2,1,2,3,2,0,0,0,0,0
30704546,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 선릉로112길 46-1,0,0,0,3,0,0,0,2,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0
30704547,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 선릉로120길 4-6,0,1,0,0,0,3,2,1,3,1,0,2,1,3,3,1,0,1,1,0,0,0,0
30704548,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 선릉로141길 14,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30704549,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 선릉로146길 27-4,0,0,1,1,0,3,3,1,0,2,1,0,1,2,1,1,3,0,0,0,0,0,0
30582437,건설임대,SH공사,신사삼지래미안(임대),아파트,서울특별시 강남구 압구정로2길 20,3,1,0,1,0,0,0,0,0,0,1,2,3,0,0,1,0,0,1,0,0,0,0
30582264,건설임대,SH공사,수서1단지,아파트,서울특별시 강남구 양재대로55길 10,2214,39,45,102,93,218,246,278,388,239,382,399,335,656,518,422,317,231,108,79,15,9,1
30952220,건설임대,SH공사,역삼자이,아파트,서울특별시 강남구 언주로 420,51,18,15,6,7,8,5,13,10,21,26,6,3,3,2,2,3,2,0,0,0,0,0
30845823,건설임대,SH공사,아크로힐스논현,아파트,서울특별시 강남구 언주로 604,34,9,10,10,6,0,9,7,4,19,14,5,4,3,3,2,1,3,4,0,0,0,0
30704450,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 언주로122길 30-5,0,0,0,2,2,1,2,0,2,1,0,3,4,1,3,0,1,0,0,0,0,0,0
30704550,매입임대,LH서울,매입다가구(서울강남구),다세대주택,서울특별시 강남구 언주로122길 32-6,0,0,0,0,2,3,1,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0
30582440,매입임대,SH공사,,다가구주택,서울특별시 강남구 언주로136길 35,3,0,0,0,0,4,1,3,0,1,0,3,2,4,1,0,0,0,0,0,0,0,0
30704551,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 언주로138길 17,0,0,0,0,0,3,2,2,2,1,0,4,1,1,1,0,0,1,0,0,0,0,0
30705481,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 언주로141길 32-4,0,0,0,0,0,1,1,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0
30704552,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 언주로150길 46,0,0,0,2,2,2,2,0,1,2,0,1,1,3,1,0,0,0,1,0,0,1,0
30704451,매입임대,LH서울,매입다가구(서울강남구),다가구주택,서울특별시 강남구 언주로97길 27-12,0,0,0,0,0,1,2,0,0,0,0,1,0,4,3,1,3,0,0,0,1,0,0
