단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
31251656,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 갈밭로10번길 15-1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0
31219237,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 갈밭로10번길 17,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
31224165,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 갈밭로10번길 19,0,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0
30701679,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 10,0,0,0,0,0,1,2,0,1,2,0,1,2,0,1,2,1,0,0,0,0,0,0
30701738,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 12-1,0,0,0,0,0,1,3,0,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0
31194766,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 20,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
30848024,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 22,0,0,4,0,1,0,0,1,2,1,1,1,1,0,3,0,0,0,0,0,0,0,0
30848022,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 22-1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,4,1,2,0,0,0,0,0,0
30952252,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 23,0,0,0,0,0,1,1,0,0,0,1,3,2,2,2,1,2,0,0,0,0,0,0
30701680,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 강남로410번길 8,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,0,1,2,0,0,1,0,0
31145606,매입임대,LH부산울산,매입다가구(울산남구),다가구주택,울산광역시 남구 거마로133번길 6,0,0,0,0,0,0,1,1,0,1,0,0,2,3,2,1,0,0,1,0,0,0,0
