행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
3000000000,대전광역시  ,"1,471,915","1,471,915","119,029","150,093","212,858","198,147","240,495","243,088","172,989","89,481","39,717","5,671",347,"734,940","734,940","61,153","77,688","111,810","102,975","120,001","121,014","84,172","40,588","14,160","1,297",82,"736,975","736,975","57,876","72,405","101,048","95,172","120,494","122,074","88,817","48,893","25,557","4,374",265
3011000000,대전광역시 동구 ,"224,729","224,729","15,707","20,495","30,409","26,639","34,370","37,278","31,680","18,822","8,140","1,094",95,"113,288","113,288","8,101","10,571","16,192","14,295","18,076","19,035","15,330","8,458","2,936",267,27,"111,441","111,441","7,606","9,924","14,217","12,344","16,294","18,243","16,350","10,364","5,204",827,68
3011051500,대전광역시 동구 중앙동,"5,027","5,027",115,149,371,416,563,"1,058","1,150",808,338,49,10,"2,823","2,823",54,79,213,258,367,678,646,386,124,12,6,"2,204","2,204",61,70,158,158,196,380,504,422,214,37,4
3011053000,대전광역시 동구 효동,"26,025","26,025","2,781","3,380","2,669","3,301","4,937","3,716","2,882","1,628",635,89,7,"12,781","12,781","1,379","1,778","1,407","1,583","2,502","1,809","1,356",728,222,16,1,"13,244","13,244","1,402","1,602","1,262","1,718","2,435","1,907","1,526",900,413,73,6
3011054500,대전광역시 동구 신인동,"12,505","12,505",956,934,"1,465","1,737","1,860","1,977","1,815","1,195",484,69,13,"6,187","6,187",488,499,750,926,995,954,799,560,197,15,4,"6,318","6,318",468,435,715,811,865,"1,023","1,016",635,287,54,9
3011055100,대전광역시 동구 판암1동,"12,800","12,800",900,"1,028","1,575","1,600","1,777","2,261","1,877","1,149",562,67,4,"6,232","6,232",485,531,821,844,880,"1,080",890,491,185,23,2,"6,568","6,568",415,497,754,756,897,"1,181",987,658,377,44,2
3011055200,대전광역시 동구 판암2동,"8,829","8,829",310,410,885,775,"1,020","1,602","1,849","1,252",640,84,2,"4,313","4,313",153,215,525,449,571,797,889,496,197,21,0,"4,516","4,516",157,195,360,326,449,805,960,756,443,63,2
3011056000,대전광역시 동구 용운동,"16,886","16,886","1,005","1,580","2,702","1,758","2,565","2,998","2,391","1,258",547,76,6,"8,526","8,526",521,779,"1,458",966,"1,313","1,536","1,152",575,202,21,3,"8,360","8,360",484,801,"1,244",792,"1,252","1,462","1,239",683,345,55,3
3011058500,대전광역시 동구 대동,"15,450","15,450","1,518","1,447","1,852","2,189","2,364","2,441","1,899","1,146",512,71,11,"7,722","7,722",806,750,978,"1,131","1,198","1,221",923,509,182,21,3,"7,728","7,728",712,697,874,"1,058","1,166","1,220",976,637,330,50,8
3011059000,대전광역시 동구 자양동,"10,660","10,660",396,914,"2,606","1,088","1,296","1,579","1,469",914,355,38,5,"5,599","5,599",211,442,"1,426",661,760,802,728,427,132,10,0,"5,061","5,061",185,472,"1,180",427,536,777,741,487,223,28,5
3011062000,대전광역시 동구 가양1동,"14,079","14,079",837,"1,176","2,025","1,503","2,051","2,443","2,141","1,292",543,61,7,"7,268","7,268",432,580,"1,129",809,"1,157","1,276","1,072",589,208,15,1,"6,811","6,811",405,596,896,694,894,"1,167","1,069",703,335,46,6
3011063000,대전광역시 동구 가양2동,"18,956","18,956","1,055","1,887","3,040","2,052","2,856","3,343","2,644","1,421",591,67,0,"9,450","9,450",545,968,"1,573","1,135","1,427","1,673","1,263",634,220,12,0,"9,506","9,506",510,919,"1,467",917,"1,429","1,670","1,381",787,371,55,0
3011064000,대전광역시 동구 용전동,"20,920","20,920","1,217","1,578","3,914","3,156","3,207","3,443","2,552","1,307",472,71,3,"10,755","10,755",632,793,"2,006","1,803","1,717","1,792","1,228",584,180,20,0,"10,165","10,165",585,785,"1,908","1,353","1,490","1,651","1,324",723,292,51,3
3011066500,대전광역시 동구 성남동,"12,604","12,604",951,972,"1,461","1,597","1,864","2,180","1,882","1,138",474,76,9,"6,253","6,253",507,495,766,844,981,"1,086",889,497,167,18,3,"6,351","6,351",444,477,695,753,883,"1,094",993,641,307,58,6
3011067000,대전광역시 동구 홍도동,"11,191","11,191",619,850,"1,904","1,367","1,636","1,954","1,585",859,364,50,3,"5,735","5,735",337,440,"1,001",774,892,999,781,373,134,3,1,"5,456","5,456",282,410,903,593,744,955,804,486,230,47,2
3011069500,대전광역시 동구 삼성동,"14,820","14,820",887,"1,323","1,613","1,509","2,232","2,644","2,360","1,509",650,87,6,"7,532","7,532",417,716,876,802,"1,194","1,393","1,140",708,261,23,2,"7,288","7,288",470,607,737,707,"1,038","1,251","1,220",801,389,64,4
3011072500,대전광역시 동구 대청동,"2,555","2,555",83,153,200,163,293,487,542,348,251,33,2,"1,341","1,341",42,81,116,106,161,286,295,167,78,9,0,"1,214","1,214",41,72,84,57,132,201,247,181,173,24,2
3011074000,대전광역시 동구 산내동,"21,422","21,422","2,077","2,714","2,127","2,428","3,849","3,152","2,642","1,598",722,106,7,"10,771","10,771","1,092","1,425","1,147","1,204","1,961","1,653","1,279",734,247,28,1,"10,651","10,651",985,"1,289",980,"1,224","1,888","1,499","1,363",864,475,78,6
3014000000,대전광역시 중구 ,"238,955","238,955","16,076","22,684","31,361","27,213","37,732","40,297","32,895","20,342","9,023","1,256",76,"117,992","117,992","8,230","11,691","16,095","14,019","19,176","20,268","15,610","9,179","3,408",298,18,"120,963","120,963","7,846","10,993","15,266","13,194","18,556","20,029","17,285","11,163","5,615",958,58
3014053500,대전광역시 중구 은행선화동,"16,926","16,926",943,"1,113","2,925","2,515","2,655","2,820","2,210","1,151",502,87,5,"8,769","8,769",453,568,"1,405","1,354","1,513","1,572","1,147",542,187,26,2,"8,157","8,157",490,545,"1,520","1,161","1,142","1,248","1,063",609,315,61,3
3014055000,대전광역시 중구 목동,"14,841","14,841","1,580","2,468","1,623","1,646","3,273","2,058","1,174",677,295,42,5,"7,118","7,118",797,"1,221",820,726,"1,539","1,097",512,280,118,7,1,"7,723","7,723",783,"1,247",803,920,"1,734",961,662,397,177,35,4
3014056000,대전광역시 중구 중촌동,"13,723","13,723",801,"1,312","1,684","1,448","2,199","2,458","2,010","1,174",560,73,4,"6,632","6,632",390,696,888,757,"1,102","1,207",891,495,186,20,0,"7,091","7,091",411,616,796,691,"1,097","1,251","1,119",679,374,53,4
3014057500,대전광역시 중구 대흥동,"14,145","14,145",995,"1,121","2,410","1,997","2,145","2,060","1,803","1,065",457,87,5,"6,948","6,948",539,606,"1,084","1,002","1,148","1,042",864,463,176,23,1,"7,197","7,197",456,515,"1,326",995,997,"1,018",939,602,281,64,4
3014060500,대전광역시 중구 문창동,"4,783","4,783",187,300,497,483,613,860,851,647,300,43,2,"2,494","2,494",101,170,272,283,358,496,422,279,103,9,1,"2,289","2,289",86,130,225,200,255,364,429,368,197,34,1
3014062000,대전광역시 중구 석교동,"16,059","16,059",773,"1,201","1,883","1,668","2,152","2,936","2,835","1,842",675,88,6,"8,092","8,092",401,599,"1,029",963,"1,163","1,458","1,362",850,250,17,0,"7,967","7,967",372,602,854,705,989,"1,478","1,473",992,425,71,6
3014063000,대전광역시 중구 대사동,"5,508","5,508",190,262,988,593,656,951,870,637,315,39,7,"2,710","2,710",112,142,454,337,364,481,400,276,130,11,3,"2,798","2,798",78,120,534,256,292,470,470,361,185,28,4
3014064000,대전광역시 중구 부사동,"6,909","6,909",328,485,795,680,936,"1,323","1,175",763,358,62,4,"3,449","3,449",182,259,404,371,511,665,555,346,140,14,2,"3,460","3,460",146,226,391,309,425,658,620,417,218,48,2
3014065500,대전광역시 중구 용두동,"10,013","10,013",578,776,"1,824","1,294","1,494","1,534","1,175",869,408,54,7,"4,814","4,814",280,346,837,692,772,788,555,380,148,12,4,"5,199","5,199",298,430,987,602,722,746,620,489,260,42,3
3014067000,대전광역시 중구 오류동,"10,559","10,559",673,804,"1,516","1,316","1,538","1,709","1,408",962,549,83,1,"4,978","4,978",338,405,751,647,728,828,644,417,205,15,0,"5,581","5,581",335,399,765,669,810,881,764,545,344,68,1
3014068000,대전광역시 중구 태평1동,"13,848","13,848","1,291","1,686","1,533","1,674","2,517","2,210","1,509",980,403,45,0,"6,727","6,727",696,825,784,808,"1,209","1,113",712,428,146,6,0,"7,121","7,121",595,861,749,866,"1,308","1,097",797,552,257,39,0
3014069000,대전광역시 중구 태평2동,"26,723","26,723","2,077","3,215","3,133","2,590","4,527","4,497","3,418","2,142",982,133,9,"12,886","12,886","1,066","1,645","1,664","1,241","2,132","2,176","1,550",997,378,36,1,"13,837","13,837","1,011","1,570","1,469","1,349","2,395","2,321","1,868","1,145",604,97,8
3014070000,대전광역시 중구 유천1동,"6,772","6,772",361,375,878,908,986,"1,229","1,123",631,248,31,2,"3,582","3,582",194,221,497,500,575,635,564,288,101,7,0,"3,190","3,190",167,154,381,408,411,594,559,343,147,24,2
