행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
4200000000,강원도  ,"1,538,639","1,538,639","107,875","140,101","178,977","168,729","226,018","269,022","231,156","135,633","69,533","10,774",821,"773,923","773,923","55,201","73,014","100,387","88,301","116,388","137,993","114,835","60,652","24,439","2,456",257,"764,716","764,716","52,674","67,087","78,590","80,428","109,630","131,029","116,321","74,981","45,094","8,318",564
4211000000,강원도 춘천시 ,"281,439","281,439","21,985","27,394","36,943","34,570","42,604","47,033","36,611","21,096","11,248","1,846",109,"138,877","138,877","11,291","14,240","19,692","17,550","21,115","23,551","17,705","9,203","4,049",433,48,"142,562","142,562","10,694","13,154","17,251","17,020","21,489","23,482","18,906","11,893","7,199","1,413",61
4211025000,강원도 춘천시 신북읍,"7,807","7,807",365,483,838,693,928,"1,482","1,385",940,603,86,4,"3,912","3,912",178,248,465,376,498,782,712,425,203,23,2,"3,895","3,895",187,235,373,317,430,700,673,515,400,63,2
4211031000,강원도 춘천시 동면,"19,669","19,669","2,288","2,421","1,889","2,539","3,560","3,079","2,283","1,011",501,96,2,"9,764","9,764","1,196","1,260","1,032","1,181","1,773","1,559","1,108",460,179,15,1,"9,905","9,905","1,092","1,161",857,"1,358","1,787","1,520","1,175",551,322,81,1
4211032000,강원도 춘천시 동산면,"1,499","1,499",27,68,129,99,122,277,380,224,159,13,1,820,820,12,44,74,59,78,158,222,107,64,2,0,679,679,15,24,55,40,44,119,158,117,95,11,1
4211033000,강원도 춘천시 신동면,"2,579","2,579",111,143,256,209,267,510,559,287,213,23,1,"1,332","1,332",60,64,161,114,153,283,273,145,75,3,1,"1,247","1,247",51,79,95,95,114,227,286,142,138,20,0
4211034000,강원도 춘천시 남면,"1,100","1,100",25,38,42,70,91,220,268,191,132,22,1,597,597,18,20,29,42,56,135,141,92,56,8,0,503,503,7,18,13,28,35,85,127,99,76,14,1
4211035000,강원도 춘천시 서면,"3,866","3,866",120,194,241,237,358,739,914,580,393,83,7,"1,981","1,981",63,107,128,128,215,399,506,286,125,20,4,"1,885","1,885",57,87,113,109,143,340,408,294,268,63,3
4211036000,강원도 춘천시 사북면,"2,568","2,568",73,154,173,122,226,503,628,416,229,43,1,"1,254","1,254",36,86,108,65,111,238,323,190,88,9,0,"1,314","1,314",37,68,65,57,115,265,305,226,141,34,1
4211038000,강원도 춘천시 북산면,956,956,18,23,37,40,68,191,286,193,90,10,0,533,533,12,7,22,27,39,113,174,97,39,3,0,423,423,6,16,15,13,29,78,112,96,51,7,0
4211039000,강원도 춘천시 동내면,"17,330","17,330","1,539","1,716","2,173","2,449","2,874","2,816","2,084","1,036",551,88,4,"8,655","8,655",810,865,"1,123","1,266","1,493","1,422","1,018",449,188,20,1,"8,675","8,675",729,851,"1,050","1,183","1,381","1,394","1,066",587,363,68,3
4211040000,강원도 춘천시 남산면,"3,529","3,529",82,167,257,277,366,699,863,518,253,44,3,"1,864","1,864",49,95,138,163,215,393,443,269,86,11,2,"1,665","1,665",33,72,119,114,151,306,420,249,167,33,1
