행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
4500000000,전라북도  ,"1,810,097","1,810,097","133,311","178,351","211,775","193,615","272,051","302,137","247,433","167,140","90,416","13,032",836,"899,894","899,894","68,392","92,432","114,250","99,777","140,513","156,109","121,940","73,281","30,118","2,910",172,"910,203","910,203","64,919","85,919","97,525","93,838","131,538","146,028","125,493","93,859","60,298","10,122",664
4511000000,전라북도 전주시 ,"655,607","655,607","55,268","73,030","92,289","82,442","107,814","105,932","73,990","42,825","19,193","2,662",162,"322,832","322,832","28,320","37,730","48,541","41,601","52,810","52,000","35,298","19,032","6,853",617,30,"332,775","332,775","26,948","35,300","43,748","40,841","55,004","53,932","38,692","23,793","12,340","2,045",132
4511100000,전라북도 전주시 완산구 ,"338,482","338,482","25,100","37,037","49,133","40,026","54,083","57,059","40,769","23,175","10,500","1,520",80,"164,941","164,941","12,952","19,201","25,553","20,275","25,870","27,450","19,292","10,318","3,671",343,16,"173,541","173,541","12,148","17,836","23,580","19,751","28,213","29,609","21,477","12,857","6,829","1,177",64
4511151000,전라북도 전주시 완산구 중앙동,"7,802","7,802",340,489,952,802,962,"1,353","1,408",971,461,55,9,"3,927","3,927",187,242,525,439,521,678,659,473,187,15,1,"3,875","3,875",153,247,427,363,441,675,749,498,274,40,8
4511153000,전라북도 전주시 완산구 풍남동,"4,371","4,371",114,202,405,415,551,734,878,687,319,61,5,"2,180","2,180",60,112,201,249,336,377,412,295,124,11,3,"2,191","2,191",54,90,204,166,215,357,466,392,195,50,2
4511160500,전라북도 전주시 완산구 노송동,"12,873","12,873",641,866,"1,462","1,400","1,730","2,107","2,175","1,566",795,116,15,"6,260","6,260",332,465,763,730,910,"1,030",986,705,308,29,2,"6,613","6,613",309,401,699,670,820,"1,077","1,189",861,487,87,13
4511163500,전라북도 전주시 완산구 완산동,"5,034","5,034",191,370,523,438,721,828,864,712,340,46,1,"2,507","2,507",105,201,269,249,397,448,421,296,110,11,0,"2,527","2,527",86,169,254,189,324,380,443,416,230,35,1
4511165000,전라북도 전주시 완산구 동서학동,"6,601","6,601",328,485,723,596,831,"1,100","1,253",825,404,53,3,"3,274","3,274",169,264,369,323,448,557,616,376,142,9,1,"3,327","3,327",159,221,354,273,383,543,637,449,262,44,2
4511166000,전라북도 전주시 완산구 서서학동,"8,945","8,945",355,707,"1,039",793,"1,242","1,603","1,594","1,104",452,50,6,"4,349","4,349",190,357,558,437,675,790,695,491,148,6,2,"4,596","4,596",165,350,481,356,567,813,899,613,304,44,4
4511167100,전라북도 전주시 완산구 중화산1동,"15,000","15,000","1,042","1,330","2,390","1,747","2,020","2,618","2,124","1,131",531,64,3,"7,239","7,239",560,714,"1,189",883,932,"1,197","1,009",525,208,21,1,"7,761","7,761",482,616,"1,201",864,"1,088","1,421","1,115",606,323,43,2
