행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
2700000000,대구광역시  ,"2,429,059","2,429,059","184,227","231,161","322,350","301,074","388,419","428,389","315,443","172,853","75,447","8,993",703,"1,199,504","1,199,504","94,357","120,961","172,821","155,992","191,555","209,832","150,182","75,346","26,312","1,982",164,"1,229,555","1,229,555","89,870","110,200","149,529","145,082","196,864","218,557","165,261","97,507","49,135","7,011",539
2711000000,대구광역시 중구 ,"76,880","76,880","5,318","5,110","11,841","10,964","10,825","11,447","10,125","7,365","3,316",470,99,"37,013","37,013","2,740","2,610","5,697","5,640","5,550","5,632","4,688","3,109","1,213",113,21,"39,867","39,867","2,578","2,500","6,144","5,324","5,275","5,815","5,437","4,256","2,103",357,78
2711051700,대구광역시 중구 동인동,"8,838","8,838",341,498,"1,516","1,190","1,167","1,369","1,271",983,422,68,13,"4,390","4,390",165,245,739,666,642,713,629,417,156,16,2,"4,448","4,448",176,253,777,524,525,656,642,566,266,52,11
2711054500,대구광역시 중구 삼덕동,"6,748","6,748",511,389,"1,823","1,253",892,708,585,368,183,29,7,"3,203","3,203",253,185,825,645,476,336,249,155,72,6,1,"3,545","3,545",258,204,998,608,416,372,336,213,111,23,6
2711056500,대구광역시 중구 성내1동,"5,041","5,041",175,246,"1,394",762,565,647,568,444,190,44,6,"2,385","2,385",93,111,575,431,287,350,282,178,62,12,4,"2,656","2,656",82,135,819,331,278,297,286,266,128,32,2
2711057500,대구광역시 중구 성내2동,"4,640","4,640",142,203,835,543,519,756,796,564,226,41,15,"2,357","2,357",77,104,403,324,284,398,410,255,89,9,4,"2,283","2,283",65,99,432,219,235,358,386,309,137,32,11
2711058500,대구광역시 중구 성내3동,"5,249","5,249",571,243,652,"1,067",696,748,661,410,168,28,5,"2,623","2,623",280,131,324,550,369,381,329,192,58,8,1,"2,626","2,626",291,112,328,517,327,367,332,218,110,20,4
2711059500,대구광역시 중구 대신동,"8,245","8,245",923,561,850,"1,448","1,175","1,265","1,048",656,275,33,11,"3,999","3,999",439,313,445,701,612,602,503,270,106,7,1,"4,246","4,246",484,248,405,747,563,663,545,386,169,26,10
2711064000,대구광역시 중구 남산1동,"5,160","5,160",279,315,876,671,676,834,698,542,248,19,2,"2,479","2,479",151,150,426,326,354,420,329,235,81,6,1,"2,681","2,681",128,165,450,345,322,414,369,307,167,13,1
2711065000,대구광역시 중구 남산2동,"3,611","3,611",150,232,565,420,503,584,502,411,199,31,14,"1,730","1,730",71,119,276,216,251,301,233,181,76,3,3,"1,881","1,881",79,113,289,204,252,283,269,230,123,28,11
2711066000,대구광역시 중구 남산3동,"7,102","7,102",620,529,722,"1,009","1,134","1,092",959,688,309,36,4,"3,288","3,288",339,266,342,497,556,508,394,274,105,7,0,"3,814","3,814",281,263,380,512,578,584,565,414,204,29,4
2711067000,대구광역시 중구 남산4동,"12,067","12,067",974,"1,095","1,349","1,445","1,937","1,825","1,674","1,142",553,65,8,"5,715","5,715",528,584,703,715,949,838,708,489,184,15,2,"6,352","6,352",446,511,646,730,988,987,966,653,369,50,6
2711068000,대구광역시 중구 대봉1동,"7,662","7,662",556,631,"1,001",940,"1,177","1,202",950,748,394,55,8,"3,606","3,606",304,306,503,449,569,570,430,290,164,19,2,"4,056","4,056",252,325,498,491,608,632,520,458,230,36,6
2711069000,대구광역시 중구 대봉2동,"2,517","2,517",76,168,258,216,384,417,413,409,149,21,6,"1,238","1,238",40,96,136,120,201,215,192,173,60,5,0,"1,279","1,279",36,72,122,96,183,202,221,236,89,16,6
2714000000,대구광역시 동구 ,"342,897","342,897","26,045","27,149","41,772","44,818","51,628","57,549","49,979","29,862","12,526","1,446",123,"169,113","169,113","13,313","14,244","22,369","23,568","26,630","27,945","23,187","13,048","4,453",322,34,"173,784","173,784","12,732","12,905","19,403","21,250","24,998","29,604","26,792","16,814","8,073","1,124",89
2714051000,대구광역시 동구 신암1동,"7,908","7,908",292,480,879,731,"1,009","1,421","1,430","1,096",509,56,5,"3,945","3,945",150,274,490,429,554,732,665,458,183,10,0,"3,963","3,963",142,206,389,302,455,689,765,638,326,46,5
2714052000,대구광역시 동구 신암2동,"11,024","11,024","1,109",869,"1,046","1,540","1,920","1,579","1,450","1,015",434,52,10,"5,236","5,236",557,473,560,740,998,726,624,392,151,12,3,"5,788","5,788",552,396,486,800,922,853,826,623,283,40,7
2714053000,대구광역시 동구 신암3동,"8,930","8,930",726,592,992,"1,301","1,219","1,430","1,404",839,372,52,3,"4,380","4,380",376,305,488,710,622,701,657,369,145,7,0,"4,550","4,550",350,287,504,591,597,729,747,470,227,45,3
2714054000,대구광역시 동구 신암4동,"13,392","13,392",483,730,"1,903","1,555","1,816","2,671","2,314","1,361",490,59,10,"6,788","6,788",246,390,996,876,"1,028","1,361","1,096",591,183,17,4,"6,604","6,604",237,340,907,679,788,"1,310","1,218",770,307,42,6
