행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
1100000000,서울특별시  ,"9,724,496","9,724,496","648,909","803,192","1,463,920","1,498,555","1,550,099","1,536,375","1,211,955","694,958","268,829","41,193","6,511","4,735,431","4,735,431","333,248","411,862","713,036","749,894","767,985","753,933","572,501","316,917","103,579","10,776","1,700","4,989,065","4,989,065","315,661","391,330","750,884","748,661","782,114","782,442","639,454","378,041","165,250","30,417","4,811"
1111000000,서울특별시 종로구 ,"150,623","150,623","7,948","11,368","23,432","20,175","22,720","25,763","19,510","12,571","5,825","1,044",267,"73,407","73,407","4,021","5,734","11,568","10,033","11,050","12,947","9,677","5,600","2,325",364,88,"77,216","77,216","3,927","5,634","11,864","10,142","11,670","12,816","9,833","6,971","3,500",680,179
1111051500,서울특별시 종로구 청운효자동,"12,667","12,667",886,"1,222","1,622","1,744","2,190","2,015","1,371","1,017",503,78,19,"5,907","5,907",465,654,795,809,975,952,602,416,205,31,3,"6,760","6,760",421,568,827,935,"1,215","1,063",769,601,298,47,16
1111053000,서울특별시 종로구 사직동,"9,481","9,481",597,690,"1,233","1,405","1,498","1,546","1,170",778,454,91,19,"4,267","4,267",295,312,571,618,660,701,543,336,192,35,4,"5,214","5,214",302,378,662,787,838,845,627,442,262,56,15
1111054000,서울특별시 종로구 삼청동,"2,718","2,718",105,208,348,380,368,422,408,288,154,29,8,"1,301","1,301",48,120,186,181,179,204,186,133,51,12,1,"1,417","1,417",57,88,162,199,189,218,222,155,103,17,7
1111055000,서울특별시 종로구 부암동,"10,093","10,093",601,940,"1,375","1,243","1,641","1,734","1,276",805,391,76,11,"4,789","4,789",311,494,711,578,763,784,607,361,156,21,3,"5,304","5,304",290,446,664,665,878,950,669,444,235,55,8
1111056000,서울특별시 종로구 평창동,"18,523","18,523","1,192","1,660","2,517","2,257","2,806","3,321","2,424","1,413",750,158,25,"8,678","8,678",615,860,"1,293","1,055","1,239","1,492","1,159",630,284,43,8,"9,845","9,845",577,800,"1,224","1,202","1,567","1,829","1,265",783,466,115,17
1111057000,서울특별시 종로구 무악동,"8,684","8,684",735,"1,027",949,981,"1,577","1,396",996,652,304,50,17,"4,028","4,028",325,481,428,444,749,730,454,260,128,17,12,"4,656","4,656",410,546,521,537,828,666,542,392,176,33,5
1111058000,서울특별시 종로구 교남동,"10,561","10,561",901,860,"1,306","1,787","1,864","1,612","1,121",734,314,47,15,"4,916","4,916",463,418,610,842,877,773,492,296,126,14,5,"5,645","5,645",438,442,696,945,987,839,629,438,188,33,10
1111060000,서울특별시 종로구 가회동,"4,346","4,346",214,340,492,583,763,699,587,447,176,35,10,"2,007","2,007",105,179,234,280,357,320,266,182,73,7,4,"2,339","2,339",109,161,258,303,406,379,321,265,103,28,6
