행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
3100000000,울산광역시  ,"1,143,148","1,143,148","102,217","114,140","146,995","156,559","189,546","211,118","138,964","58,365","22,039","3,043",162,"587,434","587,434","52,590","60,184","82,369","82,943","96,365","107,576","70,175","27,536","7,164",501,31,"555,714","555,714","49,627","53,956","64,626","73,616","93,181","103,542","68,789","30,829","14,875","2,542",131
3111000000,울산광역시 중구 ,"220,604","220,604","17,393","20,533","27,763","27,466","35,032","42,061","30,727","13,933","5,027",613,56,"111,885","111,885","9,000","11,009","15,434","14,427","17,766","20,983","15,020","6,394","1,741",101,10,"108,719","108,719","8,393","9,524","12,329","13,039","17,266","21,078","15,707","7,539","3,286",512,46
3111051000,울산광역시 중구 학성동,"10,327","10,327",475,651,"1,095","1,068","1,410","1,950","1,994","1,203",427,50,4,"5,278","5,278",246,331,619,619,812,"1,027",939,526,153,5,1,"5,049","5,049",229,320,476,449,598,923,"1,055",677,274,45,3
3111052000,울산광역시 중구 반구1동,"17,536","17,536","1,432","1,340","2,266","2,557","2,678","3,557","2,372",961,324,47,2,"9,129","9,129",735,710,"1,255","1,403","1,435","1,816","1,183",473,112,7,0,"8,407","8,407",697,630,"1,011","1,154","1,243","1,741","1,189",488,212,40,2
3111053000,울산광역시 중구 반구2동,"8,948","8,948",430,637,"1,360","1,045","1,191","1,808","1,458",748,237,32,2,"4,575","4,575",232,336,745,586,615,905,701,364,84,7,0,"4,373","4,373",198,301,615,459,576,903,757,384,153,25,2
3111054000,울산광역시 중구 복산1동,"4,916","4,916",237,325,618,526,613,"1,015",942,461,149,24,6,"2,455","2,455",132,164,340,300,311,485,456,199,57,8,3,"2,461","2,461",105,161,278,226,302,530,486,262,92,16,3
3111055000,울산광역시 중구 복산2동,"11,437","11,437",957,"1,142","1,551","1,650","1,792","2,087","1,363",618,239,35,3,"5,713","5,713",474,628,821,887,875,"1,013",641,295,74,5,0,"5,724","5,724",483,514,730,763,917,"1,074",722,323,165,30,3
3111058500,울산광역시 중구 중앙동,"13,774","13,774",502,714,"1,686","1,393","1,754","2,719","2,799","1,534",586,63,24,"7,103","7,103",263,376,958,842,967,"1,377","1,417",668,216,15,4,"6,671","6,671",239,338,728,551,787,"1,342","1,382",866,370,48,20
3111059000,울산광역시 중구 우정동,"20,190","20,190","1,421","1,649","2,530","2,549","2,992","3,755","3,167","1,462",605,57,3,"10,173","10,173",765,885,"1,408","1,311","1,517","1,869","1,546",637,221,14,0,"10,017","10,017",656,764,"1,122","1,238","1,475","1,886","1,621",825,384,43,3
3111060000,울산광역시 중구 태화동,"34,188","34,188","3,640","3,642","4,028","4,610","6,021","5,946","4,098","1,597",529,76,1,"17,088","17,088","1,933","1,934","2,277","2,236","2,961","2,814","1,990",763,170,10,0,"17,100","17,100","1,707","1,708","1,751","2,374","3,060","3,132","2,108",834,359,66,1
3111061000,울산광역시 중구 다운동,"23,532","23,532","1,181","2,232","3,285","2,206","3,676","5,081","3,446","1,694",667,62,2,"11,941","11,941",581,"1,246","1,847","1,212","1,818","2,552","1,686",773,213,12,1,"11,591","11,591",600,986,"1,438",994,"1,858","2,529","1,760",921,454,50,1
3111062000,울산광역시 중구 병영1동,"22,811","22,811","1,519","2,377","3,099","2,365","3,436","4,902","3,290","1,335",428,56,4,"11,566","11,566",760,"1,307","1,743","1,247","1,674","2,436","1,595",635,163,6,0,"11,245","11,245",759,"1,070","1,356","1,118","1,762","2,466","1,695",700,265,50,4
3111063000,울산광역시 중구 병영2동,"20,662","20,662","2,102","1,915","2,389","2,928","3,361","3,786","2,691","1,063",384,41,2,"10,503","10,503","1,062","1,049","1,334","1,504","1,745","1,861","1,330",480,131,6,1,"10,159","10,159","1,040",866,"1,055","1,424","1,616","1,925","1,361",583,253,35,1
3111064000,울산광역시 중구 약사동,"11,046","11,046","1,340","1,320","1,385","1,725","1,845","1,984",963,345,126,12,1,"5,565","5,565",699,687,738,845,878,"1,020",495,156,45,2,0,"5,481","5,481",641,633,647,880,967,964,468,189,81,10,1
3111065000,울산광역시 중구 성안동,"21,237","21,237","2,157","2,589","2,471","2,844","4,263","3,471","2,144",912,326,58,2,"10,796","10,796","1,118","1,356","1,349","1,435","2,158","1,808","1,041",425,102,4,0,"10,441","10,441","1,039","1,233","1,122","1,409","2,105","1,663","1,103",487,224,54,2
3114000000,울산광역시 남구 ,"323,192","323,192","24,670","31,447","46,535","43,228","52,592","62,529","39,975","16,054","5,462",668,32,"164,865","164,865","12,717","16,581","25,972","22,929","25,667","31,498","19,884","7,655","1,838",114,10,"158,327","158,327","11,953","14,866","20,563","20,299","26,925","31,031","20,091","8,399","3,624",554,22
