행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
2900000000,광주광역시  ,"1,455,533","1,455,533","123,851","160,902","208,753","189,797","243,859","234,541","157,418","91,584","38,746","5,664",418,"720,300","720,300","63,618","83,574","108,939","96,596","121,039","116,270","74,935","40,545","13,514","1,217",53,"735,233","735,233","60,233","77,328","99,814","93,201","122,820","118,271","82,483","51,039","25,232","4,447",365
2911000000,광주광역시 동구 ,"99,158","99,158","6,661","7,292","14,096","12,510","13,656","15,454","14,164","10,095","4,538",626,66,"49,015","49,015","3,459","3,792","7,237","6,511","7,154","7,625","6,682","4,474","1,896",172,13,"50,143","50,143","3,202","3,500","6,859","5,999","6,502","7,829","7,482","5,621","2,642",454,53
2911052500,광주광역시 동구 충장동,"4,547","4,547",73,155,"1,006",605,536,690,771,490,185,31,5,"2,340","2,340",37,68,401,353,330,391,401,268,82,9,0,"2,207","2,207",36,87,605,252,206,299,370,222,103,22,5
2911054500,광주광역시 동구 동명동,"3,754","3,754",121,221,636,364,514,520,588,503,248,36,3,"1,879","1,879",61,117,328,206,267,272,285,207,126,10,0,"1,875","1,875",60,104,308,158,247,248,303,296,122,26,3
2911056000,광주광역시 동구 계림1동,"5,995","5,995",181,264,781,654,815,"1,111","1,110",716,319,40,4,"3,246","3,246",90,143,442,374,500,645,576,329,135,12,0,"2,749","2,749",91,121,339,280,315,466,534,387,184,28,4
2911057000,광주광역시 동구 계림2동,"8,099","8,099",751,756,973,952,"1,226","1,166","1,009",855,364,44,3,"3,980","3,980",408,404,538,473,595,578,457,355,157,14,1,"4,119","4,119",343,352,435,479,631,588,552,500,207,30,2
2911059000,광주광역시 동구 산수1동,"8,975","8,975",575,688,"1,201","1,177","1,318","1,459","1,185",909,403,55,5,"4,457","4,457",295,358,622,627,709,741,557,380,154,13,1,"4,518","4,518",280,330,579,550,609,718,628,529,249,42,4
2911060000,광주광역시 동구 산수2동,"10,570","10,570",622,862,"1,384","1,153","1,384","1,807","1,620","1,167",512,56,3,"5,167","5,167",313,444,709,597,721,851,761,523,228,20,0,"5,403","5,403",309,418,675,556,663,956,859,644,284,36,3
2911062000,광주광역시 동구 지산1동,"4,388","4,388",219,332,802,481,616,629,606,453,212,31,7,"2,224","2,224",135,179,422,268,321,328,273,198,91,6,3,"2,164","2,164",84,153,380,213,295,301,333,255,121,25,4
2911063000,광주광역시 동구 지산2동,"4,828","4,828",228,415,900,434,651,777,631,494,259,36,3,"2,460","2,460",127,233,511,225,348,382,293,217,112,12,0,"2,368","2,368",101,182,389,209,303,395,338,277,147,24,3
