행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
4100000000,경기도  ,"13,324,041","13,324,041","1,169,656","1,341,519","1,788,779","1,916,581","2,294,087","2,217,878","1,453,705","751,632","336,198","49,854","4,152","6,703,603","6,703,603","599,029","690,849","941,023","985,963","1,165,260","1,124,992","721,909","340,450","121,136","11,883","1,109","6,620,438","6,620,438","570,627","650,670","847,756","930,618","1,128,827","1,092,886","731,796","411,182","215,062","37,971","3,043"
4111000000,경기도 수원시 ,"1,192,018","1,192,018","101,337","121,072","186,965","182,542","204,852","196,610","114,605","55,645","24,262","3,821",307,"600,154","600,154","52,248","62,566","98,615","94,620","103,224","98,264","56,477","24,798","8,401",863,78,"591,864","591,864","49,089","58,506","88,350","87,922","101,628","98,346","58,128","30,847","15,861","2,958",229
4111100000,경기도 수원시 장안구 ,"276,317","276,317","19,309","29,499","44,194","33,651","46,589","49,451","29,490","15,562","7,287","1,198",87,"139,181","139,181","9,995","15,372","24,174","17,489","23,134","24,740","14,475","6,894","2,600",287,21,"137,136","137,136","9,314","14,127","20,020","16,162","23,455","24,711","15,015","8,668","4,687",911,66
4111156000,경기도 수원시 장안구 파장동,"23,772","23,772","1,450","1,937","3,442","2,985","3,811","4,467","3,191","1,653",705,122,9,"12,002","12,002",749,"1,020","1,886","1,602","1,966","2,215","1,581",721,236,24,2,"11,770","11,770",701,917,"1,556","1,383","1,845","2,252","1,610",932,469,98,7
4111156600,경기도 수원시 장안구 율천동,"43,308","43,308","3,221","4,283","10,086","5,899","6,680","6,831","3,570","1,720",880,127,11,"22,828","22,828","1,645","2,238","6,174","3,125","3,359","3,436","1,766",738,303,40,4,"20,480","20,480","1,576","2,045","3,912","2,774","3,321","3,395","1,804",982,577,87,7
4111157100,경기도 수원시 장안구 정자1동,"30,215","30,215","2,657","3,623","4,239","3,613","5,559","5,311","2,914","1,462",703,126,8,"14,880","14,880","1,356","1,942","2,238","1,758","2,663","2,633","1,387",633,236,31,3,"15,335","15,335","1,301","1,681","2,001","1,855","2,896","2,678","1,527",829,467,95,5
4111157200,경기도 수원시 장안구 정자2동,"30,414","30,414","2,098","3,266","4,394","3,798","5,174","5,475","3,273","1,959",842,128,7,"14,937","14,937","1,048","1,686","2,290","1,941","2,530","2,703","1,543",854,311,30,1,"15,477","15,477","1,050","1,580","2,104","1,857","2,644","2,772","1,730","1,105",531,98,6
4111157300,경기도 수원시 장안구 정자3동,"43,266","43,266","3,894","7,136","6,214","4,625","9,293","7,332","2,667","1,329",674,101,1,"21,607","21,607","2,066","3,659","3,204","2,210","4,399","3,833","1,422",560,236,18,0,"21,659","21,659","1,828","3,477","3,010","2,415","4,894","3,499","1,245",769,438,83,1
4111158000,경기도 수원시 장안구 영화동,"20,417","20,417",896,"1,258","2,717","2,574","3,052","4,033","3,369","1,727",671,99,21,"10,416","10,416",476,658,"1,404","1,433","1,662","2,037","1,633",808,281,18,6,"10,001","10,001",420,600,"1,313","1,141","1,390","1,996","1,736",919,390,81,15
4111159100,경기도 수원시 장안구 송죽동,"19,932","19,932","1,204","1,814","3,078","2,781","3,152","3,692","2,435","1,169",514,88,5,"9,961","9,961",628,962,"1,587","1,469","1,585","1,813","1,180",529,186,20,2,"9,971","9,971",576,852,"1,491","1,312","1,567","1,879","1,255",640,328,68,3
4111159700,경기도 수원시 장안구 조원1동,"29,155","29,155","1,610","2,934","4,425","3,352","4,650","5,526","3,582","1,976",939,155,6,"14,693","14,693",837,"1,545","2,339","1,839","2,351","2,752","1,769",909,312,40,0,"14,462","14,462",773,"1,389","2,086","1,513","2,299","2,774","1,813","1,067",627,115,6
4111159800,경기도 수원시 장안구 조원2동,"19,390","19,390","1,535","2,132","3,037","2,154","2,976","3,854","1,948","1,017",631,104,2,"9,371","9,371",795,"1,088","1,573","1,019","1,358","1,807","1,014",454,232,30,1,"10,019","10,019",740,"1,044","1,464","1,135","1,618","2,047",934,563,399,74,1
4111160000,경기도 수원시 장안구 연무동,"16,448","16,448",744,"1,116","2,562","1,870","2,242","2,930","2,541","1,550",728,148,17,"8,486","8,486",395,574,"1,479","1,093","1,261","1,511","1,180",688,267,36,2,"7,962","7,962",349,542,"1,083",777,981,"1,419","1,361",862,461,112,15
4111300000,경기도 수원시 권선구 ,"370,687","370,687","33,762","34,119","54,970","59,796","61,763","62,593","37,991","17,147","7,326","1,126",94,"187,053","187,053","17,355","17,733","28,667","31,220","31,907","30,857","18,730","7,808","2,501",249,26,"183,634","183,634","16,407","16,386","26,303","28,576","29,856","31,736","19,261","9,339","4,825",877,68
4111352000,경기도 수원시 권선구 세류1동,"10,561","10,561",907,650,"1,547","1,743","1,488","1,906","1,312",667,282,48,11,"5,279","5,279",483,346,782,928,781,916,624,302,106,9,2,"5,282","5,282",424,304,765,815,707,990,688,365,176,39,9
4111353000,경기도 수원시 권선구 세류2동,"23,874","23,874","1,161","1,672","3,612","3,581","3,793","4,334","3,312","1,638",660,102,9,"12,282","12,282",611,879,"1,902","2,067","2,007","2,180","1,573",763,262,34,4,"11,592","11,592",550,793,"1,710","1,514","1,786","2,154","1,739",875,398,68,5
4111354000,경기도 수원시 권선구 세류3동,"19,731","19,731","1,034","1,625","2,799","2,708","3,197","3,498","2,766","1,470",539,83,12,"9,922","9,922",475,850,"1,497","1,473","1,683","1,727","1,330",668,196,23,0,"9,809","9,809",559,775,"1,302","1,235","1,514","1,771","1,436",802,343,60,12
4111355000,경기도 수원시 권선구 평동,"40,833","40,833","3,161","3,707","6,315","5,777","6,193","7,671","4,739","2,156",936,160,18,"20,696","20,696","1,630","1,929","3,426","3,031","3,137","3,816","2,365","1,004",325,29,4,"20,137","20,137","1,531","1,778","2,889","2,746","3,056","3,855","2,374","1,152",611,131,14
4111356000,경기도 수원시 권선구 서둔동,"38,575","38,575","2,567","3,314","5,949","5,514","6,109","6,893","4,836","2,348",908,126,11,"19,635","19,635","1,290","1,752","3,160","3,039","3,224","3,422","2,356","1,067",295,26,4,"18,940","18,940","1,277","1,562","2,789","2,475","2,885","3,471","2,480","1,281",613,100,7
4111365000,경기도 수원시 권선구 구운동,"25,197","25,197","1,515","2,145","4,048","3,353","3,856","4,966","3,130","1,435",659,84,6,"12,718","12,718",757,"1,096","2,127","1,823","1,988","2,454","1,559",674,219,19,2,"12,479","12,479",758,"1,049","1,921","1,530","1,868","2,512","1,571",761,440,65,4
4111366200,경기도 수원시 권선구 금곡동,"45,892","45,892","5,187","5,020","6,229","6,888","8,114","7,623","3,929","1,885",887,128,2,"22,714","22,714","2,645","2,657","3,207","3,392","4,049","3,704","1,931",801,298,30,0,"23,178","23,178","2,542","2,363","3,022","3,496","4,065","3,919","1,998","1,084",589,98,2
4111366400,경기도 수원시 권선구 호매실동,"46,226","46,226","7,278","4,420","5,141","9,628","8,032","5,966","3,492","1,537",652,74,6,"22,947","22,947","3,788","2,199","2,512","4,760","4,244","2,865","1,687",673,203,13,3,"23,279","23,279","3,490","2,221","2,629","4,868","3,788","3,101","1,805",864,449,61,3
4111367000,경기도 수원시 권선구 권선1동,"24,867","24,867","1,399","1,799","4,951","4,469","3,721","4,288","2,647","1,057",457,75,4,"12,652","12,652",733,949,"2,485","2,417","1,929","2,140","1,349",485,145,18,2,"12,215","12,215",666,850,"2,466","2,052","1,792","2,148","1,298",572,312,57,2
4111368000,경기도 수원시 권선구 권선2동,"50,118","50,118","5,958","5,527","6,933","8,312","8,935","8,062","4,185","1,450",628,120,8,"24,707","24,707","3,112","2,915","3,581","3,982","4,352","3,791","2,073",666,212,20,3,"25,411","25,411","2,846","2,612","3,352","4,330","4,583","4,271","2,112",784,416,100,5
4111369000,경기도 수원시 권선구 곡선동,"27,789","27,789","1,787","2,369","5,374","5,514","5,040","4,557","1,935",740,392,76,5,"14,894","14,894",922,"1,204","2,876","3,148","2,815","2,414","1,035",331,136,11,2,"12,895","12,895",865,"1,165","2,498","2,366","2,225","2,143",900,409,256,65,3
4111370000,경기도 수원시 권선구 입북동,"17,024","17,024","1,808","1,871","2,072","2,309","3,285","2,829","1,708",764,326,50,2,"8,607","8,607",909,957,"1,112","1,160","1,698","1,428",848,374,104,17,0,"8,417","8,417",899,914,960,"1,149","1,587","1,401",860,390,222,33,2
4111500000,경기도 수원시 팔달구 ,"175,396","175,396","10,013","14,399","28,578","24,912","27,839","30,761","21,613","11,757","4,723",713,88,"88,354","88,354","5,061","7,372","14,909","13,442","14,319","15,650","10,500","5,221","1,688",170,22,"87,042","87,042","4,952","7,027","13,669","11,470","13,520","15,111","11,113","6,536","3,035",543,66
4111565000,경기도 수원시 팔달구 매교동,"5,954","5,954",245,325,906,875,878,"1,121",860,511,205,22,6,"3,161","3,161",123,180,498,476,505,624,436,233,75,8,3,"2,793","2,793",122,145,408,399,373,497,424,278,130,14,3
4111566000,경기도 수원시 팔달구 매산동,"10,711","10,711",452,512,"1,903","1,680","1,445","1,986","1,545",803,328,51,6,"5,687","5,687",238,252,"1,056",940,827,"1,059",799,371,125,17,3,"5,024","5,024",214,260,847,740,618,927,746,432,203,34,3
4111567000,경기도 수원시 팔달구 고등동,"9,159","9,159",384,604,"1,118","1,101","1,381","1,776","1,465",937,331,49,13,"4,679","4,679",203,299,596,628,756,918,681,438,141,12,7,"4,480","4,480",181,305,522,473,625,858,784,499,190,37,6
4111568000,경기도 수원시 팔달구 화서1동,"23,450","23,450","1,578","2,276","3,221","2,751","3,925","4,192","3,028","1,730",643,93,13,"11,391","11,391",788,"1,105","1,645","1,396","1,925","2,066","1,437",756,247,24,2,"12,059","12,059",790,"1,171","1,576","1,355","2,000","2,126","1,591",974,396,69,11
4111569000,경기도 수원시 팔달구 화서2동,"27,068","27,068","2,116","3,114","4,168","3,559","4,652","5,116","2,468","1,219",570,82,4,"13,311","13,311","1,087","1,569","2,141","1,763","2,212","2,538","1,247",548,187,18,1,"13,757","13,757","1,029","1,545","2,027","1,796","2,440","2,578","1,221",671,383,64,3
4111570000,경기도 수원시 팔달구 지동,"11,587","11,587",463,764,"1,362","1,285","1,717","2,165","2,031","1,228",486,76,10,"5,921","5,921",241,413,763,711,938,"1,163",970,537,168,16,1,"5,666","5,666",222,351,599,574,779,"1,002","1,061",691,318,60,9
4111571000,경기도 수원시 팔달구 우만1동,"20,915","20,915",985,"1,535","3,276","3,017","3,168","3,782","2,819","1,635",610,82,6,"10,405","10,405",505,794,"1,719","1,700","1,641","1,869","1,286",684,189,16,2,"10,510","10,510",480,741,"1,557","1,317","1,527","1,913","1,533",951,421,66,4
4111572000,경기도 수원시 팔달구 우만2동,"17,415","17,415","1,266","1,908","3,619","2,284","2,799","2,726","1,636",777,342,57,1,"8,691","8,691",625,"1,045","1,976","1,186","1,329","1,305",782,316,113,14,0,"8,724","8,724",641,863,"1,643","1,098","1,470","1,421",854,461,229,43,1
4111573000,경기도 수원시 팔달구 인계동,"38,162","38,162","2,243","2,868","7,491","7,032","6,374","5,688","3,808","1,773",755,113,17,"19,246","19,246","1,114","1,457","3,738","3,852","3,296","2,836","1,859",820,254,18,2,"18,916","18,916","1,129","1,411","3,753","3,180","3,078","2,852","1,949",953,501,95,15
4111574000,경기도 수원시 팔달구 행궁동,"10,975","10,975",281,493,"1,514","1,328","1,500","2,209","1,953","1,144",453,88,12,"5,862","5,862",137,258,777,790,890,"1,272","1,003",518,189,27,1,"5,113","5,113",144,235,737,538,610,937,950,626,264,61,11
4111700000,경기도 수원시 영통구 ,"369,618","369,618","38,253","43,055","59,223","64,183","68,661","53,805","25,511","11,179","4,926",784,38,"185,566","185,566","19,837","22,089","30,865","32,469","33,864","27,017","12,772","4,875","1,612",157,9,"184,052","184,052","18,416","20,966","28,358","31,714","34,797","26,788","12,739","6,304","3,314",627,29
4111751000,경기도 수원시 영통구 매탄1동,"18,767","18,767","1,277","2,033","3,173","2,541","3,162","3,332","1,975",889,323,56,6,"9,435","9,435",644,"1,039","1,763","1,352","1,517","1,647",943,415,106,7,2,"9,332","9,332",633,994,"1,410","1,189","1,645","1,685","1,032",474,217,49,4
4111752000,경기도 수원시 영통구 매탄2동,"15,388","15,388","1,000","1,595","2,537","2,019","2,511","2,793","1,698",820,358,51,6,"7,660","7,660",517,844,"1,275","1,093","1,244","1,338",862,362,115,9,1,"7,728","7,728",483,751,"1,262",926,"1,267","1,455",836,458,243,42,5
4111753000,경기도 수원시 영통구 매탄3동,"36,546","36,546","3,050","4,546","6,600","5,584","6,895","5,497","2,603","1,160",529,78,4,"18,996","18,996","1,601","2,325","3,726","3,059","3,458","2,802","1,332",522,156,15,0,"17,550","17,550","1,449","2,221","2,874","2,525","3,437","2,695","1,271",638,373,63,4
4111754000,경기도 수원시 영통구 매탄4동,"22,305","22,305","1,493","2,409","3,764","3,247","3,856","3,805","2,225",976,453,74,3,"11,010","11,010",807,"1,251","2,001","1,699","1,807","1,829","1,055",402,143,15,1,"11,295","11,295",686,"1,158","1,763","1,548","2,049","1,976","1,170",574,310,59,2
4111755000,경기도 수원시 영통구 원천동,"39,241","39,241","4,692","3,556","6,593","7,869","7,131","4,673","2,850","1,269",507,98,3,"19,918","19,918","2,412","1,827","3,438","3,995","3,772","2,363","1,370",554,166,20,1,"19,323","19,323","2,280","1,729","3,155","3,874","3,359","2,310","1,480",715,341,78,2
4111757000,경기도 수원시 영통구 영통1동,"36,387","36,387","3,796","5,023","4,988","5,690","7,286","5,680","2,281","1,039",524,74,6,"17,966","17,966","1,979","2,609","2,543","2,744","3,484","2,812","1,164",423,188,17,3,"18,421","18,421","1,817","2,414","2,445","2,946","3,802","2,868","1,117",616,336,57,3
4111758000,경기도 수원시 영통구 영통2동,"26,551","26,551","2,647","2,228","5,782","6,622","4,223","3,027","1,131",583,267,40,1,"14,013","14,013","1,350","1,153","3,268","3,676","2,149","1,536",562,215,94,10,0,"12,538","12,538","1,297","1,075","2,514","2,946","2,074","1,491",569,368,173,30,1
4111758500,경기도 수원시 영통구 영통3동,"33,055","33,055","2,806","4,410","6,384","4,558","6,262","5,301","2,005",798,455,74,2,"16,833","16,833","1,416","2,310","3,437","2,351","2,980","2,747","1,089",336,152,14,1,"16,222","16,222","1,390","2,100","2,947","2,207","3,282","2,554",916,462,303,60,1
4111759300,경기도 수원시 영통구 망포1동,"31,880","31,880","3,637","4,188","4,599","5,104","5,953","5,170","2,028",817,322,59,3,"16,011","16,011","1,902","2,128","2,434","2,519","2,877","2,600","1,091",345,104,11,0,"15,869","15,869","1,735","2,060","2,165","2,585","3,076","2,570",937,472,218,48,3
4111759600,경기도 수원시 영통구 망포2동,"28,419","28,419","4,439","3,234","3,456","6,038","5,382","3,610","1,440",529,251,39,1,"14,207","14,207","2,324","1,670","1,697","2,942","2,706","1,813",733,241,76,5,0,"14,212","14,212","2,115","1,564","1,759","3,096","2,676","1,797",707,288,175,34,1
4111760000,경기도 수원시 영통구 광교1동,"52,925","52,925","5,904","6,911","8,266","9,545","10,716","6,985","2,852","1,178",488,80,0,"25,867","25,867","3,085","3,439","3,786","4,479","5,194","3,682","1,469",549,166,18,0,"27,058","27,058","2,819","3,472","4,480","5,066","5,522","3,303","1,383",629,322,62,0
4111761000,경기도 수원시 영통구 광교2동,"28,154","28,154","3,512","2,922","3,081","5,366","5,284","3,932","2,423","1,121",449,61,3,"13,650","13,650","1,800","1,494","1,497","2,560","2,676","1,848","1,102",511,146,16,0,"14,504","14,504","1,712","1,428","1,584","2,806","2,608","2,084","1,321",610,303,45,3
4113000000,경기도 성남시 ,"940,519","940,519","70,631","89,441","132,358","138,313","158,734","156,050","109,093","57,133","24,249","4,048",469,"465,640","465,640","36,214","45,849","67,883","70,072","78,438","77,796","53,507","25,868","8,889",995,129,"474,879","474,879","34,417","43,592","64,475","68,241","80,296","78,254","55,586","31,265","15,360","3,053",340
4113100000,경기도 성남시 수정구 ,"234,702","234,702","15,570","17,580","34,121","34,841","36,847","40,448","31,523","16,602","6,063",906,201,"118,761","118,761","7,883","9,041","17,947","18,609","19,535","20,552","15,274","7,497","2,146",216,61,"115,941","115,941","7,687","8,539","16,174","16,232","17,312","19,896","16,249","9,105","3,917",690,140
4113151000,경기도 성남시 수정구 신흥1동,"13,518","13,518",539,747,"2,015","1,801","2,047","2,623","2,123","1,136",411,54,22,"7,048","7,048",273,388,"1,101","1,043","1,164","1,429","1,009",491,131,13,6,"6,470","6,470",266,359,914,758,883,"1,194","1,114",645,280,41,16
