행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
2600000000,부산광역시  ,"3,406,942","3,406,942","239,265","277,678","434,981","428,546","515,035","578,102","516,063","289,080","111,671","14,679","1,842","1,670,175","1,670,175","122,725","143,643","227,181","218,979","259,122","280,256","244,676","130,137","39,851","3,198",407,"1,736,767","1,736,767","116,540","134,035","207,800","209,567","255,913","297,846","271,387","158,943","71,820","11,481","1,435"
2611000000,부산광역시 중구 ,"41,742","41,742","1,426","2,170","5,551","4,517","5,589","7,194","7,770","5,026","2,057",361,81,"20,457","20,457",752,"1,107","2,785","2,435","3,040","3,607","3,662","2,193",761,97,18,"21,285","21,285",674,"1,063","2,766","2,082","2,549","3,587","4,108","2,833","1,296",264,63
2611051000,부산광역시 중구 중앙동,"2,249","2,249",40,83,475,357,268,350,372,192,83,27,2,"1,131","1,131",19,41,216,178,147,195,193,101,34,7,0,"1,118","1,118",21,42,259,179,121,155,179,91,49,20,2
2611052000,부산광역시 중구 동광동,"2,973","2,973",85,109,319,260,372,565,588,466,166,38,5,"1,487","1,487",41,53,160,143,217,288,276,227,69,12,1,"1,486","1,486",44,56,159,117,155,277,312,239,97,26,4
2611053000,부산광역시 중구 대청동,"6,590","6,590",222,417,936,697,935,"1,111","1,140",756,298,70,8,"3,119","3,119",120,194,472,363,484,522,541,305,103,11,4,"3,471","3,471",102,223,464,334,451,589,599,451,195,59,4
2611054500,부산광역시 중구 보수동,"10,747","10,747",411,612,"1,473","1,136","1,503","1,849","1,925","1,228",527,70,13,"5,260","5,260",215,315,749,601,809,938,879,520,212,19,3,"5,487","5,487",196,297,724,535,694,911,"1,046",708,315,51,10
2611056000,부산광역시 중구 부평동,"4,711","4,711",117,216,534,493,572,839,996,604,270,46,24,"2,233","2,233",67,116,254,262,317,395,453,263,89,12,5,"2,478","2,478",50,100,280,231,255,444,543,341,181,34,19
2611057000,부산광역시 중구 광복동,"1,083","1,083",21,40,108,115,125,191,265,133,63,18,4,550,550,12,23,66,61,66,92,138,60,25,5,2,533,533,9,17,42,54,59,99,127,73,38,13,2
2611058000,부산광역시 중구 남포동,"1,042","1,042",14,29,72,108,110,205,287,156,49,11,1,575,575,8,14,38,63,69,130,165,71,11,6,0,467,467,6,15,34,45,41,75,122,85,38,5,1
2611059000,부산광역시 중구 영주제1동,"4,851","4,851",201,219,815,664,705,718,764,494,227,35,9,"2,451","2,451",105,110,397,382,411,372,366,216,80,10,2,"2,400","2,400",96,109,418,282,294,346,398,278,147,25,7
2611060000,부산광역시 중구 영주제2동,"7,496","7,496",315,445,819,687,999,"1,366","1,433",997,374,46,15,"3,651","3,651",165,241,433,382,520,675,651,430,138,15,1,"3,845","3,845",150,204,386,305,479,691,782,567,236,31,14
2614000000,부산광역시 서구 ,"107,868","107,868","5,632","7,357","13,560","11,420","14,658","18,320","18,580","12,264","5,217",741,119,"52,319","52,319","2,924","3,710","6,735","5,908","7,580","9,367","8,665","5,343","1,877",177,33,"55,549","55,549","2,708","3,647","6,825","5,512","7,078","8,953","9,915","6,921","3,340",564,86
2614051000,부산광역시 서구 동대신제1동,"4,636","4,636",227,296,620,524,596,767,786,515,268,33,4,"2,214","2,214",113,143,311,271,313,387,348,227,92,9,0,"2,422","2,422",114,153,309,253,283,380,438,288,176,24,4
2614052000,부산광역시 서구 동대신제2동,"7,809","7,809",360,557,774,707,"1,050","1,364","1,422","1,034",480,57,4,"3,807","3,807",190,263,422,372,549,676,672,462,189,11,1,"4,002","4,002",170,294,352,335,501,688,750,572,291,46,3
2614053000,부산광역시 서구 동대신제3동,"7,325","7,325",370,503,"1,129",795,998,"1,120","1,206",776,363,55,10,"3,418","3,418",188,239,521,403,502,563,523,342,120,15,2,"3,907","3,907",182,264,608,392,496,557,683,434,243,40,8
2614054000,부산광역시 서구 서대신제1동,"12,127","12,127",909,920,"1,597","1,596","1,796","1,891","1,678","1,148",504,83,5,"5,723","5,723",470,459,771,773,887,923,753,489,176,20,2,"6,404","6,404",439,461,826,823,909,968,925,659,328,63,3
2614056000,부산광역시 서구 서대신제3동,"8,875","8,875",650,875,"1,083",934,"1,386","1,499","1,261",768,362,54,3,"4,114","4,114",331,406,530,450,649,693,579,342,120,14,0,"4,761","4,761",319,469,553,484,737,806,682,426,242,40,3
2614057000,부산광역시 서구 서대신제4동,"8,062","8,062",677,776,972,932,"1,265","1,309","1,118",642,318,49,4,"3,920","3,920",368,413,500,446,605,644,540,273,121,10,0,"4,142","4,142",309,363,472,486,660,665,578,369,197,39,4
2614059000,부산광역시 서구 부민동,"7,972","7,972",471,590,"1,569","1,030","1,064","1,142","1,125",622,298,55,6,"3,805","3,805",250,285,710,517,544,569,533,268,118,8,3,"4,167","4,167",221,305,859,513,520,573,592,354,180,47,3
2614061500,부산광역시 서구 아미동,"7,301","7,301",113,327,773,579,889,"1,321","1,543","1,139",517,72,28,"3,709","3,709",57,177,401,328,521,738,775,492,194,16,10,"3,592","3,592",56,150,372,251,368,583,768,647,323,56,18
2614063000,부산광역시 서구 초장동,"4,790","4,790",120,207,445,397,644,836,995,755,337,45,9,"2,384","2,384",56,104,239,216,374,470,483,329,96,15,2,"2,406","2,406",64,103,206,181,270,366,512,426,241,30,7
2614064000,부산광역시 서구 충무동,"10,151","10,151",516,543,"1,409","1,267","1,348","1,754","1,705","1,123",418,53,15,"4,870","4,870",273,283,649,664,686,890,780,472,154,15,4,"5,281","5,281",243,260,760,603,662,864,925,651,264,38,11
2614065000,부산광역시 서구 남부민제1동,"4,985","4,985",119,213,431,447,573,954,"1,114",788,297,42,7,"2,534","2,534",59,106,237,271,343,520,523,345,116,12,2,"2,451","2,451",60,107,194,176,230,434,591,443,181,30,5
2614066000,부산광역시 서구 남부민제2동,"9,889","9,889",379,555,948,823,"1,289","1,774","2,061","1,477",505,65,13,"4,944","4,944",196,297,519,463,692,966,984,643,167,14,3,"4,945","4,945",183,258,429,360,597,808,"1,077",834,338,51,10
2614068000,부산광역시 서구 암남동,"13,946","13,946",721,995,"1,810","1,389","1,760","2,589","2,566","1,477",550,78,11,"6,877","6,877",373,535,925,734,915,"1,328","1,172",659,214,18,4,"7,069","7,069",348,460,885,655,845,"1,261","1,394",818,336,60,7
2617000000,부산광역시 동구 ,"89,710","89,710","4,248","5,322","10,678","10,588","12,254","15,062","15,786","10,636","4,465",572,99,"44,007","44,007","2,245","2,764","5,389","5,696","6,570","7,626","7,490","4,494","1,547",156,30,"45,703","45,703","2,003","2,558","5,289","4,892","5,684","7,436","8,296","6,142","2,918",416,69
2617051000,부산광역시 동구 초량제1동,"4,855","4,855",187,270,683,521,710,794,849,587,222,26,6,"2,426","2,426",80,151,344,284,403,422,400,260,71,8,3,"2,429","2,429",107,119,339,237,307,372,449,327,151,18,3
2617052000,부산광역시 동구 초량제2동,"5,895","5,895",166,275,658,566,790,"1,036","1,220",802,319,54,9,"2,914","2,914",99,142,332,327,442,545,559,338,109,17,4,"2,981","2,981",67,133,326,239,348,491,661,464,210,37,5
2617053000,부산광역시 동구 초량제3동,"10,898","10,898",954,676,"1,640","2,251","1,673","1,514","1,200",646,276,60,8,"5,358","5,358",500,365,682,"1,167",862,782,597,288,94,16,5,"5,540","5,540",454,311,958,"1,084",811,732,603,358,182,44,3
2617055000,부산광역시 동구 초량제6동,"6,505","6,505",218,440,667,548,875,"1,070","1,224",950,442,58,13,"3,175","3,175",117,243,371,311,454,546,561,394,160,13,5,"3,330","3,330",101,197,296,237,421,524,663,556,282,45,8
2617056000,부산광역시 동구 수정제1동,"4,283","4,283",193,323,502,415,613,717,734,549,208,24,5,"2,078","2,078",97,160,265,231,324,355,327,228,82,9,0,"2,205","2,205",96,163,237,184,289,362,407,321,126,15,5
2617057000,부산광역시 동구 수정제2동,"10,154","10,154",416,638,"1,246","1,163","1,344","1,722","1,822","1,235",502,51,15,"4,877","4,877",211,318,621,642,696,838,844,522,164,18,3,"5,277","5,277",205,320,625,521,648,884,978,713,338,33,12
2617059000,부산광역시 동구 수정제4동,"4,284","4,284",139,254,384,320,522,747,825,744,308,39,2,"2,137","2,137",79,147,219,187,290,413,399,285,106,12,0,"2,147","2,147",60,107,165,133,232,334,426,459,202,27,2
2617060000,부산광역시 동구 수정제5동,"5,729","5,729",201,380,606,463,756,"1,005","1,074",847,342,53,2,"2,747","2,747",115,191,337,249,405,482,487,357,110,14,0,"2,982","2,982",86,189,269,214,351,523,587,490,232,39,2
2617064500,부산광역시 동구 좌천동,"11,252","11,252",482,666,"1,329","1,224","1,479","1,912","2,003","1,476",607,61,13,"5,456","5,456",268,331,694,636,795,941,930,623,221,13,4,"5,796","5,796",214,335,635,588,684,971,"1,073",853,386,48,9
2617065000,부산광역시 동구 범일제1동,"12,255","12,255",414,666,"1,360","1,193","1,493","2,231","2,532","1,565",713,75,13,"6,047","6,047",222,324,731,651,835,"1,124","1,234",668,238,17,3,"6,208","6,208",192,342,629,542,658,"1,107","1,298",897,475,58,10
2617066000,부산광역시 동구 범일제2동,"8,979","8,979",501,463,"1,169","1,207","1,292","1,666","1,547",773,319,34,8,"4,518","4,518",268,243,589,633,678,853,762,351,127,12,2,"4,461","4,461",233,220,580,574,614,813,785,422,192,22,6
2617068000,부산광역시 동구 범일제5동,"4,621","4,621",377,271,434,717,707,648,756,462,207,37,5,"2,274","2,274",189,149,204,378,386,325,390,180,65,7,1,"2,347","2,347",188,122,230,339,321,323,366,282,142,30,4
2620000000,부산광역시 영도구 ,"115,388","115,388","5,552","7,712","12,287","11,199","15,663","20,208","21,703","14,531","5,667",736,130,"56,867","56,867","2,796","3,987","6,710","6,021","8,232","10,261","10,371","6,305","2,013",138,33,"58,521","58,521","2,756","3,725","5,577","5,178","7,431","9,947","11,332","8,226","3,654",598,97
2620053000,부산광역시 영도구 남항동,"10,819","10,819",401,549,"1,043","1,059","1,402","1,990","2,154","1,513",618,82,8,"5,388","5,388",198,280,542,574,782,"1,109","1,032",642,220,7,2,"5,431","5,431",203,269,501,485,620,881,"1,122",871,398,75,6
