행정기관코드,행정기관,총 인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 인구수,남 연령구간인구수,남 0~9세,남 10~19세,남 20~29세,남 30~39세,남 40~49세,남 50~59세,남 60~69세,남 70~79세,남 80~89세,남 90~99세,남 100세 이상,여 인구수,여 연령구간인구수,여 0~9세,여 10~19세,여 20~29세,여 30~39세,여 40~49세,여 50~59세,여 60~69세,여 70~79세,여 80~89세,여 90~99세,여 100세 이상
4600000000,전라남도  ,"1,855,945","1,855,945","136,159","170,539","201,096","190,821","262,915","316,227","262,699","191,306","107,814","15,534",835,"932,496","932,496","69,467","88,705","111,968","100,471","140,930","169,087","131,832","83,091","33,734","3,095",116,"923,449","923,449","66,692","81,834","89,128","90,350","121,985","147,140","130,867","108,215","74,080","12,439",719
4611000000,전라남도 목포시 ,"228,587","228,587","19,670","25,359","27,589","27,592","38,179","36,856","28,117","17,361","6,852",936,76,"113,977","113,977","10,136","13,015","14,861","14,203","19,659","18,494","13,423","7,683","2,298",190,15,"114,610","114,610","9,534","12,344","12,728","13,389","18,520","18,362","14,694","9,678","4,554",746,61
4611051000,전라남도 목포시 용당1동,"11,233","11,233",543,803,"1,193","1,096","1,514","1,868","2,097","1,491",553,70,5,"5,634","5,634",288,397,670,622,856,950,955,674,206,13,3,"5,599","5,599",255,406,523,474,658,918,"1,142",817,347,57,2
4611052000,전라남도 목포시 용당2동,"5,414","5,414",239,366,569,510,719,914,"1,071",758,225,39,4,"2,742","2,742",127,188,329,288,435,473,482,350,66,4,0,"2,672","2,672",112,178,240,222,284,441,589,408,159,35,4
4611053500,전라남도 목포시 연동,"4,922","4,922",191,311,458,428,648,883,878,770,314,37,4,"2,476","2,476",95,149,242,255,415,474,418,317,97,12,2,"2,446","2,446",96,162,216,173,233,409,460,453,217,25,2
4611054500,전라남도 목포시 산정동,"9,009","9,009",687,973,"1,049","1,039","1,377","1,511","1,233",773,318,46,3,"4,421","4,421",334,511,550,548,705,720,576,361,107,9,0,"4,588","4,588",353,462,499,491,672,791,657,412,211,37,3
4611055400,전라남도 목포시 연산동,"9,980","9,980","1,424","1,149","1,298","1,790","1,741","1,216",775,400,162,23,2,"4,924","4,924",752,574,656,881,873,592,350,193,50,2,1,"5,056","5,056",672,575,642,909,868,624,425,207,112,21,1
4611055800,전라남도 목포시 원산동,"13,786","13,786","1,102","1,645","1,861","1,562","2,353","2,395","1,573",888,359,41,7,"6,818","6,818",578,831,"1,042",819,"1,176","1,186",724,344,109,8,1,"6,968","6,968",524,814,819,743,"1,177","1,209",849,544,250,33,6
4611056500,전라남도 목포시 대성동,"5,475","5,475",561,501,551,843,853,811,696,436,200,19,4,"2,708","2,708",298,257,266,432,450,403,342,193,63,3,1,"2,767","2,767",263,244,285,411,403,408,354,243,137,16,3
4611059500,전라남도 목포시 목원동,"8,072","8,072",260,466,768,677,"1,053","1,447","1,517","1,295",495,87,7,"4,121","4,121",123,242,427,388,612,796,739,589,181,22,2,"3,951","3,951",137,224,341,289,441,651,778,706,314,65,5
