id,tag,name,file,content_type,review_item_id,review_id
1,누수,gb9jrnca5go17m91qcf,...,video/mp4,114,7
2,누수,u3ptsylpmxjp1wnaz13z,...,video/mp4,114,7
3,누수,cgnlxs3wfteq5nd6i00g,...,video/mp4,114,7
7,수압,cx6mldzu9yt69mut9r88,...,video/mp4,675,38
14,수압,x2m1im5v45m8ha18j7qq,...,video/mp4,891,50
