id,viewer_type,receipt_url,item_type,item_price,item_count,price,count,merchant_uid,imp_uid,exp_date,user_id,created_at,updated_at,free
1,이벤트,NULL,1,NULL,1,NULL,1,NULL,NULL,2021-05-31,104,"2020-05-27 12:08:54","2020-05-27 12:08:54",t
2,이벤트,NULL,1,NULL,1,NULL,1,NULL,NULL,2021-07-31,104,"2020-07-15 13:14:45","2020-07-15 13:14:45",t
