location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,605,604,604,604,604,604,602,602,601,601,601,601
수도권,1111,1111,1111,1110,1110,1110,1104,1104,1104,1103,1104,1103
지방권,447,446,446,446,446,446,445,446,445,445,445,445
6대광역시,673,672,671,671,670,670,673,673,672,672,673,673
5대광역시,649,649,648,648,647,647,649,649,649,649,649,650
9개도,500,500,500,500,500,500,499,499,499,498,498,498
8개도,392,392,392,392,391,391,391,392,391,391,391,391
서울특별시,1355,1355,1354,1354,1354,1354,1348,1346,1346,1351,1351,1351
경기도,1012,1011,1012,1012,1012,1012,1007,1008,1008,1004,1004,1005
인천광역시,810,810,810,809,808,807,811,809,809,809,810,809
부산광역시,424,424,423,423,423,423,425,425,425,426,426,426
대구광역시,734,733,732,732,732,732,733,733,733,733,733,735
광주광역시,688,688,688,687,687,687,685,685,681,681,683,683
대전광역시,962,962,962,962,962,962,964,964,964,964,965,965
울산광역시,737,734,730,728,726,725,725,724,722,722,721,721
세종특별자치시,933,932,932,932,931,931,934,934,934,934,934,934
강원도,509,508,509,510,509,510,508,508,508,508,508,508
충청북도,399,398,398,398,398,398,398,398,397,397,396,394
충청남도,385,384,384,384,384,384,383,383,383,383,383,382
전라북도,427,428,428,428,428,428,424,424,424,424,424,424
전라남도,228,228,228,228,228,229,226,226,226,225,225,225
경상북도,368,368,368,368,368,368,368,369,369,369,369,369
경상남도,379,379,379,378,378,378,379,379,379,379,379,378
제주특별자치도,871,869,869,867,865,862,864,865,864,863,861,860
