location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,99.804,99.79,99.775,99.75,99.741,99.75,99.752,99.747,99.752,99.734,99.728,99.738
수도권,99.913,99.917,99.933,99.96,100.002,100.052,100.095,100.11,100.143,100.15,100.168,100.195
지방권,99.769,99.75,99.725,99.684,99.659,99.656,99.644,99.633,99.63,99.604,99.59,99.595
6대광역시,99.847,99.827,99.811,99.772,99.759,99.769,99.786,99.787,99.812,99.789,99.784,99.794
5대광역시,99.791,99.774,99.753,99.708,99.689,99.687,99.692,99.691,99.703,99.677,99.673,99.683
9개도,99.743,99.73,99.71,99.681,99.666,99.67,99.662,99.653,99.651,99.63,99.621,99.63
8개도,99.759,99.741,99.714,99.674,99.647,99.643,99.627,99.614,99.607,99.58,99.564,99.568
서울특별시,100.193,100.199,100.217,100.262,100.306,100.365,100.412,100.432,100.47,100.475,100.49,100.513
경기도,99.667,99.677,99.693,99.714,99.758,99.797,99.827,99.839,99.857,99.867,99.894,99.926
인천광역시,100.176,100.143,100.155,100.149,100.175,100.251,100.341,100.353,100.453,100.449,100.438,100.449
부산광역시,99.668,99.628,99.581,99.518,99.487,99.47,99.461,99.434,99.447,99.364,99.346,99.318
대구광역시,100.075,100.154,100.16,100.16,100.212,100.226,100.258,100.262,100.262,100.262,100.268,100.317
광주광역시,100.856,100.864,100.879,100.854,100.854,100.874,100.874,100.886,100.886,100.891,100.891,100.874
대전광역시,100.264,100.324,100.402,100.396,100.425,100.477,100.517,100.559,100.635,100.652,100.683,100.738
울산광역시,97.669,97.39,97.236,97.081,96.864,96.789,96.743,96.736,96.717,96.717,96.688,96.709
세종특별자치시,100.43,100.308,100.279,100.29,100.327,100.371,100.371,100.371,100.371,100.406,100.455,100.473
강원도,99.722,99.67,99.68,99.709,99.648,99.709,99.664,99.674,99.664,99.642,99.631,99.665
충청북도,99.748,99.675,99.647,99.604,99.667,99.667,99.682,99.68,99.634,99.585,99.576,99.58
충청남도,99.602,99.621,99.584,99.521,99.474,99.452,99.429,99.389,99.356,99.263,99.226,99.214
전라북도,100.86,100.891,100.932,100.939,100.927,100.928,100.925,100.945,100.979,100.997,101.012,101.034
전라남도,101.01,101.04,101.058,101.06,101.096,101.134,101.162,101.186,101.234,101.257,101.292,101.369
경상북도,99.827,99.825,99.828,99.828,99.824,99.824,99.83,99.836,99.837,99.842,99.837,99.832
경상남도,98.238,98.186,98.059,97.951,97.893,97.881,97.835,97.792,97.79,97.747,97.689,97.658
제주특별자치도,98.256,98.04,97.872,97.542,97.167,96.893,96.716,96.499,96.277,96.092,95.934,95.763
