location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,34779,34771,34818,34782,34766,34761,34468,34489,34487,34695,34692,34679
수도권,82661,82653,82874,82795,82759,82740,81870,81916,81964,82833,82828,82819
지방권,19838,19830,19823,19800,19790,19790,19745,19757,19741,19743,19740,19726
6대광역시,35299,35271,35234,35218,35198,35195,35368,35394,35376,35452,35433,35430
5대광역시,34357,34326,34284,34266,34243,34235,34437,34442,34421,34455,34442,34424
9개도,23322,23317,23358,23337,23328,23332,23240,23261,23263,23285,23285,23276
8개도,16149,16146,16148,16124,16117,16119,16081,16095,16080,16074,16074,16061
서울특별시,134125,134127,134407,134194,134131,134042,133430,133436,133438,135592,135597,135531
경기도,57278,57262,57492,57484,57461,57478,57096,57148,57235,57390,57388,57396
인천광역시,40857,40852,40842,40842,40836,40865,40781,40928,40928,41244,41193,41278
부산광역시,35756,35738,35674,35664,35660,35647,35599,35599,35578,35583,35530,35405
대구광역시,20277,20318,20390,20390,20390,20390,20441,20441,20441,20579,20579,20733
광주광역시,34917,34917,34917,34921,34921,34921,35349,35385,35314,35314,35364,35362
대전광역시,40292,40154,40104,40098,40098,40098,40986,40986,40986,40986,40986,40931
울산광역시,53867,53721,53449,53321,53133,53103,52969,52969,52938,52913,52897,52846
세종특별자치시,19916,19908,19908,19908,19908,19908,19892,19892,19892,19892,19892,19892
강원도,15032,15030,15006,14866,14850,14830,14830,14876,14876,14874,14894,14882
충청북도,17368,17368,17355,17355,17355,17355,17374,17351,17203,17202,17194,16998
충청남도,15125,15134,15134,15114,15124,15130,15131,15119,15119,15110,15102,15102
전라북도,18593,18588,18604,18600,18608,18637,18648,18658,18667,18663,18669,18669
전라남도,10273,10266,10272,10283,10291,10291,10220,10220,10203,10202,10206,10221
경상북도,10327,10327,10330,10330,10330,10330,10341,10399,10399,10399,10399,10422
경상남도,28227,28219,28230,28183,28135,28135,28003,27997,27993,27984,27977,27970
제주특별자치도,11621,11607,11600,11586,11579,11566,11562,11617,11610,11562,11548,11541
