location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,434,434,433,433,433,433,441,442,442,442,442,442
수도권,481,481,481,481,481,481,490,490,490,491,491,491
지방권,315,314,314,314,314,313,318,318,318,318,318,318
6대광역시,334,333,333,333,333,333,340,340,340,340,340,340
5대광역시,316,316,315,315,315,315,320,320,320,320,320,320
9개도,406,406,405,405,405,405,414,413,413,414,414,414
8개도,314,313,313,313,313,312,316,316,316,316,316,315
서울특별시,545,545,545,545,545,545,553,553,553,554,554,554
경기도,453,453,452,452,453,453,463,462,462,463,463,464
인천광역시,358,358,358,357,357,357,366,366,366,367,367,367
부산광역시,298,298,298,297,297,297,303,303,304,303,303,303
대구광역시,390,390,390,390,390,390,398,398,398,398,398,399
광주광역시,313,313,313,313,313,313,313,313,313,313,313,313
대전광역시,270,271,271,271,271,271,275,275,275,275,275,275
울산광역시,335,333,332,331,330,330,332,332,331,331,331,331
세종특별자치시,300,299,299,298,298,298,301,301,301,301,301,301
강원도,295,294,294,294,294,294,293,293,293,293,293,293
충청북도,295,294,294,293,293,293,293,293,293,293,293,293
충청남도,275,275,275,274,274,274,274,274,273,273,273,273
전라북도,225,225,225,225,225,225,223,223,223,223,223,223
전라남도,312,312,312,312,312,312,312,312,312,312,312,312
경상북도,295,294,294,294,294,294,294,294,293,293,293,293
경상남도,255,255,255,255,255,255,255,255,255,254,254,254
제주특별자치도,520,518,516,516,514,513,528,528,527,526,525,524
