location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,698,697,697,697,697,697,709,709,710,710,709,710
수도권,885,885,885,885,885,886,905,905,906,906,904,905
지방권,521,521,520,520,520,520,525,525,525,525,526,526
6대광역시,620,619,619,619,619,619,632,632,632,632,633,633
5대광역시,593,593,593,593,593,593,603,603,603,603,604,604
9개도,626,625,625,625,625,625,638,638,638,638,636,637
8개도,459,458,458,457,457,457,459,459,459,459,460,460
서울특별시,1090,1090,1091,1091,1093,1095,1114,1115,1115,1117,1117,1117
경기도,800,799,799,799,799,799,822,822,822,822,818,819
인천광역시,720,718,718,717,717,717,741,740,741,741,741,742
부산광역시,585,584,584,583,583,583,599,599,599,599,598,598
대구광역시,710,711,711,711,712,712,722,722,722,722,722,722
광주광역시,536,536,536,536,536,536,538,538,538,538,540,541
대전광역시,567,567,567,567,567,567,575,575,576,576,575,578
울산광역시,493,492,492,492,493,493,499,501,503,504,505,507
세종특별자치시,551,551,551,551,551,552,564,567,570,573,574,576
강원도,480,479,477,477,476,476,475,475,475,474,477,476
충청북도,505,503,502,502,502,502,507,507,507,506,506,508
충청남도,497,497,497,498,498,498,497,497,497,497,497,496
전라북도,422,422,421,420,420,420,423,423,424,424,424,425
전라남도,452,452,452,452,452,452,454,454,454,454,454,454
경상북도,450,450,449,449,449,449,450,450,450,450,452,452
경상남도,408,407,407,406,406,406,409,409,410,410,409,410
제주특별자치도,737,735,732,731,729,728,719,719,718,717,717,716
