location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,187382,187354,187492,187862,188388,189158,193470,194104,194649,195010,195267,195958
수도권,255932,256109,256558,257367,258368,259731,265503,266515,267376,268017,268449,269490
지방권,125094,124879,124735,124706,124801,125032,127572,127861,128116,128222,128320,128689
6대광역시,161801,161670,161712,161885,162209,162720,168048,168669,169234,169635,169846,170454
5대광역시,162497,162382,162362,162505,162801,163298,167848,168402,168787,168906,169042,169613
9개도,147687,147559,147621,147891,148314,148856,153432,154046,154528,154782,155030,155731
8개도,100111,99838,99615,99467,99412,99432,100716,100809,100878,100926,100984,101196
서울특별시,354255,354723,355266,356259,357406,359250,364758,365451,365988,366563,366901,367648
경기도,209265,209324,209754,210566,211606,212825,220374,221650,222658,223173,223661,224985
인천광역시,159443,159260,159511,159782,160205,160762,168717,169563,170733,172074,172539,173270
부산광역시,154888,154518,154194,154025,153969,154451,159444,159608,159622,159532,159447,159530
대구광역시,181850,181965,182137,182643,183237,183666,188985,189525,189639,189610,189727,190133
광주광역시,157546,157395,157301,157284,157307,157324,158789,158880,158878,158922,159021,159076
대전광역시,164279,164825,165584,166033,166917,167935,174733,176366,178198,178734,179302,181583
울산광역시,150978,150430,150111,150330,150748,151402,154621,155696,156523,157187,157574,158585
세종특별자치시,145344,144693,144398,144693,145720,147763,161340,162768,167722,170078,170853,172472
강원도,103871,103343,102851,102684,102463,102375,103324,103649,103739,103695,103721,103922
충청북도,97539,97290,97063,96863,96843,96911,99228,99233,99344,99430,99622,100402
충청남도,95056,95082,95118,95204,95484,95754,97039,97277,97468,97592,97685,97900
전라북도,100527,100352,100037,99920,99756,99705,100732,100769,100833,100890,100948,100990
전라남도,78712,78702,78702,78719,78775,78808,79341,79428,79433,79456,79544,79671
경상북도,82502,82301,82192,82082,82026,81940,83253,83284,83294,83297,83363,83469
경상남도,110080,109498,109121,108817,108740,108830,109932,110040,110185,110330,110378,110631
제주특별자치도,184743,184261,183712,183096,182285,181806,181951,181659,181200,180833,180478,180231
