location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,223366,223347,223550,224180,225022,226281,231562,232591,233472,233922,234326,235423
수도권,300535,300836,301487,302780,304293,306453,314117,315733,317063,317776,318426,320032
지방권,150780,150459,150242,150248,150458,150870,153888,154364,154822,155025,155197,155817
6대광역시,189305,189134,189207,189495,189980,190746,197000,197912,198751,199334,199633,200494
5대광역시,186073,185937,185926,186173,186621,187356,192778,193579,194159,194339,194525,195313
9개도,179064,178890,178975,179467,180171,181102,186771,187793,188617,188962,189369,190553
8개도,120827,120363,119974,119765,119745,119818,121119,121283,121455,121588,121724,122159
서울특별시,439082,439901,440772,442509,444455,447659,457988,459219,460070,460497,461054,462242
경기도,239614,239741,240319,241539,242997,244820,254351,256255,257752,258315,259002,260955
인천광역시,201617,201315,201704,202149,202777,203657,212832,214159,215971,218067,218789,219927
부산광역시,191715,191162,190673,190461,190392,191175,197063,197333,197327,197219,197111,197286
대구광역시,211198,211379,211602,212334,213171,213787,220126,220899,221059,220999,221164,221567
광주광역시,170096,169892,169754,169769,169800,169814,170959,171078,171204,171260,171293,171372
대전광역시,176844,177592,178630,179268,180506,181928,190726,192999,195539,196299,197075,200199
울산광역시,152681,152088,151851,152273,153013,153995,158509,160018,161331,162274,162829,164250
세종특별자치시,151518,150771,150428,150801,151976,154548,170266,172021,178104,180995,181932,183917
강원도,114905,114056,113176,112878,112553,112366,113691,113819,113988,113922,113879,114186
충청북도,116883,116487,116134,115798,115738,115865,118622,118807,119045,119229,119566,121202
충청남도,122114,122180,122274,122550,123161,123712,124790,125270,125653,125870,126064,126484
전라북도,118687,118336,117744,117528,117236,117109,118918,118951,119047,119144,119240,119309
전라남도,119656,119611,119602,119625,119722,119780,120417,120601,120671,120832,121004,121223
경상북도,107291,106908,106673,106467,106373,106209,107691,107668,107688,107688,107833,108015
경상남도,127723,126816,126217,125778,125701,125872,126940,127151,127396,127660,127780,128213
제주특별자치도,190477,189800,188864,188095,187589,187142,184140,183791,183371,183146,182815,182643
