location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,638,638,637,637,637,638,646,646,647,647,646,647
수도권,808,807,807,807,808,808,821,821,821,821,820,821
지방권,484,483,483,483,483,483,487,487,487,487,487,487
6대광역시,583,583,583,582,582,582,593,593,593,593,593,594
5대광역시,572,572,572,571,571,572,579,580,580,580,580,581
9개도,566,566,566,566,566,566,575,576,576,575,575,575
8개도,423,422,422,422,422,421,424,424,424,424,424,424
서울특별시,949,949,949,950,951,952,961,961,962,963,963,963
경기도,752,752,752,752,752,752,768,768,768,768,766,767
인천광역시,621,620,620,620,619,619,638,638,638,638,638,638
부산광역시,502,501,501,500,500,500,514,514,514,514,514,514
대구광역시,689,689,688,689,689,689,697,698,698,697,697,698
광주광역시,560,561,560,560,560,560,561,561,560,560,561,562
대전광역시,611,611,611,611,611,611,617,617,618,618,617,619
울산광역시,525,523,522,522,522,522,525,526,527,528,528,529
세종특별자치시,614,614,614,614,614,614,618,620,622,624,626,627
강원도,491,490,489,489,489,489,488,488,487,487,488,488
충청북도,449,448,447,447,447,447,452,452,452,451,451,451
충청남도,432,432,432,432,432,432,433,433,433,433,433,432
전라북도,413,412,412,412,411,411,412,412,412,412,412,412
전라남도,333,333,333,333,333,333,334,334,334,333,333,333
경상북도,400,399,399,399,399,399,401,401,401,401,402,402
경상남도,380,379,379,378,378,378,381,381,382,382,381,381
제주특별자치도,739,737,736,734,733,731,731,732,731,730,729,728
