location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,94.795,94.666,94.645,94.79,95.011,95.341,95.766,96.092,96.389,96.567,96.708,97.11
수도권,95.014,95.026,95.175,95.532,95.945,96.478,97.06,97.527,97.936,98.209,98.425,98.949
지방권,94.587,94.326,94.147,94.094,94.138,94.281,94.563,94.758,94.953,95.045,95.118,95.407
6대광역시,96.645,96.541,96.54,96.668,96.874,97.198,97.63,98.004,98.344,98.615,98.755,99.167
5대광역시,96.611,96.518,96.479,96.592,96.786,97.096,97.535,97.887,98.135,98.236,98.319,98.688
9개도,92.819,92.605,92.524,92.619,92.792,93.041,93.338,93.647,93.912,94.042,94.197,94.625
8개도,92.77,92.378,92.084,91.889,91.798,91.771,91.832,91.878,91.942,91.987,92.038,92.241
서울특별시,97.854,97.996,98.16,98.511,98.913,99.49,100.203,100.447,100.611,100.721,100.784,101.023
경기도,92.87,92.843,92.984,93.383,93.838,94.379,94.927,95.518,95.998,96.219,96.487,97.157
인천광역시,96.777,96.629,96.775,96.96,97.214,97.588,97.995,98.449,99.142,100.055,100.417,100.994
부산광역시,95.248,94.969,94.695,94.562,94.508,94.755,94.939,95.034,95.023,94.967,94.932,94.951
대구광역시,100.442,100.552,100.676,101.113,101.534,101.826,102.358,102.719,102.812,102.818,102.876,103.066
광주광역시,100.842,100.739,100.685,100.707,100.735,100.764,100.812,100.86,100.879,100.872,100.861,100.874
대전광역시,100.721,101.092,101.578,101.865,102.392,103.041,104.166,105.15,106.196,106.659,107.048,108.748
울산광역시,83.333,82.909,82.67,82.783,83.077,83.555,84.246,84.954,85.591,86.027,86.262,86.949
세종특별자치시,100.176,99.709,99.569,99.796,100.389,101.853,105.471,106.59,110.041,111.58,112.188,113.376
강원도,91.678,90.899,90.322,90.078,89.819,89.727,89.707,89.73,89.781,89.782,89.834,89.942
충청북도,91.169,90.792,90.476,90.197,90.055,90.064,90.142,90.208,90.332,90.372,90.534,91.408
충청남도,93.876,93.809,93.833,93.935,94.153,94.346,94.631,94.805,94.926,94.98,95.069,95.278
전라북도,96.946,96.653,96.207,96.042,95.795,95.665,95.619,95.548,95.544,95.554,95.555,95.55
전라남도,101.926,101.91,101.918,101.951,102.011,102.062,102.159,102.272,102.297,102.392,102.498,102.65
경상북도,91.641,91.307,91.115,90.862,90.723,90.493,90.424,90.339,90.3,90.227,90.21,90.188
경상남도,88.64,87.995,87.563,87.231,87.132,87.169,87.252,87.372,87.516,87.669,87.725,87.949
제주특별자치도,94.837,94.445,93.973,93.556,93.179,92.887,92.889,92.613,92.395,92.247,92.034,91.914
