location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,46674,46627,46593,46565,46517,46540,46310,46317,46309,46301,46276,46243
수도권,67121,67096,67082,67081,67003,67045,66328,66335,66337,66302,66271,66245
지방권,27441,27374,27321,27267,27247,27254,27475,27482,27464,27482,27463,27423
6대광역시,31952,31887,31851,31826,31829,31862,32543,32575,32558,32569,32505,32428
5대광역시,34053,33975,33927,33895,33910,33952,34685,34722,34701,34709,34618,34542
9개도,33072,33017,32967,32918,32893,32897,32917,32924,32911,32944,32961,32939
8개도,22221,22161,22102,22028,21978,21955,21905,21887,21871,21897,21937,21927
서울특별시,121273,121283,121303,121340,121120,121191,121210,121171,121196,121008,120910,120916
경기도,44354,44305,44264,44240,44240,44274,44253,44285,44275,44317,44308,44275
인천광역시,23945,23934,23945,23945,23903,23900,24511,24524,24518,24540,24577,24498
부산광역시,45405,45330,45233,45160,45156,45223,46366,46382,46385,46357,46266,46268
대구광역시,17988,17990,17990,17965,17965,17960,18445,18455,18455,18455,18514,18508
광주광역시,38627,38467,38436,38375,38370,38365,38728,38724,38724,38742,38218,38018
대전광역시,33207,33207,33207,33207,33207,33207,34306,34306,34306,34306,34352,33972
울산광역시,28703,28469,28378,28454,28600,28780,28492,28742,28558,28684,28719,28813
세종특별자치시,14410,14410,14410,14410,14410,14410,15167,15167,15167,15167,15167,15167
강원도,15060,15060,15044,15021,15014,15007,15069,15010,15053,15053,15069,15074
충청북도,15903,15924,15909,15843,15732,15737,15630,15626,15600,15729,15701,15683
충청남도,15264,15125,14989,14893,14799,14705,14706,14694,14678,14657,14647,14792
전라북도,34935,34910,34899,34887,34845,34836,34884,34872,34866,34826,34808,34784
전라남도,20860,20860,20855,20855,20846,20846,20859,20883,20898,20923,20930,20917
경상북도,12340,12340,12340,12334,12310,12310,12477,12477,12458,12467,12524,12453
경상남도,33674,33518,33384,33192,33141,33109,33077,33031,32986,33047,33193,33132
제주특별자치도,8730,8730,8730,8730,8730,8730,8544,8544,8544,8544,8544,8544
