location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,112614,112555,112556,112597,112697,112786,116374,116414,116472,116474,116525,116637
수도권,131747,131717,131761,131862,132042,132189,136388,136459,136551,136584,136676,136836
지방권,64789,64657,64549,64442,64341,64284,65648,65611,65580,65503,65454,65442
6대광역시,68831,68794,68783,68733,68758,68758,71481,71519,71583,71594,71614,71667
5대광역시,68557,68482,68422,68338,68308,68280,69630,69635,69655,69610,69594,69619
9개도,90167,90023,89953,89944,90001,90006,94180,94143,94132,94089,94156,94199
8개도,61392,61208,61057,60928,60760,60676,62111,62035,61957,61850,61771,61724
서울특별시,174988,175026,175131,175308,175520,175786,178911,179055,179202,179258,179311,179560
경기도,104920,104796,104768,104820,104993,105043,110311,110295,110317,110306,110447,110534
인천광역시,69201,69216,69270,69267,69366,69404,73985,74068,74192,74278,74347,74437
부산광역시,67319,67251,67152,67020,66979,66931,67858,67837,67844,67782,67737,67726
대구광역시,82507,82517,82541,82599,82646,82667,85707,85735,85748,85759,85779,85929
광주광역시,63470,63519,63738,63710,63692,63683,63920,63893,63893,63888,63879,63871
대전광역시,52068,52066,52063,52085,52112,52138,53560,53614,53664,53590,53649,53715
울산광역시,73048,72610,72393,72144,71951,71865,73158,73213,73296,73265,73244,73203
세종특별자치시,44510,44082,43832,43760,43709,43724,44597,44577,44531,44520,44474,44474
강원도,47673,47564,47369,47204,47066,46975,46832,46799,46704,46651,46628,46632
충청북도,54033,53941,53863,53800,53820,53769,53933,53844,53814,53633,53648,53590
충청남도,46477,46350,46273,46199,46105,46020,45945,45846,45846,45759,45711,45609
전라북도,38022,37942,37861,37842,37828,37807,37473,37459,37445,37422,37403,37370
전라남도,51329,51352,51356,51372,51438,51465,51531,51544,51559,51559,51554,51562
경상북도,51390,51301,51238,51170,51115,51103,51080,51052,51032,51026,51023,51073
경상남도,58806,58567,58468,58295,58214,58122,58078,58018,57995,57972,57862,57813
제주특별자치도,123394,122839,122296,121936,121111,120836,126607,126396,126016,125597,125279,125117
