location,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
전국,141695,141663,141722,141679,141719,141714,140910,140917,140927,141438,141452,141460
수도권,303221,303207,303518,303516,303861,303882,301392,301300,301488,303705,303780,303876
지방권,91292,91255,91235,91178,91124,91110,91062,91100,91054,91035,91030,91011
6대광역시,143582,143520,143496,143429,143397,143412,144300,144318,144287,144356,144408,144505
5대광역시,138312,138250,138223,138145,138110,138108,138904,138917,138854,138860,138920,139027
9개도,107075,107043,107109,107073,107125,107119,106883,106937,106937,107173,107170,107141
8개도,79065,79036,79018,78966,78903,78886,78847,78891,78850,78824,78803,78752
서울특별시,439441,439486,439674,439612,439683,439635,437537,437099,437287,441219,441303,441459
경기도,239676,239633,240090,240127,240726,240776,239477,239578,239774,241250,241332,241404
인천광역시,174692,174632,174626,174626,174608,174718,175645,175695,175850,176289,176292,176326
부산광역시,117216,117165,117194,117124,117100,117081,117716,117693,117796,117739,117692,117553
대구광역시,128898,128892,128969,128969,129031,129046,129277,129282,129282,129359,129359,129808
광주광역시,126925,126932,126943,126804,126804,126836,128007,128014,127479,127482,127957,127928
대전광역시,182539,182627,182768,182764,182824,182902,183980,184108,184318,184359,184449,184750
울산광역시,186205,185724,185048,184758,184323,184197,184138,184141,183699,183697,183669,183707
세종특별자치시,133128,132863,132771,132775,133315,133343,133695,133695,133695,133711,133791,133807
강원도,90734,90637,90667,90689,90609,90655,90338,90914,90908,90898,91014,91094
충청북도,77769,77710,77640,77617,77650,77648,77758,77516,77434,77403,77388,76825
충청남도,70359,70372,70369,70247,70174,70152,70136,70110,70067,70093,70060,70062
전라북도,85070,85133,85174,85185,85183,85233,84472,84519,84549,84559,84571,84582
전라남도,45304,45326,45335,45351,45373,45387,44915,44923,44866,44859,44881,44924
경상북도,62173,62166,62194,62194,62192,62192,62240,62376,62381,62384,62368,62378
경상남도,95475,95396,95323,95233,95157,95135,95086,95036,95023,94972,94889,94857
제주특별자치도,217294,216969,216632,215984,214970,214374,214281,213966,213434,213000,212607,212248
