시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명
강원도 강릉시 교동,9**,12m미만,16.52,전세,202006,7,"         4,500",             0,2016,원대로14번길
강원도 강릉시 교동,9**,12m미만,20,전세,202006,20,           400,             0,1997,화부산로8번길
강원도 강릉시 교동,1***,12m미만,24,전세,202006,26,"         3,500",             0,2004,율곡초교길
강원도 강릉시 교동,9**,8m미만,25,월세,202006,22,           200,            35,2015,원대로26번길
강원도 강릉시 교동,1***,12m미만,29.8,전세,202006,30,"         3,700",             0,2003,원대로179번길
강원도 강릉시 교동,1***,8m미만,30,월세,202006,27,           300,            40,,하슬라로10번길
강원도 강릉시 교동,1***,25m미만,30,전세,202006,21,"         5,000",             0,2012,가작로
강원도 강릉시 교동,9**,12m미만,33.76,전세,202006,28,"         6,000",             0,2016,원대로8번길
강원도 강릉시 교동,9**,25m이상,36,월세,202006,17,           500,            45,2018,강릉대로
강원도 강릉시 교동,1***,8m미만,55,월세,202006,24,"         1,000",            50,,하슬라로10번길
강원도 강릉시 교동,1**,8m미만,57.1,전세,202006,29,"         5,000",             0,1992,강릉대로204번길
강원도 강릉시 교동,1***,12m미만,61.03,월세,202006,9,"         2,000",            35,2003,하슬라로206번길
강원도 강릉시 교동,9**,8m미만,65.34,월세,202006,12,           500,            40,1991,원대로26번길
강원도 강릉시 교동,9**,8m미만,72.29,전세,202006,16,"        10,000",             0,1990,강릉대로121번길
강원도 강릉시 교동,1***,12m미만,92.74,전세,202006,29,"        12,000",             0,2001,율곡초교길11번길
강원도 강릉시 교동,1***,12m미만,113.62,전세,202006,2,"        18,000",             0,2007,원대로143번길
강원도 강릉시 교동,9**,12m미만,161.05,전세,202006,30,"        17,000",             0,1983,강릉대로121번길
강원도 강릉시 구정면 여찬리,5**,8m미만,119.79,전세,202006,15,"         9,000",             0,1995,진재골길
강원도 강릉시 난곡동,3**,8m미만,56.2,월세,202006,25,"         1,000",            70,2019,운정길11번길
