시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명
강원도 강릉시 강동면 안인리,3**,8m미만,167.62,월세,202005,9,"         2,000",            70,2011,원장봉길
강원도 강릉시 강동면 임곡리,2**,8m미만,45.7,월세,202005,31,           100,            10,,임곡로
강원도 강릉시 교동,1***,12m미만,22,전세,202005,11,"         7,000",             0,2014,원대로143번길
강원도 강릉시 교동,9**,12m미만,24,전세,202005,30,"         4,000",             0,2016,원대로14번길
강원도 강릉시 교동,1**,12m미만,25,전세,202005,6,"         3,000",             0,1969,강릉대로211번길
강원도 강릉시 교동,1***,12m미만,27,전세,202005,9,"         4,000",             0,2001,율곡초교길
강원도 강릉시 교동,9**,12m미만,33,월세,202005,8,           300,            33,2016,원대로8번길
강원도 강릉시 교동,1***,12m미만,33,전세,202005,16,"         7,000",             0,2011,하슬라로206번길
강원도 강릉시 교동,1***,25m미만,35,전세,202005,9,"         6,500",             0,2014,원대로143번길
강원도 강릉시 교동,2**,8m미만,38.5,월세,202005,12,           300,            32,1995,율곡로2968번안길
강원도 강릉시 교동,9**,25m이상,43,전세,202005,12,"        10,000",             0,2018,강릉대로
강원도 강릉시 교동,8**,25m미만,45,월세,202005,12,"         2,000",            20,1981,화부산로
강원도 강릉시 교동,9**,8m미만,50,월세,202005,2,           500,            55,2015,
강원도 강릉시 교동,2**,25m이상,53.58,전세,202005,2,"         8,200",             0,1979,화부산로
강원도 강릉시 교동,2**,25m이상,53.58,전세,202005,2,"        10,000",             0,1979,화부산로
강원도 강릉시 교동,1***,12m미만,63,월세,202005,2,"         2,000",            60,2002,율곡초교길47번길
강원도 강릉시 교동,8**,8m미만,69.08,전세,202005,22,"        18,000",             0,2020,화부산로8번길
강원도 강릉시 교동,1***,12m미만,72.7,전세,202005,21,"        13,000",             0,2002,경포로
강원도 강릉시 교동,1***,8m미만,79.8,월세,202005,26,           500,            52,1991,원대로17번길
강원도 강릉시 교동,9**,8m미만,84,월세,202005,26,           500,            70,2014,강릉대로121번길
강원도 강릉시 교동,8**,12m미만,94.02,월세,202005,8,           500,            50,1995,화부산로8번길
강원도 강릉시 구정면 제비리,6*,8m미만,50,월세,202005,1,           300,            25,2004,궁골길
강원도 강릉시 구정면 학산리,6*,8m미만,98.52,전세,202005,19,"        12,000",             0,1996,미륵굼길
강원도 강릉시 난곡동,3**,8m미만,51.61,전세,202005,29,"        13,000",             0,2019,운정길11번길
강원도 강릉시 난곡동,3**,8m미만,51.61,전세,202005,29,"        13,000",             0,2019,운정길11번길
강원도 강릉시 내곡동,4**,8m미만,30,전세,202005,4,"         4,000",             0,2008,강변로172번안길
강원도 강릉시 내곡동,4**,8m미만,45,월세,202005,23,"         2,000",            45,2016,강변로172번안길
강원도 강릉시 내곡동,4**,8m미만,112.2,전세,202005,12,"        13,000",             0,2008,강변로172번안길
강원도 강릉시 노암동,7**,8m미만,33,월세,202005,20,           100,            17,1978,안땔길
강원도 강릉시 노암동,7**,8m미만,45,월세,202005,12,           500,            25,1995,단오장길
강원도 강릉시 노암동,2**,-,56.88,월세,202005,12,            50,            15,1971,
강원도 강릉시 노암동,6**,8m미만,58.68,전세,202005,27,"         3,000",             0,1989,남산길
강원도 강릉시 노암동,3**,12m미만,96.71,월세,202005,5,"         1,000",            40,1997,노암등길
강원도 강릉시 사천면 미노리,1**,12m미만,76,전세,202005,4,"         5,000",             0,2001,본동길
강원도 강릉시 성산면 보광리,8**,8m미만,33,전세,202005,4,"         2,000",             0,2018,삼왕길
강원도 강릉시 연곡면 방내리,1**,8m미만,61.46,월세,202005,27,           500,            35,2018,성안길
강원도 강릉시 연곡면 삼산리,6**,8m미만,127.34,전세,202005,19,"        14,000",             0,2018,진고개로
강원도 강릉시 옥천동,2**,12m미만,30,월세,202005,8,"         1,000",            40,1991,옥천로61번길
강원도 강릉시 옥천동,1**,12m미만,40,월세,202005,10,           300,            53,2016,옥가로19번길
강원도 강릉시 유천동,7**,12m미만,30,월세,202005,25,           300,            42,2016,선수촌로128번길
강원도 강릉시 유천동,7**,12m미만,49.5,월세,202005,15,           500,            50,2016,선수촌로
강원도 강릉시 유천동,7**,12m미만,76.03,월세,202005,11,"         4,000",            70,2016,선수촌로
강원도 강릉시 임당동,1*,12m미만,25,전세,202005,7,"         5,000",             0,2013,강릉대로224번안길
강원도 강릉시 임당동,1**,8m미만,33,월세,202005,8,           300,            40,2013,강릉대로202번길
강원도 강릉시 주문진읍 교항리,1*,-,33.3,전세,202005,2,"         3,600",             0,2008,
강원도 강릉시 주문진읍 교항리,8*,8m미만,99.17,월세,202005,27,           500,            27,1967,웃사다리2길
강원도 강릉시 주문진읍 삼교리,3**,8m미만,66.11,전세,202005,10,"         5,000",             0,,신리천로
강원도 강릉시 주문진읍 주문리,6**,8m미만,66.11,전세,202005,2,"         3,000",             0,1992,오리나루4길
강원도 강릉시 주문진읍 주문리,1*,12m미만,95.65,전세,202005,23,"        10,000",             0,2004,오리나루5길
강원도 강릉시 죽헌동,2**,8m미만,125,전세,202005,14,"        20,000",             0,2018,율곡로3171번길
강원도 강릉시 지변동,2**,8m미만,27,전세,202005,6,"         2,000",             0,,지변길24번길
강원도 강릉시 지변동,2**,8m미만,33.06,전세,202005,28,"         5,000",             0,2010,지변길18번길
강원도 강릉시 지변동,3**,-,59.4,전세,202005,26,"        10,000",             0,2020,
강원도 강릉시 지변동,3**,8m미만,60,전세,202005,14,"        10,000",             0,2020,지변길
강원도 강릉시 포남동,1***,12m미만,22.3,월세,202005,31,           300,            30,1993,강릉대로359번길
강원도 강릉시 포남동,8**,8m미만,25,월세,202005,4,"         1,000",            20,1990,용지각길8번길
강원도 강릉시 포남동,1***,25m미만,26.97,전세,202005,10,"         3,200",             0,1993,남구길
강원도 강릉시 포남동,1***,8m미만,27,월세,202005,16,           300,            40,2013,성덕포남로200번길
강원도 강릉시 포남동,1***,12m미만,30.5,월세,202005,27,           300,            42,2015,남구길30번길
강원도 강릉시 포남동,1***,12m미만,33.2,월세,202005,12,           300,            40,2015,성덕포남로182번길
강원도 강릉시 포남동,9**,-,46,전세,202005,9,"         7,000",             0,,
강원도 강릉시 포남동,9**,8m미만,49,전세,202005,19,"         3,500",             0,1994,용지로96번안길
강원도 강릉시 포남동,1***,25m미만,60,월세,202005,21,           300,            28,1994,연당길
강원도 강릉시 포남동,1***,12m미만,63.84,월세,202005,1,           600,            35,1985,남구길24번길
강원도 강릉시 포남동,1***,-,80.5,전세,202005,5,"        12,000",             0,2017,
강원도 강릉시 포남동,1***,12m미만,159.09,전세,202005,12,"        10,000",             0,1982,경강로2223번길
강원도 강릉시 홍제동,2**,8m미만,29,전세,202005,1,"         3,000",             0,2004,명주로59번길
강원도 강릉시 홍제동,1***,12m미만,49,전세,202005,15,"        12,000",             0,2016,선수촌로63번길
강원도 강릉시 홍제동,1**,8m미만,83.04,월세,202005,8,"         1,500",            45,1985,홍제로
강원도 강릉시 홍제동,1***,12m미만,136.86,월세,202005,13,"         2,000",            80,2016,선수촌로63번길
강원도 고성군 거진읍 대대리,3**,25m미만,159,전세,202005,25,"         4,500",             0,1955,진부령로
강원도 고성군 죽왕면 가진리,1**,8m미만,82.19,월세,202005,7,"         5,000",            10,1994,가진해변길
강원도 고성군 죽왕면 삼포리,6**,8m미만,76.8,월세,202005,21,"         2,000",            25,1993,삼포1길
강원도 고성군 죽왕면 송암리,3**,-,43,월세,202005,29,             0,            10,1994,
강원도 고성군 죽왕면 향목리,7*,8m미만,58.8,전세,202005,22,"         1,000",             0,1974,향목길
강원도 고성군 토성면 아야진리,6*,8m미만,46.6,전세,202005,15,"         3,500",             0,1994,아야진남길
강원도 고성군 토성면 용촌리,2**,8m미만,59.81,전세,202005,20,"         4,500",             0,2019,용촌2길
강원도 고성군 토성면 천진리,1**,25m미만,180,월세,202005,15,"         1,000",            65,2004,토성로
강원도 동해시 부곡동,1*,8m미만,61,전세,202005,1,"         2,500",             0,1990,부곡5길
강원도 동해시 천곡동,9**,12m미만,60,월세,202005,19,"         1,000",            25,2020,감추5길
강원도 동해시 평릉동,4**,12m미만,143.08,전세,202005,9,"         5,000",             0,2018,평원6길
강원도 삼척시 남양동,4*,8m미만,56.17,월세,202005,29,"         1,000",            30,,중앙시장1길
강원도 삼척시 남양동,1**,8m미만,81,월세,202005,5,"         3,000",            70,2016,중앙로4길
강원도 삼척시 도계읍 마교리,2**,8m미만,43,전세,202005,10,"         1,300",             0,1985,도계우회로
강원도 속초시 교동,6**,25m미만,22,월세,202005,4,           300,            40,2019,동해대로
강원도 속초시 교동,9**,8m미만,24,월세,202005,20,           400,            20,1997,먹거리6길
강원도 속초시 교동,9**,8m미만,30,월세,202005,21,           400,            37,2013,밤골길
강원도 속초시 교동,9**,-,30,전세,202005,12,"         5,000",             0,2018,
강원도 속초시 교동,6**,8m미만,33,월세,202005,6,           300,            33,2005,미시령로3359번길
강원도 속초시 교동,6**,8m미만,33,월세,202005,16,           300,            33,2005,미시령로3359번길
강원도 속초시 교동,6**,12m미만,33,전세,202005,28,"         5,000",             0,2016,교동로1길
강원도 속초시 교동,9**,8m미만,40,전세,202005,30,"         4,000",             0,1999,밤골3길
강원도 속초시 교동,6**,12m미만,42.56,월세,202005,8,           500,            40,2016,교동로1길
강원도 속초시 교동,9**,8m미만,48,전세,202005,30,"         6,000",             0,1997,밤골길
강원도 속초시 교동,9**,8m미만,48.43,월세,202005,12,           400,            44,2017,밤골길
강원도 속초시 교동,8**,8m미만,50,전세,202005,22,"         8,000",             0,2018,청대로351번길
강원도 속초시 교동,8**,8m미만,50,전세,202005,27,"         7,000",             0,2018,청대로351번길
강원도 속초시 교동,9**,8m미만,60,전세,202005,8,"         7,500",             0,2018,밤골1길
강원도 속초시 교동,7**,8m미만,71.68,전세,202005,13,"         3,500",             0,1989,만리공원1길
강원도 속초시 교동,9**,8m미만,100,월세,202005,20,"         1,000",            40,1997,먹거리6길
강원도 속초시 교동,7**,8m미만,128.59,월세,202005,15,"         1,000",            50,1990,만리공원길
강원도 속초시 금호동,6**,8m미만,20.26,전세,202005,1,"         4,000",             0,2019,번영로67번길
강원도 속초시 금호동,6**,8m미만,23.94,전세,202005,26,"         6,000",             0,2019,번영로67번길
강원도 속초시 금호동,6**,8m미만,26.52,전세,202005,26,"         6,000",             0,2019,번영로67번길
강원도 속초시 금호동,4**,8m미만,62.7,전세,202005,7,"         1,400",             0,1983,수복로177번길
강원도 속초시 노학동,7**,8m미만,77.18,전세,202005,11,"         6,000",             0,1986,도평3길
강원도 속초시 노학동,1***,8m미만,99.67,전세,202005,2,"        25,000",             0,2018,바람꽃마을1길
강원도 속초시 노학동,1***,8m미만,99.67,전세,202005,2,"        25,000",             0,2018,바람꽃마을1길
강원도 속초시 동명동,2**,8m미만,20,월세,202005,19,            50,            50,2015,수복로259번길
강원도 속초시 동명동,2**,8m미만,21.42,전세,202005,25,"         4,200",             0,2016,
강원도 속초시 동명동,2**,8m미만,59,전세,202005,11,"         7,000",             0,2016,
강원도 속초시 동명동,2**,8m미만,59.93,전세,202005,8,"         6,000",             0,2016,
강원도 속초시 동명동,2**,8m미만,62,전세,202005,8,"         8,000",             0,2015,수복로259번길
강원도 속초시 영랑동,1**,8m미만,29.28,전세,202005,9,"         6,500",             0,2019,번영로200번길
강원도 속초시 영랑동,3**,8m미만,33,월세,202005,21,           500,            50,2018,영랑로6길
강원도 속초시 영랑동,3**,8m미만,90,월세,202005,29,"         4,000",            25,1994,영랑로7길
강원도 속초시 영랑동,1**,12m미만,94.95,전세,202005,1,"         7,000",             0,,영랑로6길
강원도 속초시 장사동,5**,8m미만,66,월세,202005,30,"         1,000",            35,2004,중앙로419번길
강원도 속초시 장사동,6**,8m미만,66.12,전세,202005,18,"         2,300",             0,1984,중앙로419번길
강원도 속초시 조양동,1***,12m미만,21,전세,202005,18,"         4,000",             0,2017,선사로4길
강원도 속초시 조양동,1***,12m미만,21,전세,202005,25,"         5,000",             0,2017,선사로4길
강원도 속초시 조양동,1***,8m미만,26.77,전세,202005,14,"         3,500",             0,2013,선사로2길
강원도 속초시 조양동,1***,8m미만,28,월세,202005,22,           300,            40,2018,선사로1길
강원도 속초시 조양동,1***,8m미만,33,전세,202005,9,"         6,000",             0,2018,선사로1길
강원도 속초시 조양동,6**,8m미만,33,전세,202005,19,"         7,000",             0,2017,청대로232번길
강원도 속초시 조양동,1***,8m미만,35,월세,202005,5,           500,            40,2003,선사로1길
