시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명
강원도 강릉시 강동면 안인리,5*,8m미만,79.3,월세,202007,5,           300,            40,,
강원도 강릉시 교동,2**,12m미만,27,월세,202007,24,           300,            40,2016,화부산로141번길
강원도 강릉시 교동,1***,-,29.7,전세,202007,10,"         5,000",             0,2004,
강원도 강릉시 교동,1***,12m미만,32,월세,202007,3,           200,            35,2007,원대로143번길
강원도 강릉시 교동,1***,12m미만,33,월세,202007,7,           300,            35,2009,원대로179번길
강원도 강릉시 교동,1***,12m미만,33,전세,202007,17,"         4,500",             0,2006,율곡초교길47번길
강원도 강릉시 교동,9**,25m이상,36.91,전세,202007,5,"         6,000",             0,2018,강릉대로
강원도 강릉시 교동,1***,12m미만,42.94,전세,202007,27,"         5,000",             0,2010,하슬라로206번길
강원도 강릉시 교동,1***,-,56.95,전세,202007,31,"         7,500",             0,2015,
강원도 강릉시 교동,1***,-,56.95,전세,202007,31,"         7,500",             0,2015,
강원도 강릉시 교동,1**,8m미만,91.26,월세,202007,4,"         2,000",            55,2005,샘물터길
강원도 강릉시 난곡동,3**,8m미만,56,전세,202007,20,"        13,000",             0,2019,운정길11번길
강원도 강릉시 난곡동,3**,8m미만,56,전세,202007,29,"        13,000",             0,2019,운정길11번길
강원도 강릉시 난곡동,3**,8m미만,60,전세,202007,13,"        13,000",             0,2019,운정길11번길
강원도 강릉시 난곡동,3**,8m미만,60,전세,202007,14,"        13,000",             0,2019,운정길11번길
강원도 강릉시 내곡동,4**,12m미만,27.93,전세,202007,5,"         3,000",             0,2007,관대길
강원도 강릉시 내곡동,4**,8m미만,33,전세,202007,2,"         4,000",             0,2008,강변로172번안길
강원도 강릉시 내곡동,1**,12m미만,49.68,월세,202007,9,           300,            35,1985,남산초교길11번길
강원도 강릉시 내곡동,5**,8m미만,66,전세,202007,28,"        11,000",             0,2018,관솔길
강원도 강릉시 노암동,3**,8m미만,39.8,전세,202007,1,"         5,000",             0,,강변로288번길
강원도 강릉시 노암동,3**,8m미만,59.59,전세,202007,1,"         4,000",             0,1980,노암등길50번길
강원도 강릉시 노암동,1**,8m미만,75.57,전세,202007,8,"         4,000",             0,,노가니길
강원도 강릉시 노암동,3**,12m미만,121.56,월세,202007,6,"         1,000",            70,2020,시영길
강원도 강릉시 명주동,*,8m미만,26,전세,202007,27,"         2,000",             0,1971,경강로2024번길
강원도 강릉시 명주동,*,8m미만,33,전세,202007,30,"         2,000",             0,1971,경강로2024번길
강원도 강릉시 사천면 방동리,4**,8m미만,29.75,월세,202007,18,           200,            40,,방동길
강원도 강릉시 성남동,4*,8m미만,40.99,전세,202007,29,"         7,000",             0,1969,금성로11번길
강원도 강릉시 성남동,4*,8m미만,40.99,전세,202007,29,"         7,000",             0,1969,금성로11번길
강원도 강릉시 성남동,3*,8m미만,82.2,전세,202007,3,"         8,100",             0,2003,금성로
강원도 강릉시 송정동,2**,12m미만,33,전세,202007,23,"         3,000",             0,2001,송정길
강원도 강릉시 송정동,4*,8m미만,58,월세,202007,21,"         1,000",            50,2018,팔송길35번길
강원도 강릉시 송정동,1**,25m이상,63.97,전세,202007,14,"        17,000",             0,,경강로
강원도 강릉시 옥천동,2**,8m미만,50,월세,202007,24,           500,            35,1982,수문길33번길
강원도 강릉시 옥천동,9*,8m미만,60,월세,202007,31,           500,            35,2008,옥천로23번길
강원도 강릉시 옥천동,1**,8m미만,63.97,전세,202007,20,"         6,000",             0,,토성로191번길
강원도 강릉시 옥천동,2**,8m미만,105.6,월세,202007,13,"         1,000",            30,1978,옥천로61번길
강원도 강릉시 옥천동,5*,8m미만,106.45,전세,202007,16,"         1,500",             0,1938,수문길
강원도 강릉시 유천동,7**,12m미만,49.5,월세,202007,8,           500,            50,2016,선수촌로
강원도 강릉시 임당동,1**,12m미만,26,전세,202007,8,"         5,500",             0,2016,강릉대로194번길
강원도 강릉시 임당동,1**,25m미만,38,전세,202007,23,"         3,500",             0,2003,토성로
강원도 강릉시 저동,3**,8m미만,95.94,전세,202007,3,"         4,000",             0,2000,저동등길
강원도 강릉시 주문진읍 교항리,7*,12m미만,27,전세,202007,8,"         2,000",             0,2007,신리제방2길
강원도 강릉시 주문진읍 주문리,7**,8m미만,56.29,전세,202007,31,"         5,000",             0,1998,소돌길
강원도 강릉시 지변동,1*,8m미만,33.06,월세,202007,15,            50,            33,1997,경포로15번길
강원도 강릉시 지변동,4*,8m미만,42.98,전세,202007,15,"         4,000",             0,2015,죽헌길44번길
강원도 강릉시 지변동,1**,-,53.98,전세,202007,22,"        10,000",             0,,
강원도 강릉시 지변동,3**,8m미만,53.98,전세,202007,31,"        10,000",             0,2020,지변길
강원도 강릉시 지변동,3**,8m미만,59.71,전세,202007,27,"        10,000",             0,2020,지변길
강원도 강릉시 지변동,3**,8m미만,66,전세,202007,31,"        10,000",             0,2020,지변길
강원도 강릉시 지변동,3**,8m미만,66,전세,202007,31,"        10,000",             0,2020,지변길
강원도 강릉시 포남동,1***,-,30.41,전세,202007,13,"         6,500",             0,2018,
강원도 강릉시 포남동,1***,-,30.41,전세,202007,25,"         6,500",             0,2018,
강원도 강릉시 포남동,3**,8m미만,33,월세,202007,1,           600,            40,2018,난설헌로78번안길
강원도 강릉시 포남동,1***,25m이상,33,월세,202007,17,           300,            20,1990,강릉대로
강원도 강릉시 포남동,1***,25m미만,40,월세,202007,26,           100,            30,1995,하평3길
강원도 강릉시 포남동,1***,12m미만,46.87,전세,202007,23,"         3,000",             0,1994,하평6길
강원도 강릉시 포남동,1***,8m미만,49.59,월세,202007,21,           500,            35,1987,경강로2245번안길
강원도 강릉시 포남동,1***,12m미만,56.2,월세,202007,4,           300,            35,1997,하평4길
강원도 강릉시 포남동,1***,12m미만,87.14,전세,202007,22,"         5,000",             0,1995,하평4길
강원도 강릉시 홍제동,9**,25m미만,36,월세,202007,4,           300,            40,2017,강릉대로98번길
강원도 강릉시 홍제동,1**,25m미만,66.11,월세,202007,7,           500,            25,1996,홍제로
강원도 강릉시 홍제동,8*,-,85,월세,202007,2,"         5,000",            15,,홍제안길
강원도 고성군 토성면 아야진리,7*,8m미만,77.1,월세,202007,25,"         2,000",            15,1993,아야진남길
강원도 동해시 귀운동,7*,8m미만,99,월세,202007,12,"         2,000",            45,2016,전천로
강원도 동해시 발한동,2**,8m미만,47.22,월세,202007,10,           200,            20,1985,지리1길
강원도 동해시 발한동,1**,8m미만,66,월세,202007,20,           500,            30,1993,향로1길
강원도 동해시 천곡동,1***,12m미만,12.6,월세,202007,5,           300,            30,2017,동굴2길
강원도 동해시 천곡동,1***,12m미만,24,월세,202007,29,"         1,000",            25,2012,동굴1길
강원도 동해시 천곡동,9**,12m미만,26,월세,202007,8,           100,            33,2016,감추6길
강원도 동해시 천곡동,9**,12m미만,30,월세,202007,14,           300,            30,2012,감추5길
강원도 동해시 천곡동,9**,12m미만,30,월세,202007,29,           300,            33,2016,감추5길
강원도 동해시 천곡동,8**,-,47.28,월세,202007,24,           300,            45,2017,
강원도 동해시 천곡동,9**,12m미만,50,월세,202007,15,"         2,000",            35,2017,감추3길
강원도 동해시 천곡동,9**,12m미만,59.76,월세,202007,22,           500,            38,1993,감추5길
강원도 동해시 천곡동,9**,-,66,월세,202007,18,"         2,000",            38,2016,
강원도 동해시 천곡동,1***,12m미만,102.6,전세,202007,6,"        10,000",             0,2004,샘실3길
강원도 동해시 평릉동,4**,25m미만,40,전세,202007,29,"         5,000",             0,2016,평원로
강원도 삼척시 교동,7**,-,56.1,전세,202007,6,"         4,000",             0,1998,
강원도 삼척시 남양동,1**,8m미만,30,월세,202007,8,           300,            43,2016,중앙로4길
강원도 삼척시 남양동,1**,8m미만,30,전세,202007,8,"         4,000",             0,2016,중앙로4길
강원도 삼척시 남양동,1**,8m미만,31.89,월세,202007,9,           500,            40,2016,중앙로4길
강원도 삼척시 남양동,1**,12m미만,50,전세,202007,25,"         6,000",             0,2017,남산길
강원도 삼척시 당저동,1**,8m미만,70.52,월세,202007,22,           500,            35,,월계안길
강원도 삼척시 도계읍 흥전리,6*,8m미만,121.1,전세,202007,15,"         5,000",             0,2005,도계로
강원도 삼척시 미로면 하거노리,8*,-,59.5,월세,202007,17,           300,            30,,
강원도 삼척시 원당동,9*,25m이상,61.29,월세,202007,9,"         3,000",            27,2016,오십천로
강원도 삼척시 원덕읍 임원리,4**,8m미만,30,월세,202007,15,           100,            25,,임원새길
